0	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
409262	04/02/2014	ZSCR	551	034-2	NA	'100	5WK43160	NA	6593837625	1	1342	BENSAMBLE COMPLETO CIVIC CRV	NA	HALB	S.Real/AutoBF	468.17	OES_CIVIC_.	NO	4975193059
409336	04/02/2014	ZSCR	551	042-4	NA	'100	5WK43182	NA	6593837627	1	1424	SUBENSAMBLE COMPLETO IM CIVIC	NA	HALB	S.Real/AutoBF	450.31	OES_CIVIC_.	NO	4975193105
409339	04/02/2014	ZSCR	551	042-4	NA	'100	5WK43327	NA	6593837672	1	1424	SUBENSAMBLE COMPLETO IM CIVIC02	NA	HALB	S.Real/AutoBF	345.19	OES_CIVIC_.	NO	4975193171
409340	04/02/2014	ZSCR	551	042-4	NA	'100	5WK42967	NA	6593777627	1	1424	PCB COMPLETAMENTE ENSAMBLADO C	NA	HALB	S.Real/AutoBF	449.26	OES_CIVIC_.	NO	4975193041
415629	18/02/2014	ZSCR	551	030-1	NA	'100	5WY7110	NA	6578557620B	1	1301	SUBENSAMBLE SMD LADO B PREMIUM V8 3.0	NA	HALB	S.Real/AutoBF	395.5	OES_PREMIUM V PCM_.	NO	4975193236
415656	18/02/2014	ZSCR	551	040-1	NA	'100	5WY7775	NA	6598397603	1	1401	Miniwave assy skim new resonator SMD	NA	HALB	S.Real/AutoBF	107.08	OES_SKIM_.	NO	4975193199
415670	18/02/2014	ZSCR	551	034-2	NA	'100	5WY7181	NA	6577247602N	1	1342	TARJETA ENSAMBLADA NO PROGRAMA	NA	HALB	S.Real/AutoBF	2149.27	OES_GMPT_.	NO	4975193217
415699	18/02/2014	ZSCR	551	042-4	NA	'100	5WY7943	NA	5WY7943	1	1424	FORD CD338 - CD334 SJB	NA	FERT	NA	1299.71	OES_CD338_.	NO	4975193003
415799	18/02/2014	ZSCR	551	034-2	NA	'100	5WY8285		5WY8285	3	1342	OTIS Diesel Engine Controller	NA	FERT	NA	3839.97	OES_OTIS SID 902_.	NO	4975193025
415803	18/02/2014	ZSCR	551	034-2	NA	'100	5WK43113	NA	6593957622	2	1342	PCB COMPLETAMENTE ENSAMBLADO A	NA	HALB	S.Real/AutoBF	888.38	OES_HP_.	NO	4975193190
