No.Item	Fecha	zSCR	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
429752	3/16/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00052545	11	3011	054	 	1351	"L CMC CAN COIL/ACT45B/100uH,200mA,SMD"		ROH	NA	15.73	PS_ARAMIS III_F.FERNAND	NO	
429752	3/16/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00061945	23	3011	054	 	1351	"TJA1051T/3 and TLE7250GVIO and HVDA540,"		ROH	NA	42.09	PS_ARAMIS III_F.FERNAND	NO	
429752	3/16/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00062978	1	3011	054	 	1351	"IC MCU BLK/UPD78F1804(A2),A1,SSOP30,FLAS"		ROH	NA	3.38	PS_ARAMIS III_F.FERNAND	NO	
429778	3/16/2014	ZSCR	551	035-1	0	'054	A2C8301430093	NA	A2C40002697	5	3011	054	 	1351	"D ZEN/-,20V,0W,SOT23-MOTOROLA"		ROH	NA	0.7	PSAD_OPEL 3300_G.GERARD	NO	
429778	3/16/2014	ZSCR	551	035-1	0	'054	A2C8301430093	NA	A2C40002757	23	3011	054	 	1351	"R JUMP,0R05,0W,1A,0603"		ROH	NA	0.23	PSAD_OPEL 3300_G.GERARD	NO	
429778	3/16/2014	ZSCR	551	035-1	0	'054	A2C8301430093	NA	A2C40003915	97	3011	054	 	1351	"R LIN,4K7,5%,TK200,100mW,0603"		ROH	NA	0.97	PSAD_OPEL 3300_G.GERARD	NO	
429778	3/16/2014	ZSCR	551	035-1	0	'054	A2C8301430093	NA	A2C40004360	9	3011	054	 	1351	"R LIN,10K,1%,TK100,100mW,0603"		ROH	NA	0.09	PSAD_OPEL 3300_G.GERARD	NO	
429778	3/16/2014	ZSCR	551	035-1	0	'054	A2C8301430093	NA	A2C40004373	4	3011	054	 	1351	"R LIN,1K,5%,TK200,100mW,0603"		ROH	NA	0.04	PSAD_OPEL 3300_G.GERARD	NO	
429778	3/16/2014	ZSCR	551	035-1	0	'054	A2C8301430093	NA	A2C40004391	4	3011	054	 	1351	"R LIN,1M,5%,TK200,100mW,0603"		ROH	NA	0.04	PSAD_OPEL 3300_G.GERARD	NO	
429778	3/16/2014	ZSCR	551	035-1	0	'054	A2C8301430093	NA	A2C40004453	3	3011	054	 	1351	"R LIN,20K,5%,TK200,100mW,0603"		ROH	NA	0.03	PSAD_OPEL 3300_G.GERARD	NO	
