No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
437533	4/1/2014	ZSCR	551	030-1	NA	'054	A2C8681670093	NA	A2C8681670092	1301	pcb assy DAGARM3 V18EDR BOTTOM	NA	HALB	S.Real/AutoBF	89.42	PS_ARAMIS III_E.EDWIN R	NO				
437585	4/1/2014	ZSCR	551	040-1	NA	'054	5WY88050	NA	A2C53417787	1401	pcb assy	NA	HALB	S.Real/AutoBF	148.49	PSAD_GM BRASIL_A.ANA TA	NO				
437633	4/1/2014	ZSCR	551	030-1	NA	'054	A2C83341500	NA	A2C8334150093	1301	pcb topSMD TOP	NA	HALB	S.Real	221.99	PS_SDM10+_C.CAROLINA OT	NO				
437646	4/1/2014	ZSCR	551	050-1	NA	'054	5WK44781	NA	A2C80954100	1501	pcb assy VW10 V07	NA	HALB	S.Real/AutoBF	258.41	PS_VW10 LC_U.ULISES VIL	NO				
437803	4/2/2014	ZSCR	551	030-1	NA	'054	A2C82540900	NA	A2C8254100093	1301	pcb assy OPLA4400 4401XESA lado top	NA	HALB	S.Real	188.75	PSAD_OPEL 4400_J.JOSE O	NO				
437806	4/2/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1301	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_C.CAROLINA OT	NO				
437807	4/2/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1301	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_C.CAROLINA OT	NO				
437825	4/2/2014	ZSCR	551	030-1	NA	'054	A2C82538600	NA	A2C8253870093	1301	pcb assy OPLA4400 XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO				
437967	4/2/2014	ZSCR	551	040-2	NA	'054	A2C82541900	NA	A2C82542000	1402	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	479.34	PSAD_OPEL 4400_J.JOSE O	NO				
438008	4/2/2014	ZSCR	551	040-2	NA	'054	5WK44461	NA	A2C53404914	1402	pcb assy HONHRS5 V30	NA	HALB	S.Real/AutoBF	326.89	PS_HONDA HRS5_.	NO				
438010	4/2/2014	ZSCR	551	040-3	NA	'054	A2C91764100	NA	A2C92572300	1403	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_C.CAROLINA OTA	NO				
438016	4/2/2014	ZSCR	551	034-4	NA	'054	A2C37924700	NA	A2C37744300	1344	pcb assy PTFSPEED15 V01	NA	HALB	S.Real	156.24	PS_FIAT BRAZIL_E.EDWIN	NO				
438027	4/2/2014	ZSCR	551	040-2	NA	'054	A2C82541900	NA	A2C82542000	1402	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	239.67	PSAD_OPEL 4400_J.JOSE O	NO				
438054	4/2/2014	ZSCR	551	040-1	NA	'054	A2C85800900	NA	A2C83341500	1401	pcb topSMD	NA	HALB	S.Real/AutoBF	224.89	PS_SDM10+_C.CAROLINA OT	NO				
438090	4/2/2014	ZSCR	551	040-3	NA	'054	A2C82544800	NA	A2C82544900	1403	pcb assy OPLA4400 440XXESE	NA	HALB	S.Real/AutoBF	430.8	PSAD_OPEL 4400_J.JOSE O	NO				
438107	4/2/2014	ZSCR	551	040-1	NA	'054	A2C82541900	NA	A2C82542000	1401	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	239.67	PSAD_OPEL 4400_J.JOSE O	NO				
438110	4/2/2014	ZSCR	551	034-4	NA	'054	5WK44461	NA	A2C53404914	1344	pcb assy HONHRS5 V30	NA	HALB	S.Real/AutoBF	326.89	PS_HONDA HRS5_.	NO				
438129	4/2/2014	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	1342	keypad assy	NA	HALB	S.Real/AutoBF	948.3	OC_OCS NISSAN_A.ANA TAP	NO				
438382	4/3/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO				
438384	4/3/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO				
438407	4/3/2014	ZSCR	551	030-1	NA	'054	A2C83008900	NA	A2C8300900093	1301	pcb assy VOLP1X P1007 P15 lado top	NA	HALB	S.Real	429.69	PSAD_VOLVO P15_J.JOSE O	NO				
438409	4/3/2014	ZSCR	551	030-1	NA	'054	A2C83007800	NA	A2C8300780093	1301	pcb assy VOLP1X P11P12P14 lado top	NA	HALB	S.Real	256.79	PSAD_VOLVO P15_J.JOSE O	NO				
438412	4/3/2014	ZSCR	551	030-1	NA	'054	A2C83008900	NA	A2C8300900093	1301	pcb assy VOLP1X P1007 P15 lado top	NA	HALB	S.Real	429.69	PSAD_VOLVO P15_J.JOSE O	NO				
438430	4/3/2014	ZSCR	551	030-1	NA	'054	A2C82542000	NA	A2C8254200093	1301	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO				
438457	4/3/2014	ZSCR	551	034-3	NA	'054	A2C89730900	NA	A2C8021660002	1343	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO				
438458	4/3/2014	ZSCR	551	034-3	NA	'054	5WY89350	NA	A2C31080700	1343	IM Chrysler RT ORC MY13	NA	HALB	S.Real	331.82	PS_CHRYSLER MY2013_E.ED	NO				
438482	4/3/2014	ZSCR	551	034-3	NA	'054	5WK44252	NA	A2C53364457	1343	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO				
438485	4/3/2014	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	1401	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO				
438486	4/3/2014	ZSCR	551	042-4	NA	'054	5WY782780	NA	A2C53139779	1424	circuit board assy	NA	HALB	S.Real/AutoBF	384.89	PS_FORD_.	NO				
438490	4/3/2014	ZSCR	551	034-3	NA	'054	5WK44675	NA	A2C53408763	1343	pcb assy FIA326 OCS V15	NA	HALB	S.Real	154.96	PS_FIAT BRAZIL_E.EDWIN	NO				
438492	4/3/2014	ZSCR	551	050-1	NA	'054	A2C89730900	NA	A2C8021660002	1501	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO				
438508	4/3/2014	ZSCR	551	034-2	NA	'054	A2C81542600	NA	A2C81543200	1342	pcb assy	NA	HALB	S.Real	1245.6	PS_ARAMIS 2012_E.EDWIN	NO				
438509	4/3/2014	ZSCR	551	050-1	NA	'054	A2C83377600	NA	A2C83377700	1501	pcb assy RCMT5 LR	NA	HALB	S.Real/AutoBF	466.91	PSAD_LAND ROVER_J.JOSE	NO				
438520	4/3/2014	ZSCR	551	034-3	NA	'054	A2C32453902	NA	A2C35116100	1343	pcb assy DAGSTAR2 D_2	NA	HALB	S.Real	383.01	PSAD_DAIMLER STAR 2_A.A	NO				
438523	4/3/2014	ZSCR	551	042-4	NA	'054	A2C84370400	NA	A2C84370500	1424	MRS*C3 AML-VH400 PCB TOP MAN. ASSEMBLY	NA	HALB	S.Real	334.62	PSAD_VOLVO P15_J.JOSE O	NO				
438527	4/3/2014	ZSCR	551	040-3	NA	'054	5WY88040	NA	A2C53412214	1403	pcb assy	NA	HALB	S.Real/AutoBF	598.84	PSAD_GM BRASIL_A.ANA TA	NO				
438529	4/3/2014	ZSCR	551	042-4	NA	'054	5WY88040	NA	A2C53412214	1424	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO				
438548	4/3/2014	ZSCR	551	042-4	NA	'054	A2C92114600	NA	A2C32680400	1424	pcb assy HONHRS6 D_11	NA	HALB	S.Real	2772.18	PS_HONDA HRS6_J.JUAN CH	NO				
438550	4/3/2014	ZSCR	551	042-4	NA	'054	A2C92116200	NA	A2C83338000	1424	pcb assy HONHRS6 D_12	NA	HALB	S.Real	284.98	PS_HONDA HRS6_J.JUAN CH	NO				
438550	4/3/2014	ZSCR	551	042-4	NA	'054	A2C86832700	NA	A2C8333800002	1424	pcb assy HONHRS6 V12B	NA	HALB	S.Real/AutoBF	1709.88	PS_HONDA HRS6_J.JUAN CH	NO				
438565	4/3/2014	ZSCR	551	034-2	NA	'054	A2C82541900	NA	A2C82542000	1342	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	1198.35	PS_LEGACY_C.CAROLINA OT	NO				
438607	4/3/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO				
438842	4/4/2014	ZSCR	551	030-1	NA	'054	A2C82544900	NA	A2C8254490093	1301	pcb assy OPLA4400 440XXESE lado top	NA	HALB	S.Real	329.3	PSAD_OPEL 4400_J.JOSE O	NO				
438853	4/4/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO				
438854	4/4/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO				
438855	4/4/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO				
438858	4/4/2014	ZSCR	551	034-1	NA	'054	A2C53404914	NA	A2C53404914A	1341	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO				
438859	4/4/2014	ZSCR	551	030-1	NA	'054	A2C8661730093	NA	A2C8661730092	1301	pcb assy DAGARM3 RO V16EDR bottom	NA	HALB	S.Real/AutoBF	81.38	PS_ARAMIS III_E.EDWIN R	NO				
438860	4/4/2014	ZSCR	551	030-1	NA	'054	A2C8661730093	NA	A2C8661730092	1301	pcb assy DAGARM3 RO V16EDR bottom	NA	HALB	S.Real/AutoBF	81.38	PS_ARAMIS III_E.EDWIN R	NO				
438862	4/4/2014	ZSCR	551	030-1	NA	'054	A2C8661730093	NA	A2C8661730092	1301	pcb assy DAGARM3 RO V16EDR bottom	NA	HALB	S.Real/AutoBF	81.38	PS_ARAMIS III_E.EDWIN R	NO				
438863	4/4/2014	ZSCR	551	030-1	NA	'054	A2C8661730093	NA	A2C8661730092	1301	pcb assy DAGARM3 RO V16EDR bottom	NA	HALB	S.Real/AutoBF	81.38	PS_ARAMIS III_E.EDWIN R	NO				
438864	4/4/2014	ZSCR	551	030-1	NA	'054	A2C8661730093	NA	A2C8661730092	1301	pcb assy DAGARM3 RO V16EDR bottom	NA	HALB	S.Real/AutoBF	488.28	PS_ARAMIS III_E.EDWIN R	NO				
438882	4/4/2014	ZSCR	551	030-1	NA	'054	A2C86816802	NA	A2C8661710092	1301	pcb assy DAGARM3 RO V17EDR Bottom	NA	HALB	S.Real/AutoBF	81.06	PS_ARAMIS III_E.EDWIN R	NO				
438893	4/4/2014	ZSCR	551	030-1	NA	'054	A2C8483530093	NA	A2C8483530092	1301	pcb assy VW10 V08 bottom	NA	HALB	S.Real/AutoBF	36.33	PS_VW10 LC_U.ULISES VIL	NO				
438941	4/4/2014	ZSCR	551	034-2	NA	'054	A2C81625700	NA	A2C5339961702	1342	pcb assy V1B	NA	HALB	S.Real/AutoBF	209.64	PS_HONDA HRS5_.	NO				
438943	4/4/2014	ZSCR	551	034-2	NA	'054	A2C86852400	NA	A2C87110200	1342	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO				
438949	4/4/2014	ZSCR	551	034-3	NA	'054	A2C86816900	NA	A2C86617300	1343	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO				
438951	4/4/2014	ZSCR	551	034-2	NA	'054	A2C80644600	NA	A2C81531200	1342	pcb assy DAGARM3 V14	NA	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO				
438952	4/4/2014	ZSCR	551	034-2	NA	'054	A2C86816800	NA	A2C86617100	1342	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	853.14	PS_ARAMIS III_E.EDWIN R	NO				
438953	4/4/2014	ZSCR	551	034-2	NA	'054	A2C83972000	NA	A2C8397200093	1342	pcb topSMD Top	NA	HALB	S.Real	717.5	PS_SDM10+_C.CAROLINA OT	NO				
438957	4/4/2014	ZSCR	551	034-2	NA	'054	A2C37820700	NA	A2C53243155MI	1342	MI assy C207 WITH PPS/WITHOUT RO	NA	HALB	S.Real	428.49	PS_ARAMIS II MCG_F.FERN	NO				
438961	4/4/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO				
438976	4/4/2014	ZSCR	551	040-3	NA	'054	A2C89730900	NA	A2C8021660002	1403	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	614.26	PS_HONDA HRS6_J.JUAN CH	NO				
438978	4/4/2014	ZSCR	551	042-4	NA	'054	5WK44252	NA	A2C53364457	1424	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO				
438983	4/4/2014	ZSCR	551	034-2	NA	'054	5WK42560	NA	A2C53328548	1342	keypad assy	NA	HALB	S.Real/AutoBF	449.03	OC_OCS NISSAN_A.ANA TAP	NO				
438986	4/4/2014	ZSCR	551	042-4	NA	'054	A2C83377600	NA	A2C83377700	1424	pcb assy RCMT5 LR	NA	HALB	S.Real/AutoBF	466.91	PSAD_LAND ROVER_J.JOSE	NO				
438987	4/4/2014	ZSCR	551	042-4	NA	'054	A2C83377600	NA	A2C83377700	1424	pcb assy RCMT5 LR	NA	HALB	S.Real/AutoBF	466.91	PSAD_LAND ROVER_J.JOSE	NO				
438988	4/4/2014	ZSCR	551	040-1	NA	'054	A2C82538600	NA	A2C82538700	1401	pcb assy OPLA4400 XESE	NA	HALB	S.Real/AutoBF	239.67	PSAD_OPEL 4400_J.JOSE O	NO				
438992	4/4/2014	ZSCR	551	040-1	NA	'054	A2C82538600	NA	A2C82538700	1401	pcb assy OPLA4400 XESE	NA	HALB	S.Real/AutoBF	239.67	PSAD_OPEL 4400_J.JOSE O	NO				
438998	4/4/2014	ZSCR	551	042-4	NA	'054	A2C84851600	NA	A2C84835300	1424	pcb assy VW10 V08	NA	HALB	S.Real	261.65	PS_VW10 LC_U.ULISES VIL	NO				
439000	4/4/2014	ZSCR	551	042-4	NA	'054	A2C84851600	NA	A2C84835300	1424	pcb assy VW10 V08	NA	HALB	S.Real	261.65	PS_VW10 LC_U.ULISES VIL	NO				
439002	4/4/2014	ZSCR	551	040-1	NA	'054	5WY88020	NA	A2C53412213	1401	pcb assy	NA	HALB	S.Real/AutoBF	149.72	PSAD_GM BRASIL_A.ANA TA	NO				
439006	4/4/2014	ZSCR	551	042-4	NA	'054	A2C82541900	NA	A2C82542000	1424	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	239.67	PSAD_OPEL 4400_J.JOSE O	NO				
439009	4/4/2014	ZSCR	551	034-2	NA	'054	A2C80644600	NA	A2C81531200	1342	pcb assy DAGARM3 V14	NA	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO				
439012	4/4/2014	ZSCR	551	040-1	NA	'054	A2C81625900	NA	A2C5339961702	1401	pcb assy V1B	NA	HALB	S.Real/AutoBF	209.64	PS_HONDA HRS5_.	NO				
439017	4/4/2014	ZSCR	551	050-1	NA	'054	A2C37964102	NA	A2C35116200	1501	pcb assy DAGSTAR2 D_3	NA	HALB	S.Real	797.9	PSAD_DAIMLER STAR 2_A.A	NO				
439263	4/5/2014	ZSCR	551	030-1	NA	'054	A2C8681670093	NA	A2C8681670092	1301	pcb assy DAGARM3 V18EDR BOTTOM	NA	HALB	S.Real/AutoBF	89.42	PS_ARAMIS III_E.EDWIN R	NO				
439266	4/5/2014	ZSCR	551	030-1	NA	'054	A2C83007800	NA	A2C8300780093	1301	pcb assy VOLP1X P11P12P14 lado top	NA	HALB	S.Real	256.79	PSAD_ASTON MARTIN_J.JOS	NO				
439274	4/5/2014	ZSCR	551	030-1	NA	'054	A2C53412213	NA	A2C53412223	1301	GMB SMT Top side	NA	HALB	S.Real	127	PSAD_GM BRASIL_A.ANA TA	NO				
439275	4/5/2014	ZSCR	551	030-1	NA	'054	A2C53412213	NA	A2C53412223	1301	GMB SMT Top side	NA	HALB	S.Real	127	PSAD_GM BRASIL_A.ANA TA	NO				
439277	4/5/2014	ZSCR	551	030-1	NA	'054	A2C8681670093	NA	A2C8681670092	1301	pcb assy DAGARM3 V18EDR BOTTOM	NA	HALB	S.Real/AutoBF	89.42	PS_ARAMIS III_E.EDWIN R	NO				
439278	4/5/2014	ZSCR	551	030-1	NA	'054	A2C86816502	NA	A2C8681670093	1301	pcb assy DAGARM3 V18EDR TOP	NA	HALB	S.Real	454.97	PS_ARAMIS III_E.EDWIN R	NO				
439279	4/5/2014	ZSCR	551	030-1	NA	'054	A2C8661730093	NA	A2C8661730092	1301	pcb assy DAGARM3 RO V16EDR bottom	NA	HALB	S.Real/AutoBF	162.76	PS_ARAMIS III_E.EDWIN R	NO				
439324	4/5/2014	ZSCR	551	030-1	NA	'054	A2C82538700	NA	A2C8253870093	1301	pcb assy OPLA4400 XESE lado top	NA	HALB	S.Real	751.36	PSAD_OPEL 4400_J.JOSE O	NO				
439380	4/5/2014	ZSCR	551	030-1	NA	'054	A2C8661730093	NA	A2C8661730092	1301	pcb assy DAGARM3 RO V16EDR bottom	NA	HALB	S.Real/AutoBF	488.28	PS_ARAMIS III_E.EDWIN R	NO				
439381	4/5/2014	ZSCR	551	030-1	NA	'054	A2C8661710093	NA	A2C8661710092	1301	pcb assy DAGARM3 RO V17EDR Bottom	NA	HALB	S.Real/AutoBF	486.36	PS_ARAMIS III_E.EDWIN R	NO				
439383	4/5/2014	ZSCR	551	030-1	NA	'054	A2C8661730093	NA	A2C8661730092	1301	pcb assy DAGARM3 RO V16EDR bottom	NA	HALB	S.Real/AutoBF	976.56	PS_ARAMIS III_E.EDWIN R	NO				
439393	4/5/2014	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1301	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO				
439394	4/5/2014	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1301	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO				
439406	4/5/2014	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	1342	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO				
439408	4/5/2014	ZSCR	551	034-2	NA	'054	5WK43760	NA	A2C53221384	1342	keypad assy	NA	HALB	S.Real/AutoBF	434.66	OC_OCS NISSAN_A.ANA TAP	NO				
