No.Item	Fecha	Txs SAP	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
448029	24/04/2014	ZSCR	030-1	NA	'015	5WY8833	NA	A2C53306326	8	1301	pcb panel multiple rear	NA	ROH	NA	68	S1_DCU_A.ADRIAN CEBALLO	NO	4977389638		
449261	26/04/2014	ZSCR	034-2	NA	'050	5WY8835	NA	A2C53427412	224	1342	pcb panel family	NA	ROH	NA	1890.56	S1_DCU_A.ADRIAN CEBALLO	NO	4977389710		
449440	26/04/2014	ZSCR	034-2	NA	'015	A2C86733500	NA	A2C8673350093	60	1342	pcb assy VDC Top	NA	HALB	S.Real	1309.8	S1_TIS 1D CHRYSLER_J.JA	NO	4977390178		
449447	26/04/2014	ZSCR	034-2	NA	'015	A2C84455600	NA	A2C84455700	2	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	87.92	S1_TG1C UNIVERSAL_J.JAI	NO	4977390492		
449569	26/04/2014	MB1A	025-3	NA	'015	NA	NA	A2C33099101	3	1253	housing assy TPM	VUG10247148	HALB	S.Real/AutoBF	111.78	S1_TIS 1D MMC_J.JAIME J	NO	4977389422		
449572	26/04/2014	MB1A	025-3	NA	'015	NA	NA	A2C82360001	1	1253	module assy TPM	VUG10247148	HALB	S.Real/AutoBF	37.07	S1_TIS 1D MMC_J.JAIME J	NO	4977389422		
449573	26/04/2014	MB1A	025-3	NA	'015	NA	NA	A2C33098601	4	1253	housing assy TPM	VUG10247148	HALB	S.Real/AutoBF	154.84	S1_TIS 1D MMC_J.JAIME J	NO	4977389422		
449577	26/04/2014	ZSCR	034-2	NA	'015	A2C92270600	NA	A2C92270600	15	1342	TG1C Nissan 433MHz LOCA PASE	NA	FERT	NA	745.35	S1_TG1C NISSAN_J.JAIME	NO	4977390792		
449579	26/04/2014	ZSCR	034-2	NA	'015	A2C84975300	NA	A2C53422372	41	1342	housing	NA	ROH	NA	97.17	S5_TIS1C127 HMC_A.ADRIA	NO	4977389957		
449579	26/04/2014	ZSCR	034-2	NA	'015	A2C84975300	NA	A2C53278177	41	1342	"sealing ring 2x 2,85 40"	NA	ROH	NA	3.28	S5_TIS1C127 HMC_A.ADRIA	NO	4977389957		
449579	26/04/2014	ZSCR	034-2	NA	'015	A2C84975300	NA	A2C86767700	41	1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	966.37	S5_TIS1C127 HMC_A.ADRIA	NO	4977390742		
449579	26/04/2014	ZSCR	034-2	NA	'015	A2C84975300	NA	A2C00510300	41	1342	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	363.26	S5_TIS1C127 HMC_A.ADRIA	NO	4977389957		
449633	26/04/2014	MB1A	025-3	NA	'015	NA	NA	A2C85036600	1248	1253	valve assy	VUG10247148	HALB	S.Real/AutoBF	10158.72	S1_TIS 1D MMC_J.JAIME J	NO	4977389422		
449639	26/04/2014	MB1A	025-3	NA	'015	NA	NA	A2C83792200	8714	1253	intermediate part	VUG10247148	ROH	NA	27884.8	S1_TIS 1D MMC_J.JAIME J	NO	4977389422		
449643	26/04/2014	ZSCR	040-5	NA	'015	A2C84975300	NA	A2C53422372	22	1405	housing	NA	ROH	NA	52.14	S5_TIS1C127 HMC_A.ADRIA	NO	4977389957		
449646	26/04/2014	ZSCR	034-2	NA	'015	A2C84975300	NA	A2C00510300	1	1342	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	8.86	S5_TIS1C127 HMC_A.ADRIA	NO	4977389957		
449648	26/04/2014	ZSCR	034-2	NA	'015	A2C84975300	NA	A2C86767700	1	1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	23.57	S5_TIS1C127 HMC_A.ADRIA	NO	4977390742		
449650	26/04/2014	ZSCR	034-2	NA	'015	A2C83143000	NA	A2C8314420093	1	1342	circuit board assy TPM Top	NA	HALB	S.Real	32.12	S1_TG1C UNIVERSAL_J.JAI	NO	4977390160		
449651	26/04/2014	ZSCR	040-5	NA	'015	A2C84455600	NA	A2C53311707	13	1405	housing	NA	ROH	NA	31.2	S1_TG1C UNIVERSAL_J.JAI	NO	4977389825		
