No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Apd	jdjdj	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
451583	01/05/2014	ZSCR	551	035-1	0	'050	A2C7422730093	NA	8800630589	34	3011	050		1351	Etiqueta Azul Claro de PCB MB GETRAG		HIBE	NA	11.22	ES_ACM_O.OSCAR GARCIA	NO	4978375248
453205	04/05/2014	ZSCR	551	030-1	NA	'050	A2C31624400T	NA	A2C31624400T	1	3011	050		1301	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real	740.15	ES_V8 V10_S.SAMUEL MEND	NO	4978375590
461154	20/05/2014	ZSCR	551	030-1	NA	'050	A2C31624100T	NA	A2C31624100T	1	3011	050		1301	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real	726.99	ES_V8 V10_A.ALVARO MEDI	NO	4978375548
461158	20/05/2014	ZSCR	551	030-1	NA	'050	A2C3278250093	NA	A2C3278250093	2	3011	050		1301	pcb assy SIMOS12 2 TOP	NA	HALB	S.Real	1194.8	ES_SIMOS 12.2_S.SAMUEL	NO	4978375673
461159	20/05/2014	ZSCR	551	040-3	NA	'050	A2C3278250093	NA	A2C3278250093	2	3011	050		1403	pcb assy SIMOS12 2 TOP	NA	HALB	S.Real	1194.8	ES_SIMOS 12.2_S.SAMUEL	NO	4978375695
461175	20/05/2014	ZSCR	551	030-1	NA	'050	A2C3278250093	NA	A2C3278250093	1	3011	050		1301	pcb assy SIMOS12 2 TOP	NA	HALB	S.Real	597.4	ES_SIMOS 12.2_S.SAMUEL	NO	4978375673
461177	20/05/2014	ZSCR	551	040-1	NA	'050	A2C3278250093	NA	A2C3278250093	1	3011	050		1401	pcb assy SIMOS12 2 TOP	NA	HALB	S.Real	597.4	ES_SIMOS 12.2_S.SAMUEL	NO	4978375708
461190	20/05/2014	ZSCR	551	030-1	NA	'050	A2C31624100T	NA	A2C31624100T	1	3011	050		1301	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real	726.99	ES_V8 V10_A.ALVARO MEDI	NO	4978375548
461686	21/05/2014	ZSCR	551	040-2	NA	'050	A2C31624400T	NA	A2C31624400T	2	3011	050		1402	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real	1480.3	ES_V8 V10_A.ALVARO MEDI	NO	4978375622
461689	21/05/2014	ZSCR	551	040-3	NA	'050	A2C9337500093	NA	A2C9337500093	1	3011	050		1403	pcb assy tOP	NA	HALB	S.Real	302.45	ES_EMS 2208_.	NO	4978375852
462266	22/05/2014	ZSCR	551	040-5	NA	'050	A2C31624100T	NA	A2C31624100T	1	3011	050		1405	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real	726.99	ES_V8 V10_A.ALVARO MEDI	NO	4978375565
462395	22/05/2014	ZSCR	551	040-5	NA	'050	A2C8191280093	NA	A2C8191280093	1	3011	050		1405	pcb assy main SID913 SMD TOP	NA	HALB	S.Real	823.77	ES_SID913_.	NO	4978375826
463007	23/05/2014	ZSCR	551	030-1	NA	'050	A2C53389534B	NA	A2C53389534B	2	3011	050		1301	M3C.PCB circuit board assy BOT	NA	HALB	S.Real	289.94	ES_M3C_. (APROBACION A	NO	4978375727
463178	24/05/2014	ZSCR	551	030-1	NA	'050	A2C31624400T	NA	A2C31624400T	1	3011	050		1301	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real	740.15	ES_V8 V10_A.ALVARO MEDI	NO	4978375590
463180	24/05/2014	ZSCR	551	030-1	NA	'050	A2C3278250093	NA	A2C3278250093	1	3011	050		1301	pcb assy SIMOS12 2 TOP	NA	HALB	S.Real	597.4	ES_SIMOS 12.2_S.SAMUEL	NO	4978375673
463181	24/05/2014	ZSCR	551	030-1	NA	'050	A2C3278250093	NA	A2C3278250093	1	3011	050		1301	pcb assy SIMOS12 2 TOP	NA	HALB	S.Real	597.4	ES_SIMOS 12.2_S.SAMUEL	NO	4978375673
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C5340020492	NA	A2C00019144	3	3011	050		1351	"TA CAP,TA,68uF,10%,10V,SMD"		ROH	NA	3.81	ES_M3C_O.OSCAR GARCIA	NO	4978375118
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53389534B	NA	A2C00000996	1	3011	050		1351	"TRANSMITTER,K/L LINE,SO8,BUS DRIVER IC/L"		ROH	NA	3.09	ES_M3C_O.OSCAR GARCIA	NO	4978375066
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53389534B	NA	A2C00000156	1	3011	050		1351	"24V,200mW,SOT23,ZENER/BZX84C24"		ROH	NA	0.08	ES_M3C_O.OSCAR GARCIA	NO	4978375066
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53352296B	NA	A2C00018261	10	3011	050		1351	"TLE6250G,CAN-Transceiver,OTHER IC/CAN-Tr"		ROH	NA	26.1	ES_M3C_O.OSCAR GARCIA	NO	4978374974
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53352296B	NA	A2C00046612	1	3011	050		1351	"S912XET256J2MALR,2M53J,112 LQFP,FLASH,16"		ROH	NA	23.98	ES_M3C_O.OSCAR GARCIA	NO	4978374974
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53352296B	NA	A2C00019144	3	3011	050		1351	"TA CAP,TA,68uF,10%,10V,SMD"		ROH	NA	3.81	ES_M3C_O.OSCAR GARCIA	NO	4978374974
