No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID		Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
466066	5/29/2014	ZSCR	551	050-3	NA	'054	5WY76100	NA	9166468	5000	1503	"499R,1%,TK100,125MW,0805,FIX R"	NA	ROH	NA	50	PS_VW10 LC_U.ULISES VIL	NO	
466066	5/29/2014	ZSCR	551	050-3	NA	'054	5WY70120	NA	9151173	2170	1503	"82R,5%,TK250,125MW,0805,FIX RE"	NA	ROH	NA	43.4	PS_VW10 LC_U.ULISES VIL	NO	
466066	5/29/2014	ZSCR	551	050-3	NA	'054	6590167621A	NA	9165540	2360	1503	1/16W Thick Film Resistor 1% 2.55K	NA	ROH	NA	23.6	PS_VW10 LC_U.ULISES VIL	NO	
466805	5/31/2014	ZSCR	551	034-2	NA	'054	5WY72650	NA	A2C00013954	84	1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	25.2	PSAD_EPSILON_O.OSCAR FO	NO	
470212	6/6/2014	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53333522	1	1342	COVER	NA	ROH	NA	2.36	PS_SDM10+_C.CAROLINA OT	NO	
472164	6/10/2014	ZSCR	551	040-2	NA	'054	5WK44252	NA	A2C53364457	1	1402	pcb assy	NA	HALB	S.Real/AutoBF	96.25	PSAD_OPEL 4400_J.JOSE O	NO	
472170	6/10/2014	ZSCR	551	040-2	NA	'054	A2C89730900	NA	A2C8021660002	1	1402	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO	
472182	6/10/2014	ZSCR	551	034-2	NA	'054	A2C82535000	NA	A2C82535300	2	1342	housing 123.2x 128.2	NA	ROH	NA	38.52	PSAD_OPEL 4400_J.JOSE O	NO	
472184	6/10/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C53395715	6	1342	housing WIC P BK A-B	NA	ROH	NA	208.8	PS_SDM10+_C.CAROLINA OT	NO	
472184	6/10/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C53338471	9	1342	contact element	NA	ROH	NA	9.18	PS_SDM10+_C.CAROLINA OT	NO	
472184	6/10/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C40000025	4	1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	27.32	PS_SDM10+_C.CAROLINA OT	NO	
472192	6/10/2014	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	200	1342	sticker	NA	ROH	NA	102	PS_VW10 LC_U.ULISES VIL	NO	
472193	6/10/2014	ZSCR	551	040-3	NA	'054	5WK44667	NA	A2C91601100	1	1403	multipoint connector124/ 81P H 2SYS 1018	NA	ROH	NA	55.16	PSAD_DAIMLER STAR 2_A.A	NO	
472195	6/10/2014	ZSCR	551	034-1	NA	'054	5WK44808	NA	A2C53245952	16	1341	"housing FIP 152,0x 135,7"	NA	ROH	NA	307.52	PS_ARAMIS III_E.EDWIN R	NO	
472196	6/10/2014	ZSCR	551	034-2	NA	'054	5WK44808	NA	A2C53245952	1	1342	"housing FIP 152,0x 135,7"	NA	ROH	NA	19.22	PS_ARAMIS 2013_E.EDWIN	NO	
472219	6/10/2014	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53364457	8	1403	pcb assy	NA	HALB	S.Real/AutoBF	770	OC_BOSE VW_A.ANA TAPIA-	NO	
472231	6/10/2014	ZSCR	551	034-2	NA	'054	A2C38172101	NA	A2C53424040	30	1342	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	8.1	PSAD_DAIMLER STAR2_ISC_	NO	
472231	6/10/2014	ZSCR	551	034-2	NA	'054	A2C81768403	NA	A2C83435000	1	1342	cover FIP T BK	NA	ROH	NA	19.02	PSAD_DAIMLER STAR2_ISC_	NO	
472247	6/10/2014	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00027389	21	1342	cover	NA	ROH	NA	53.76	PS_VW10 LC_U.ULISES VIL	NO	
472250	6/10/2014	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	150	1342	sticker	NA	ROH	NA	76.5	PS_VW10 LC_U.ULISES VIL	NO	
472253	6/10/2014	ZSCR	551	034-2	NA	'054	5WY89340	NA	A2C00022191	56	1342	sticker	NA	ROH	NA	750.4	PSAD_EPSILON_O.OSCAR FO	NO	
472253	6/10/2014	ZSCR	551	034-2	NA	'054	5WY89340	NA	A2C00013954	224	1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	67.2	PSAD_EPSILON_O.OSCAR FO	NO	
472253	6/10/2014	ZSCR	551	034-2	NA	'054	5WY89340	NA	6590110701	56	1342	Epsilon SDM Cover	NA	ROH	NA	128.24	PSAD_EPSILON_O.OSCAR FO	NO	
472253	6/10/2014	ZSCR	551	034-2	NA	'054	5WY89340	NA	6590110301	56	1342	Epsilon SDM Housing	NA	ROH	NA	884.8	PSAD_EPSILON_O.OSCAR FO	NO	
472280	6/10/2014	ZSCR	551	040-1	NA	'054	A2C83971800	NA	A2C83972000	1	1401	pcb topSMD	NA	HALB	S.Real/AutoBF	361.65	PS_SDM10+_C.CAROLINA OT	NO	
472281	6/10/2014	ZSCR	551	040-2	NA	'054	A2C85801200	NA	A2C83972000	1	1402	pcb topSMD	NA	HALB	S.Real/AutoBF	361.65	PS_SDM10+_C.CAROLINA OT	NO	
472282	6/10/2014	ZSCR	551	040-3	NA	'054	A2C89730900	NA	A2C8021660002	1	1403	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO	
472292	6/10/2014	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53364457	4	1403	pcb assy	NA	HALB	S.Real/AutoBF	385	OC_BOSE VW_A.ANA TAPIA-	NO	
472304	6/10/2014	ZSCR	551	030-1	NA	'054	5WY85250	NA	A2C53181153	8	1301	pcb panel multiple 4-up	NA	ROH	NA	158.8	PSAD_EPSILON_O.OSCAR FO	NO	
472737	6/11/2014	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	1	1401	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO	
472768	6/11/2014	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53364457	1	1403	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	
472775	6/11/2014	ZSCR	551	040-3	NA	'054	5WY90360	NA	A2C53408690	14	1403	cover	NA	ROH	NA	55.58	PSAD_GM BRASIL_A.ANA TA	NO	
472776	6/11/2014	ZSCR	551	034-2	NA	'054	5WK44822	NA	A2C32679900	12	1342	pcb	NA	ROH	NA	235.2	PS_HONDA HRS6_J.JUAN CH	NO	
472779	6/11/2014	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00027389	5	1342	cover	NA	ROH	NA	12.8	PS_VW10 LC_U.ULISES VIL	NO	
472780	6/11/2014	ZSCR	551	034-2	NA	'054	5WY88030	NA	A2C53108387	4	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.72	PSAD_GM BRASIL_A.ANA TA	NO	
472780	6/11/2014	ZSCR	551	034-2	NA	'054	5WY88030	NA	A2C53408690	1	1342	cover	NA	ROH	NA	3.97	PSAD_GM BRASIL_A.ANA TA	NO	
472780	6/11/2014	ZSCR	551	034-2	NA	'054	5WY88030	NA	A2C53408549	1	1342	housing D= 2	NA	ROH	NA	20.53	PSAD_GM BRASIL_A.ANA TA	NO	
472781	6/11/2014	ZSCR	551	040-3	NA	'054	A2C92116000	NA	6593831401	1	1403	WARNING LABEL c/d/i HONDA	NA	ROH	NA	1.11	PS_HONDA HRS6_J.JUAN CH	NO	
472781	6/11/2014	ZSCR	551	040-3	NA	'054	A2C86832700	NA	A2C53405780	1	1403	housing	NA	ROH	NA	26.37	PS_HONDA HRS6_J.JUAN CH	NO	
