No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
478546	23/06/2014	ZSCR	551	034-2	NA	'045	A2C53285996B	NA	A2C53285996B	118	1342	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	5235.66	S2_KEY FOB_A.ANTONIO AL	NO	4979318774
479033	24/06/2014	ZSCR	551	034-2	NA	'045	A2C5343019092	NA	A2C5343019092	29	1342	PCB Assy 4B 433.92 MHz	NA	HALB	S.Real	1245.26	S2_NISSAN KEY FOB SQUAR	NO	4979318786
479043	24/06/2014	ZSCR	551	034-2	NA	'045	5WK49608C	NA	A2C00004906	60	1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	98.4	S1_FOB K2XX_L.LUIS LOPE	NO	4979317825
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336100	NA	A2C34524701	18	1342	housing bottom assy	NA	ROH	NA	52.02	S1_FOB K2XX_L.LUIS LOPE	NO	4979317988
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32335900	NA	A2C34524801	8	1342	housing cover assy	NA	ROH	NA	126.48	S1_FOB K2XX_L.LUIS LOPE	NO	4979317996
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336700	NA	A2C34525101	4	1342	housing cover assy	NA	ROH	NA	66.12	S1_FOB K2XX_L.LUIS LOPE	NO	4979318011
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32337100	NA	A2C34525201	7	1342	housing cover assy	NA	ROH	NA	115.85	S1_FOB K2XX_L.LUIS LOPE	NO	4979318029
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C81507500	NA	A2C34525301	41	1342	housing bottom assy	NA	ROH	NA	118.49	S1_FOB K2XX_L.LUIS LOPE	NO	4979318196
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336100	NA	A2C34525401	13	1342	housing cover assy	NA	ROH	NA	206.44	S1_FOB K2XX_L.LUIS LOPE	NO	4979318209
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32335900	NA	A2C34525600	9	1342	cover	NA	ROH	NA	21.69	S1_FOB K2XX_L.LUIS LOPE	NO	4979318300
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336100	NA	A2C34525700	1	1342	cover	NA	ROH	NA	2.41	S1_FOB K2XX_L.LUIS LOPE	NO	4979318308
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32337200	NA	A2C34525900	11	1342	O-ring	NA	ROH	NA	3.3	S1_FOB K2XX_L.LUIS LOPE	NO	4979318320
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32337200	NA	A2C34971300	61	1342	clip	NA	ROH	NA	29.89	S1_FOB K2XX_L.LUIS LOPE	NO	4979318347
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336100	NA	A2C37905900	1	1342	Chevrolet Logo	NA	ROH	NA	5.45	S1_FOB K2XX_L.LUIS LOPE	NO	4979318354
479043	24/06/2014	ZSCR	551	034-2	NA	'045	A2C81507400	NA	A2C82493901	27	1342	housing cover assy	NA	ROH	NA	440.1	S1_FOB K2XX_L.LUIS LOPE	NO	4979318689
479045	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336100	NA	A2C32336100	16	1342	315MHz 4 button Chevy Chrome Transceiver	NA	HALB	S.Real/AutoBF	1372.64	S1_FOB K2XX_L.LUIS LOPE	NO	4979318830
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336900	NA	8800630143	7	1342	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.42	S1_FOB K2XX_L.LUIS LOPE	NO	4979317799
479055	24/06/2014	ZSCR	551	034-2	NA	'045	5WK49608C	NA	A2C00004906	13	1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	21.32	S1_FOB K2XX_L.LUIS LOPE	NO	4979317825
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336100	NA	A2C34524701	9	1342	housing bottom assy	NA	ROH	NA	26.01	S1_FOB K2XX_L.LUIS LOPE	NO	4979317988
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32335900	NA	A2C34524801	1	1342	housing cover assy	NA	ROH	NA	15.81	S1_FOB K2XX_L.LUIS LOPE	NO	4979317996
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336700	NA	A2C34525101	2	1342	housing cover assy	NA	ROH	NA	33.06	S1_FOB K2XX_L.LUIS LOPE	NO	4979318011
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C81507500S	NA	A2C34525301	4	1342	housing bottom assy	NA	ROH	NA	11.56	S1_FOB K2XX_L.LUIS LOPE	NO	4979318196
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336100	NA	A2C34525401	9	1342	housing cover assy	NA	ROH	NA	142.92	S1_FOB K2XX_L.LUIS LOPE	NO	4979318209
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336100	NA	A2C34525500	18	1342	Side caps	NA	ROH	NA	232.38	S1_FOB K2XX_L.LUIS LOPE	NO	4979318225
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32337200	NA	A2C34971300	13	1342	clip	NA	ROH	NA	6.37	S1_FOB K2XX_L.LUIS LOPE	NO	4979318347
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32337200	NA	A2C53333375	13	1342	ring	NA	ROH	NA	6.11	S1_FOB K2XX_L.LUIS LOPE	NO	4979318621
479055	24/06/2014	ZSCR	551	034-2	NA	'045	A2C81507400	NA	A2C82493901	1	1342	housing cover assy	NA	ROH	NA	16.3	S1_FOB K2XX_L.LUIS LOPE	NO	4979318689
479075	24/06/2014	ZSCR	551	034-2	NA	'045	A2C32336900	NA	8800630143	5	1342	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.3	S1_FOB K2XX_L.LUIS LOPE	NO	4979317799
