No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Apd		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
436117	29/03/2014	ZSCR	551	034-2	NA	'100	5WY7806	NA	A2C00025296	88	3011	100		1342	not defined	NA	ROH	NA	22.88	OES_D219 AIRBAG_.	NO	4979405382
454677	07/05/2014	ZSCR	551	034-2	NA	'100	5WK43008	NA	6593770301	3	3011	100		1342	CARCASA CIVIC 01 TRES CONECTOR	NA	ROH	NA	228.42	OES_CIVIC_.	NO	4979405422
465877	29/05/2014	ZSCR	551	034-2	NA	'100	5WY7806	NA	6598182112	1	3011	100		1342	"PCB, FR4, 2 oz. outer, 1 oz. Inner (WIP)"	NA	ROH	NA	36.13	OES_D219 AIRBAG_.	NO	4979405446
465880	29/05/2014	ZSCR	551	034-2	NA	'100	5WY7806	NA	6598182112	3	3011	100		1342	"PCB, FR4, 2 oz. outer, 1 oz. Inner (WIP)"	NA	ROH	NA	108.39	OES_D219 AIRBAG_.	NO	4979405477
468738	03/06/2014	ZSCR	551	034-2	NA	'100	5WY70710	NA	6590082104	4	3011	100		1342	PWB-4 Layer P131 4XP ADRCM	NA	ROH	NA	61.48	OES_P131_.	NO	4979405506
471557	09/06/2014	ZSCR	551	034-2	NA	'100	5WY7110	NA	6578551904	10	3011	100		1342	SPACER FRAME EMS/PREMIUM	NA	ROH	NA	95.7	OES_EMS ECM_.	NO	4979403630
475766	17/06/2014	ZSCR	551	034-2	NA	'100	5WY7128	NA	6578557105	14	3011	100		1342	EMS/PREMIUM COVER with GUMMI JÄGER SEAL	NA	ROH	NA	1428.42	OES_EMS ECM_. (APROBAC	NO	4979403665
475779	17/06/2014	ZSCR	551	030-1	NA	'100	5WK84132	NA	A2C00017750	700	3011	100		1301	"2,BOTH,NORMAL,100mA,45V,SOT363,BIP/BC847"	NA	ROH	NA	105	OES_MK25_. (APROBACION	NO	4979403251
476136	18/06/2014	ZSCR	551	030-1	NA	'100	5WK84010	NA	6588362056	7	3011	100		1301	QUARTZ 7MHZ 0.005% CP12A	NA	ROH	NA	34.3	OES_MK25_. (APROBACION	NO	4979403202
476137	18/06/2014	ZSCR	551	030-1	NA	'100	5WK84006	NA	A2C00010400	42	3011	100		1301	"L COIL/-,16uH,100mA,SMD +++ use instead"	NA	ROH	NA	71.4	OES_MK25_. (APROBACION	NO	4979405641
