No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY75960	NA	6590110701	30	Epsilon SDM Cover	NA	ROH	NA	68.7	PSAD_EPSILON_O.OSCAR FO	NO				
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY79260	NA	6590110301	30	Epsilon SDM Housing	NA	ROH	NA	474	PSAD_EPSILON_O.OSCAR FO	NO				
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY75960	NA	A2C00013954	120	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	36	PSAD_EPSILON_O.OSCAR FO	NO				
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY75960	NA	A2C00023541	60	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	144	PSAD_EPSILON_O.OSCAR FO	NO				
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY75960	NA	A2C00049991	150	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	139.5	PSAD_EPSILON_O.OSCAR FO	NO				
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY75970	NA	A2C00023738	60	"47uF,20%,50V,HOL,AL,ELEC CAP/"	NA	ROH	NA	15.6	PSAD_EPSILON_O.OSCAR FO	NO				
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY75821	NA	A2C00018779	30	"56uH,480mA,HOL,COIL/B78148-S3563-J"	NA	ROH	NA	9	PSAD_EPSILON_O.OSCAR FO	NO				
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY75960	NA	A2C00022191	30	sticker	NA	ROH	NA	402	PSAD_EPSILON_O.OSCAR FO	NO				
479664	6/25/2014	ZSCR	551	040-3	NA	'054	5WY75960	NA	A2C00022954	30	"22uH,1.25A,HOL,COIL/B82144-F"	NA	ROH	NA	21.9	PSAD_EPSILON_O.OSCAR FO	NO				
480500	6/27/2014	ZSCR	551	034-2	NA	'054	5WK44566	NA	A2C53330109	2	socket	NA	ROH	NA	36.2	PSAD_DAIMLER STAR 2_A.A	NO				
480500	6/27/2014	ZSCR	551	034-2	NA	'054	A2C92704000	NA	A2C91600800	6	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	346.74	PSAD_DAIMLER STAR 2_A.A	NO				
480508	6/27/2014	ZSCR	551	034-2	NA	'054	5WK43756	NA	8800680101	7	Double-Tail Adapter 2035	NA	ROH	NA	1816.85	OC_OCS SUZUKI_A.ANA TAP	NO	4979937974			
480693	6/27/2014	ZSCR	551	042-4	NA	'054	5WK44422	NA	A2C53397780	2	cover	NA	ROH	NA	6.36	PS_HONDA HRS6_J.JUAN CH	NO				
480693	6/27/2014	ZSCR	551	042-4	NA	'054	5WK44375	NA	A2C53108387	10	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	1.8	PS_HONDA HRS6_J.JUAN CH	NO				
