No.Item	Fecha	Txs SAP	Mov	Código Scrap	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Valor	Doc. Header Tex	No.Docto.SAP
492079	18/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C00834100	11	1351	ROH	176.66	S1_SPDJB_M.MIGUEL BANUE	4980388514
492079	18/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40014082	52	1351	ROH	365.56	S1_SPDJB_M.MIGUEL BANUE	4980388514
492484	19/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40002143	16	1351	ROH	0.16	S1_TIPM MEDIUM_M.MIGUEL	4980388514
492484	19/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40006055	30	1351	ROH	22.2	S1_TIPM MEDIUM_M.MIGUEL	4980388514
492484	19/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40007730	555	1351	ROH	72.15	S1_TIPM MEDIUM_M.MIGUEL	4980388514
492484	19/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40001842	10	1351	ROH	0.1	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40003098	23	1351	ROH	0.23	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40012807	23	1351	ROH	23.69	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40007730	89	1351	ROH	11.57	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40010577	48	1351	ROH	3.36	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C00061949	39	1351	ROH	81.12	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40007536	5	1351	ROH	0.4	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40001281	14	1351	ROH	0.98	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40002143	49	1351	ROH	0.49	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40007522	12	1351	ROH	4.2	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40002000	13	1351	ROH	0.91	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40007117	280	1351	ROH	5.6	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C53428220	228	1351	ROH	148.2	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497521	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40006979	2	1351	ROH	0.06	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40003098	12	1351	ROH	0.12	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40012807	6	1351	ROH	6.18	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40005535	30	1351	ROH	0.6	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40006055	55	1351	ROH	40.7	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40002143	54	1351	ROH	0.54	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231400T	NA	A2C40012024	111	1351	ROH	2.22	S1_TIPM MEDIUM_M.MIGUEL	4980388514
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40007117	60	1351	ROH	1.2	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40007068	10	1351	ROH	0.2	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40010561	6	1351	ROH	0.48	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40009952	8	1351	ROH	0.96	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C40006979	13	1351	ROH	0.39	S1_TIPM MEDIUM_M.MIGUEL	4980388457
497609	29/07/2014	ZSCR	551	035-1	'050	A2C31231300T	NA	A2C53428220	92	1351	ROH	59.8	S1_TIPM MEDIUM_M.MIGUEL	4980388457
