No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
469656	05/06/2014	MB1A	951	025-4	NA	'015	NA	NA	A2C93099100	2		1254	wheel unit TPM	NA	FERT	NA	88.68	S1_TIS1C 127 TESLA_M.MI	NO	4980396205	
483489	02/07/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C30777500	5		1253	wheel unit TPM 315 MHz	VUT018527	FERT	NA	254.8	S1_TG1C UNIVERSAL_J.JAI	NO	4980395821	
484580	04/07/2014	MB1A	551	022-2	B30301-00495	'015	A2C93099100	NA	A2C93099100	18		1095	wheel unit TPM	NA	FERT	NA	798.12	S1_TIS1C 127 TESLA_M.MI	NO	4980396223	
484743	05/07/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C83144100	4		1253	wheel unit TPM	VUT018527	FERT	NA	220.96	S1_TG1C UNIVERSAL_J.JAI	NO	4980396178	
484745	05/07/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C83143000	4		1253	wheel unit TPM	VUT018529	FERT	NA	220.6	S1_TG1C UNIVERSAL_J.JAI	NO	4980396102	
490480	15/07/2014	ZSCR	551	034-2	NA	'015	5WY8827	NA	A2C83792200	4		1342	intermediate part	NA	ROH	NA	12.8	S1_TIS 1D MMC_J.JAIME J	NO	4980397122	
491557	17/07/2014	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C53347681	2		1095	wheel unit TPM	NA	FERT	NA	100.56	S1_TIS 1C MMC_. (APROB	NO	4980395973	
491564	17/07/2014	MB1A	551	040-1	B30301-00495	'015	NA	NA	A2C53347681	10		1095	wheel unit TPM	NA	FERT	NA	502.8	S1_TIS 1C MMC_. (APROB	NO	4980395973	
491570	17/07/2014	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C53347681	11		1095	wheel unit TPM	NA	FERT	NA	553.08	S1_TIS 1C MMC_. (APROB	NO	4980395973	
491617	17/07/2014	MB1A	551	022-2	B30301-00495	'015	NA	NA	A2C53347681	16		1095	wheel unit TPM	NA	FERT	NA	804.48	S1_TIS 1C MMC_. (APROB	NO	4980395973	
491625	18/07/2014	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C53347681	2		1095	wheel unit TPM	NA	FERT	NA	100.56	S1_TIS 1C MMC_. (APROB	NO	4980395973	
491629	18/07/2014	MB1A	551	040-4	B30301-00495	'015	A2C53401175	NA	A2C53401175	4		1095	parts kit assy TPM	NA	HALB	S.Real/AutoBF	163.2	S1_TIS 1C MMC_. (APROB	NO	4980396625	
491630	18/07/2014	MB1A	551	034-2	B30301-00495	'015	A2C53401175	NA	A2C53401175	2		1095	parts kit assy TPM	NA	HALB	S.Real/AutoBF	81.6	S1_TIS 1C MMC_. (APROB	NO	4980396625	
491631	18/07/2014	MB1A	551	034-2	B30301-00495	'015	A2C53401175	NA	A2C53401175	1		1095	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.8	S1_TIS 1C MMC_. (APROB	NO	4980396625	
491633	18/07/2014	MB1A	551	034-2	B30301-00495	'015	A2C53401174	NA	A2C53401174	11		1095	module assy TPM	NA	HALB	S.Real/AutoBF	432.08	S1_TIS 1C MMC_. (APROB	NO	4980396625	
491637	18/07/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53347681	123		1253	wheel unit TPM	ECN102535	FERT	NA	6184.44	S1_TIS 1C MMC_. (APROB	NO	4980395992	
491875	18/07/2014	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C53347681	5		1095	wheel unit TPM	NA	FERT	NA	251.4	S1_TIS 1C MMC_. (APROB	NO	4980395973	
492564	19/07/2014	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C53347681	6		1095	wheel unit TPM	NA	FERT	NA	301.68	S1_TIS 1C MMC_. (APROB	NO	4980395973	
493559	22/07/2014	ZSCR	551	030-1	NA	'050	A2C8551390093	NA	A2C8551390093	2		1301	circuit board assy TPM Bottom	NA	HALB	S.Real	46.46	S1_TIS1C127 BMW_E.ENRIQ	NO	4980397813	
494057	22/07/2014	ZSCR	551	034-2	NA	'015	A2C86718900	NA	A2C86176400	1		1342	housing assy TPM	NA	ROH	NA	8.71	S1_TIS 1D CHRYSLER_J.JA	NO	4980397355	
494057	22/07/2014	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C86733500	1		1342	pcb assy VDC	NA	HALB	S.Real/AutoBF	21.98	S1_TIS 1D CHRYSLER_J.JA	NO	4980397671	
494231	23/07/2014	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C53347681	4		1095	wheel unit TPM	NA	FERT	NA	201.12	S1_TIS 1C MMC_. (APROB	NO	4980395973	
494492	23/07/2014	ZSCR	551	034-2	NA	'015	5WY8548	NA	A2C3144250093	1		1342	circuit board assy TPM 433 MHz	NA	HALB	S.Real	28.03	S1_TG1C DCX_J.JAIME JIM	NO	4980397773	
494518	23/07/2014	ZSCR	551	034-2	NA	'015	A2C86718900	NA	A2C86176400	4		1342	housing assy TPM	NA	ROH	NA	34.84	S1_TIS 1D CHRYSLER_J.JA	NO	4980397355	
494518	23/07/2014	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C86733500	7		1342	pcb assy VDC	NA	HALB	S.Real/AutoBF	153.86	S1_TIS 1D CHRYSLER_J.JA	NO	4980397671	
494520	23/07/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	1		1342	housing assy TPM	NA	HALB	S.Real/AutoBF	42.95	S1_TIS 1D CHRYSLER_J.JA	NO	4980397631	
494523	23/07/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	2		1342	housing assy TPM	NA	HALB	S.Real/AutoBF	85.9	S1_TIS 1D CHRYSLER_J.JA	NO	4980397631	
494641	23/07/2014	ZSCR	551	034-2	NA	'015	5WY8548	NA	A2C53402832	2		1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	80.38	S1_TG1C DCX_J.JAIME JIM	NO	4980397403	
494642	23/07/2014	ZSCR	551	034-2	NA	'050	5WY8548	NA	A2C86363000	1		1342	pcb	NA	ROH	NA	1.48	S1_TG1C DCX_J.JAIME JIM	NO	4980396915	
494654	23/07/2014	MB1A	551	010-4	95000015	'015	NA	NA	A2C32163500	4		1104	module assy TPM 433 MHz	QN410102918	HALB	S.Real/AutoBF	156.32	410102918_TG1C D	NO	4980396360	
