No.Item	Fecha	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP				
501219	05/08/2014	025-3	NA	'015	NA	NA	A2C53323521	2	1253	housing bottom	VUG014869	ROH	NA	5.22	S1_DCU_A.ADRIAN CEBALLO	NO	4981172206				
501579	06/08/2014	025-3	NA	'015	NA	NA	A2C53323521	2	1253	housing bottom	VUG014869	ROH	NA	5.22	S1_DCU_A.ADRIAN CEBALLO	NO	4981172206				
502956	09/08/2014	034-2	NA	'050	A2C53338453T	NA	A2C53306326	16	1342	pcb panel multiple rear	NA	ROH	NA	136	S1_DCU_A.ADRIAN CEBALLO	NO	4981173552				
503066	10/08/2014	034-2	NA	'050	5WY8833	NA	A2C00053178	11	1342	"MICRO,TWIN,12V,RELAY/G8ND-27UR"	NA	ROH	NA	95.15	S1_DCU_A.ADRIAN CEBALLO	NO	4981173552				
504202	12/08/2014	040-3	NA	'050	A2C53398069	NA	A2C86363000	48	1403	pcb	NA	ROH	NA	71.04	S1_TG1C UNIVERSAL_J.JAI	NO	4981173591				
504232	12/08/2014	034-2	NA	'050	5WY8833	NA	A2C00053178	10	1342	"MICRO,TWIN,12V,RELAY/G8ND-27UR"	NA	ROH	NA	86.5	S1_DCU_A.ADRIAN CEBALLO	NO	4981173552				
504406	12/08/2014	025-3	NA	'015	NA	NA	A2C53323521	5	1253	housing bottom	VUG014869	ROH	NA	13.05	S1_DCU_A.ADRIAN CEBALLO	NO	4981172206				
505804	15/08/2014	034-2	NA	'015	5WY8547	NA	A2C00046497	2	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	16.24	S5_TG1C HONDA_M.MIGUEL	NO	4981173652				
507283	18/08/2014	034-2	NA	'015	A2C80157400	NA	A2C86697800	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	48.78	S1_TG1C UNIVERSAL_J.JAI	NO	4981173329				
507285	18/08/2014	034-2	NA	'015	A2C80157400	NA	A2C86697900	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	47.14	S1_TG1C UNIVERSAL_J.JAI	NO	4981173332				
