g	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
530844	06/10/2014	ZSCR	551	022-2	NA	'015	NA	NA	A2C33278700	5	1222	module assy BCU BUX LOG	NA	HALB	S.Real	1138.25	S1_TIPM LOGIC_A.ALVARO	NO	4983282302
531566	08/10/2014	MB1A	551	010-4	95000051	'015	NA	NA	A2C31231400	2	1104	pcb topMAN BCU CHR 7Ci S1	QN410106604	HALB	S.Real/AutoBF	453.32	410106604_TIPM L	NO	4983282151
533372	12/10/2014	ZSCR	551	050-5	NA	'015	A2C73751902	NA	A2C73751902	42	1505	transmitter CHR PASE 433 NV#05 4B	NA	HALB	S.Real	3978.66	S1_CUSW UF PASE_A.ADRIA	NO	4983282461
535362	16/10/2014	ZSCR	551	040-5	NA	'015	A2C74493301	95AA	A2C74493301	2	1405	BCU CHRDX MY15 CBC2	NA	FERT	NA	903.96	S1_CBC_P.PABLO PALMER-C	NO	4983282216
535364	16/10/2014	ZSCR	551	042-4	NA	'015	A2C74493301	95AA	A2C74493301	2	1424	BCU CHRDX MY15 CBC2	NA	FERT	NA	903.96	S1_CBC_P.PABLO PALMER-C	NO	4983282221
535707	16/10/2014	ZSCR	551	034-2	NA	'015	A2C74493301	95AA	A2C74493301	1	1342	BCU CHRDX MY15 CBC2	NA	FERT	NA	451.98	S1_CBC MY15_. (APROBAC	NO	4983282233
535711	16/10/2014	ZSCR	551	034-2	NA	'015	A2C74493301	95AA	A2C74493301	1	1342	BCU CHRDX MY15 CBC2	NA	FERT	NA	451.98	S1_CBC MY15_. (APROBAC	NO	4983282233
536834	18/10/2014	ZSCR	551	030-1	NA	'050	A2C8730220093	NA	A2C8730220092	8	1301	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real/AutoBF	510.64	S1_CUSW UF RFHM_A.ADRIA	NO	4983282387
536836	18/10/2014	ZSCR	551	030-1	NA	'050	A2C87302200	NA	A2C8730220092	12	1301	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real/AutoBF	765.96	S1_CUSW UF RFHM_A.ADRIA	NO	4983282387
537288	20/10/2014	MB1A	551	010-4	95000021	'050	NA	NA	A2C3813640093	1	1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) T"""	QN410098771	HALB	S.Real/AutoBF	38.68	410098771_PASE F	NO	4983282137
537289	20/10/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7441340093	3	1104	electronic assy PASE 433 Fiat E45 Top	QN410098771	HALB	S.Real/AutoBF	100.77	410098771_PASE F	NO	4983282137
537290	20/10/2014	MB1A	551	010-4	95000021	'050	NA	NA	A2C3808140093	8	1104	"""SUB FOBIK PCB T-ASM, NA/EU(U L T) T"""	QN410098771	HALB	S.Real/AutoBF	270.32	410098771_PASE F	NO	4983282137
537293	20/10/2014	ZSCR	551	034-2	NA	'015	A2C7378970593	NA	A2C7378970593	2	1342	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	829.4	S1_CBC MY15_. (APROBAC	NO	4983282438
537294	20/10/2014	ZSCR	551	042-4	NA	'015	A2C7378970593	NA	A2C7378970593	1	1424	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	414.7	S1_CBC MY15_. (APROBAC	NO	4983282453
