No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
538436	22/10/2014	ZSCR	551	040-5	NA	'045	A2C74024811	NA	A2C34687300	20		1405	"CONNECTOR 155P,GLOBAL A BCM - MID CONTEN"	NA	ROH	NA	789.2	S1_BCM K2XX_L.LUIS LIZA	NO	4983470150
538436	22/10/2014	ZSCR	551	040-5	NA	'045	A2C34710700	NA	A2C40001221	60		1405	"C ELEC,AL,470uF,20%,35V"	NA	ROH	NA	58.2	S1_BCM K2XX_L.LUIS LIZA	NO	4983470168
538960	23/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C00024322	10		1342	key ring	NA	ROH	NA	6.6	S1_PK MY 13 FORD_M.MANU	NO	4983468897
538960	23/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31227300	4		1342	housing assy	NA	ROH	NA	10.44	S1_PK MY 13 FORD_M.MANU	NO	4983468897
538960	23/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31227400	1		1342	contact spring	NA	ROH	NA	0.75	S1_PK MY 13 FORD_M.MANU	NO	4983468897
538960	23/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31249900	2		1342	key	NA	ROH	NA	40.76	S1_PK MY 13 FORD_M.MANU	NO	4983468897
538960	23/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31578100	4		1342	contact spring	NA	ROH	NA	2.84	S1_PK MY 13 FORD_M.MANU	NO	4983468897
538965	23/10/2014	MB1A	551	010-3	95000014	'045	NA	NA	A2C00054503	56		1103	"SEN/DST80 Wedge Transponder 134.2kHz, Fo"	QN410105869	ROH	NA	641.76	410105869_PEPS_J	NO	4983470348
538965	23/10/2014	MB1A	551	010-3	95000014	'045	NA	NA	A2C53426033	56		1103	frame	QN410105869	ROH	NA	137.76	410105869_PEPS_J	NO	4983470348
538965	23/10/2014	MB1A	551	010-3	95000014	'045	NA	NA	A2C80613000	1		1103	Key pad 5 buttons	QN410105869	ROH	NA	7.11	410105869_PEPS_J	NO	4983470348
538967	23/10/2014	ZSCR	551	040-2	NA	'045	5WY7703	NA	A2C53119450	4		1402	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	36	S1_PATS_M.MANUEL MANZAN	NO	4983469048
538968	23/10/2014	ZSCR	551	040-2	NA	'045	5WY7703	NA	A2C53119450	2		1402	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	18	S1_PATS_M.MANUEL MANZAN	NO	4983469048
539218	23/10/2014	ZSCR	551	022-2	NA	'045	S180039018	NA	A2C53121775	1		1222	housing	NA	ROH	NA	1.56	S2_RF TUNER_A.ANTONIO A	NO	4983468296
539218	23/10/2014	ZSCR	551	022-2	NA	'045	S180039018	NA	A2C53121776	1		1222	cover	NA	ROH	NA	1.11	S2_RF TUNER_A.ANTONIO A	NO	4983468296
539218	23/10/2014	ZSCR	551	022-2	NA	'045	S180064016	NA	A2C53124003	1		1222	sticker	NA	ROH	NA	0.15	S2_RF TUNER_A.ANTONIO A	NO	4983468317
539220	23/10/2014	ZSCR	551	040-1	NA	'045	A2C32337700	NA	A2C32591000	5		1401	housing assy	NA	ROH	NA	30	S1_INTERNAL RECEIVER K2	NO	4983469013
539317	23/10/2014	MB1A	551	010-3	95000014	'045	NA	NA	A2C00054503	301		1103	"SEN/DST80 Wedge Transponder 134.2kHz, Fo"	QN410010586	ROH	NA	3449.46	410010586_PEPS_J	NO	4983470274
539317	23/10/2014	MB1A	551	010-3	95000014	'045	NA	NA	A2C31197800	2		1103	Key ring	QN410010586	ROH	NA	1.02	410010586_PEPS_J	NO	4983470274
539317	23/10/2014	MB1A	551	010-3	95000014	'045	NA	NA	A2C53426033	301		1103	frame	QN410010586	ROH	NA	740.46	410010586_PEPS_J	NO	4983470274
539317	23/10/2014	MB1A	551	010-3	95000014	'045	NA	NA	A2C53429315	2		1103	housing cover assy FOG FORD P	QN410010586	ROH	NA	50	410010586_PEPS_J	NO	4983470274
539317	23/10/2014	MB1A	551	010-3	95000014	'045	NA	NA	A2C80613000	1		1103	Key pad 5 buttons	QN410010586	ROH	NA	7.11	410010586_PEPS_J	NO	4983470274
539320	23/10/2014	ZSCR	551	040-3	NA	'045	5WY7703	NA	8800630143	20		1403	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	1.2	S1_PATS_M.MANUEL MANZAN	NO	4983469671
539320	23/10/2014	ZSCR	551	040-3	NA	'045	5WY7703	NA	A2C53119451	12		1403	COVER PATS CLIP ON 5WY7703	NA	ROH	NA	11.28	S1_PATS_M.MANUEL MANZAN	NO	4983469671
539321	23/10/2014	ZSCR	551	050-3	NA	'045	5WY7703	NA	8800630143	5		1503	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.3	S1_PATS_M.MANUEL MANZAN	NO	4983470179
539321	23/10/2014	ZSCR	551	050-3	NA	'045	5WY7703	NA	A2C53119450	5		1503	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	45	S1_PATS_M.MANUEL MANZAN	NO	4983470179
539370	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31544300	NA	A2C31197800	22		1402	Key ring	NA	ROH	NA	11.22	S1_PEPS_J.JAVIER BECERR	NO	4983469196
539370	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31544300	NA	A2C53429315	25		1402	housing cover assy FOG FORD P	NA	ROH	NA	625	S1_PEPS_J.JAVIER BECERR	NO	4983469196
539386	23/10/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C00024322	4		1401	key ring	NA	ROH	NA	2.64	S1_PK MY 13 FORD_M.MANU	NO	4983468965
539386	23/10/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C31227300	3		1401	housing assy	NA	ROH	NA	7.83	S1_PK MY 13 FORD_M.MANU	NO	4983468965
539386	23/10/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C31227400	2		1401	contact spring	NA	ROH	NA	1.5	S1_PK MY 13 FORD_M.MANU	NO	4983468965
539386	23/10/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C31227500	1		1401	label	NA	ROH	NA	0.24	S1_PK MY 13 FORD_M.MANU	NO	4983468965
539386	23/10/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C31578100	3		1401	contact spring	NA	ROH	NA	2.13	S1_PK MY 13 FORD_M.MANU	NO	4983468965
539386	23/10/2014	ZSCR	551	040-1	NA	'045	A2C31243800	NA	A2C37755000	3		1401	ring	NA	ROH	NA	61.71	S1_PK MY 13 FORD_M.MANU	NO	4983468992
539386	23/10/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C53405271	1		1401	Foam cushion	NA	ROH	NA	0.33	S1_PK MY 13 FORD_M.MANU	NO	4983468965
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C00024322	8		1402	key ring	NA	ROH	NA	5.28	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C00045268	25		1402	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	42.5	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227300	18		1402	housing assy	NA	ROH	NA	46.98	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227400	17		1402	contact spring	NA	ROH	NA	12.75	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227500	12		1402	label	NA	ROH	NA	2.88	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31242200	1		1402	slider FORD PE	NA	ROH	NA	1.62	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31249900	5		1402	key	NA	ROH	NA	101.9	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31578100	22		1402	contact spring	NA	ROH	NA	15.62	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C53405271	12		1402	Foam cushion	NA	ROH	NA	3.96	S1_PK MY 13 FORD_M.MANU	NO	4983469065
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31244500	NA	A2C82186600	9		1402	housing	NA	ROH	NA	454.14	S1_PK MY 13 FORD_M.MANU	NO	4983469164
539389	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31244600	NA	A2C83563200	2		1402	sticker	NA	ROH	NA	2.9	S1_PK MY 13 FORD_M.MANU	NO	4983469180
539393	23/10/2014	ZSCR	551	040-2	NA	'045	A2C31244600	NA	A2C82245800	2		1402	housing cover assy	NA	ROH	NA	99.42	S1_PK MY 13 FORD_M.MANU	NO	4983469180
539454	24/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C00045268	2		1403	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	3.4	S1_PK MY 13 FORD_M.MANU	NO	4983469835
539454	24/10/2014	ZSCR	551	040-3	NA	'045	A2C31243600	NA	A2C31225200	7		1403	housing cover assy	NA	ROH	NA	320.95	S1_PK MY 13 FORD_M.MANU	NO	4983469929
539454	24/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227300	44		1403	housing assy	NA	ROH	NA	114.84	S1_PK MY 13 FORD_M.MANU	NO	4983469835
539454	24/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227400	22		1403	contact spring	NA	ROH	NA	16.5	S1_PK MY 13 FORD_M.MANU	NO	4983469835
539454	24/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227500	22		1403	label	NA	ROH	NA	5.28	S1_PK MY 13 FORD_M.MANU	NO	4983469835
539454	24/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31249900	4		1403	key	NA	ROH	NA	81.52	S1_PK MY 13 FORD_M.MANU	NO	4983469835
539454	24/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31578100	23		1403	contact spring	NA	ROH	NA	16.33	S1_PK MY 13 FORD_M.MANU	NO	4983469835
539454	24/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C53405271	22		1403	Foam cushion	NA	ROH	NA	7.26	S1_PK MY 13 FORD_M.MANU	NO	4983469835
539458	24/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C00045268	12		1342	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	20.4	S1_PK MY 13 FORD_M.MANU	NO	4983468897
539458	24/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31227300	54		1342	housing assy	NA	ROH	NA	140.94	S1_PK MY 13 FORD_M.MANU	NO	4983468897
539458	24/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31227400	54		1342	contact spring	NA	ROH	NA	40.5	S1_PK MY 13 FORD_M.MANU	NO	4983468897
539458	24/10/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31227500	8		1342	label	NA	ROH	NA	1.92	S1_PK MY 13 FORD_M.MANU	NO	4983468897
