No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	d	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
542483	30/10/2014	ZSCR	551	030-1	NA	'054	A2C80644601	NA	A2C81531200	1				1301	pcb assy DAGARM3 V14	7	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542488	30/10/2014	ZSCR	551	030-1	NA	'054	A2C83971700	NA	A2C8397190093	1				1301	pcb topSMD top	2	HALB	S.Real	332.31	PS_SDM10+_.	NO	
542494	30/10/2014	ZSCR	551	030-1	NA	'054	A2C91763800	NA	A2C9257200093	1				1301	pcb botMAN GMSDM30 Top	1	HALB	S.Real	140.84	PS_SDM30_.	NO	
542496	30/10/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1301	pcb assy GMSMD30 Top	17	HALB	S.Real	256.95	PS_SDM30_.	NO	
542503	30/10/2014	ZSCR	551	030-1	NA	'054	A2C81542500	NA	A2C81543200	1				1301	pcb assy	1	HALB	S.Real	415.2	PS_ARAMIS 2012_.	NO	
542504	30/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	29	HALB	S.Real	384.12	PS_SDM30_.	NO	
542507	30/10/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542510	30/10/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542511	30/10/2014	ZSCR	551	030-1	NA	'054	A2C80644601	NA	A2C81531200	1				1301	pcb assy DAGARM3 V14	7	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542515	30/10/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542517	30/10/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542518	30/10/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542551	30/10/2014	ZSCR	551	090-1	NA	'054	A2C8021660002	NA	A2C8021660093	36	3011	054	 	1301	pcb assy HONHRS6 V04 TOP	17	HALB	S.Real	9536.04	PS_HONDA HRS6_J.JUAN CH	NO	
542553	30/10/2014	ZSCR	551	090-1	NA	'054	A2C83971900	NA	A2C8397190093	34	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	11298.54	PS_SDM10+_. (APROBACIO	NO	
542556	30/10/2014	ZSCR	551	034-8	NA	'054	A2C53108385MI	NA	A2C53125028	70				1348	pcb DC 70 LP PRO NU	1	ROH	NA	98	OES_ARAMIS I_E.EDWIN RO	NO	
542571	30/10/2014	ZSCR	551	040-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	29	HALB	S.Real	384.12	PS_SDM30_. (APROBACION	NO	
542572	30/10/2014	ZSCR	551	040-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	29	HALB	S.Real	384.12	PS_SDM30_. (APROBACION	NO	
542573	30/10/2014	ZSCR	551	040-3	NA	'054	A2C91764300	NA	A2C9257250093	1				1403	pcb assy GMSMD30 Top	6	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO	
542574	30/10/2014	ZSCR	551	040-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542576	30/10/2014	ZSCR	551	042-4	NA	'054	A2C85621900	NA	A2C53419922	1				1424	PIN CONNECTOR 50PIN COD D-G MELON YELLOW	1	ROH	NA	17.82	PSAD_GM BRASIL_A.ANA TA	NO	
542576	30/10/2014	ZSCR	551	042-4	NA	'054	A2C53413652	NA	A2C53419925	1				1424	PIN CONNECTOR / 50 POL.	1	ROH	NA	19.07	PSAD_GM BRASIL_A.ANA TA	NO	
542584	30/10/2014	ZSCR	551	034-2	NA	'054	A2C82735400	NA	A2C40000025	7				1342	"C ELEC,AL,6.8mF,20%,35V"	2	ROH	NA	47.81	PS_SDM10+_. (APROBACIO	NO	
542589	30/10/2014	ZSCR	551	050-1	NA	'054	A2C91764100	NA	A2C9257230093	2	3011	054	 	1301	pcb assy GMSMD30 Top	17	HALB	S.Real	513.9	PS_SDM30_. (APROBACION	NO	
542589	30/10/2014	ZSCR	551	050-1	NA	'054	A2C91764300	NA	A2C9257250093	1				1501	pcb assy GMSMD30 Top	6	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO	
