Txs SAP	ZSCR
Tipo	(Multiple Items)
Tipo Sub	(Multiple Items)
	
Row Labels	Count of No.Item
5WK44675	14
A2C53412213	12
A2C34527200	11
A2C34527100	10
A2C8021660002	10
A2C8153120093	9
A2C91764400	9
A2C8661710092	9
A2C37924700	9
NA	9
A2C9663160093	9
A2C91764100	8
A2C8661710093	8
A2C3108070093	8
A2C53404914B	8
A2C86816801	8
A2C8021770003	8
A2C91764300	8
A2C53364457	8
A2C9257220093	8
A2C37964110	7
A2C9257230093	7
A2C5340491402	7
A2C8397190092	7
A2C81531200	7
A2C8397200093	7
A2C53404914	7
A2C3320950093	7
5WY89350	7
A2C8153300092	7
A2C80644601	7
A2C8021770092	7
A2C8681670092	6
A2C32453911	6
A2C53429875	6
A2C3320990093	6
A2C31080700	6
A2C5339962992	6
A2C53412223	6
A2C5339962993	6
A2C9257200093	6
A2C8253870092	6
A2C9257240093	6
A2C83971900	6
A2C53404914A	6
A2C30910800	6
A2C53287874	5
A2C9449080093	5
A2C9257250093	5
5WK44771	5
A2C8334150092	5
A2C3250900092	5
A2C32682200	5
A2C53435477	5
A2C94490800	5
A2C5343547792	5
A2C8021770093	5
A2C8397200092	5
A2C82735400	5
A2C5343547793	5
A2C81542300	4
A2C91764200	4
A2C86816802	4
A2C3250900093	4
A2C30910808	4
A2C3511610193	4
A2C86816800	4
5WK44285	4
A2C86852400	4
A2C38122200	4
6592827601V02	4
5WK44508	4
A2C9449080092	4
A2C8021730093	4
A2C92704001	3
A2C32453910	3
A2C38171903	3
A2C9663170093	3
A2C8021660092	3
5WK43025	3
5WY82780	3
A2C8032340092	3
5WK44292	3
A2C9666050093	3
A2C5344039293	3
A2C3511610192	3
A2C8021660093	3
A2C83016700	3
5WK44120	3
A2C8337860193	3
A2C8021770002	3
5WK44781	3
5WY90220	2
5WK44551	2
A2C9663150093	2
A2C8025640092	2
A2C86887711	2
A2C31267600	2
A2C8021730092	2
A2C80644600	2
A2C85901110	2
A2C9666050092	2
A2C86816901	2
A2C53345102	2
5WK44252	2
A2C53374378	2
5WK43242	2
A2C81542500	2
A2C3320990092	2
A2C81542600	2
A2C38172103	2
A2C81768403	2
A2C85901111	2
A2C82540900	2
A2C53413652	2
A2C82735500	2
A2C32453907	2
A2C83007700	2
A2C89711901	2
5WK44366	2
5WK43232	2
A2C83046900	2
A2C33000300	2
5WK44058	2
A2C30910806	2
A2C83749500	2
A2C92704000	2
A2C83971700	2
5WK44078	2
5WK44508SP	2
5WK43877	2
A2C84370400	2
A2C8021770004	2
A2C85801200	2
A2C8153300093	2
A2C81768402	2
A2C87074900	1
A2C86329900	1
A2C80612806	1
A2C53381624	1
5WY87010	1
A2C53388687	1
A2C3511610092	1
A2C53389850	1
5WK44781SP	1
5WK43955	1
A2C8665110093	1
A2C81622000	1
A2C38172101	1
A2C31267500MI	1
5WY89340	1
5WK44424	1
A2C32453902	1
A2C82097900	1
5WK44077	1
A2C82134600	1
A2C33330514	1
A2C82535000	1
5WY86940	1
5WK44830	1
5WY86980	1
5WK44469	1
5WK44079	1
A2C82542000	1
A2C8021730002	1
A2C82735100	1
A2C90500300	1
A2C82735300	1
A2C53241830	1
5WKHRS5	1
5WK44773	1
5WK44470	1
A2C8032340093	1
A2C82735600	1
A2C94706000	1
5WK44076	1
A2C9663170092	1
A2C83008900	1
A2C31267500	1
A2C83012100	1
A2C73614500	1
A2C83016100	1
A2C86617100	1
A2C37964111	1
5WY86960	1
A2C83021101	1
A2C86816700	1
A2C83042700	1
A2C74675900	1
A2C38081601	1
5WK44748	1
A2C8327870092	1
A2C86832600	1
A2C83341500	1
A2C86887710	1
5WY78881	1
A2C87038500	1
5WK44564	1
A2C33000200	1
A2C83749400	1
A2C91763800	1
A2C38081701	1
A2C53108385MI	1
5WK44568	1
5WY89360	1
5WY78940	1
A2C53344922	1
5WK43007	1
5WK44774	1
A2C83972000	1
5WK44354	1
5WY85260	1
5WK43345	1
5WY86930	1
A2C3108070092	1
5WK44689	1
A2C94819900	1
A2C84661700	1
A2C5337551193	1
A2C8483530093	1
A2C80645000	1
A2C85621900	1
5WK44818	1
A2C85801000	1
5WK44822	1
5WK42580	1
Grand Total	709
