No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	planta	APD	Espacio	Reason Code	Descripción	g	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
540972	27/10/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C3511620192	1	3011	054	 	1253	pcb assy DAGSTAR2 D_13 SMD BOT	9	HALB	S.Real/AutoBF	147.49	PSAD_DAIMLER STAR 2_A.A	NO	
540972	27/10/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C3511620193	5	3011	054	 	1253	pcb assy DAGSTAR2 D_13 SMD TOP	9	HALB	S.Real	1594.55	PSAD_DAIMLER STAR 2_A.A	NO	
540972	27/10/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C8705700193	6	3011	054	 	1253	pcb assy DAGSTAR2 D_18 SMD TOP	9	HALB	S.Real	2027.04	PSAD_DAIMLER STAR 2_A.A	NO	
541355	28/10/2014	MB1A	551	022-2	K96019	'054	NA	67AA	A2C80612810	16	3011	054	 	1095	ACU RENT4X52 MY12 S15 02 00 0 0 0 000	9	FERT	NA	2334.4	PS_RENAULT_.	NO	
542488	30/10/2014	ZSCR	551	030-1	NA	'054	A2C83971700	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	6	HALB	S.Real	332.31	PS_SDM10+_.	NO	
542494	30/10/2014	ZSCR	551	030-1	NA	'054	A2C91763800	NA	A2C9257200093	1	3011	054	 	1301	pcb botMAN GMSDM30 Top	2	HALB	S.Real	140.84	PS_SDM30_.	NO	
542503	30/10/2014	ZSCR	551	030-1	NA	'054	A2C81542500	NA	A2C81543200	1	3011	054	 	1301	pcb assy	3	HALB	S.Real	415.2	PS_ARAMIS 2012_.	NO	
542556	30/10/2014	ZSCR	551	034-8	NA	'054	A2C53108385MI	NA	A2C53125028	70	3011	054	 	1348	pcb DC 70 LP PRO NU	1	ROH	NA	98	OES_ARAMIS I_E.EDWIN RO	NO	
542573	30/10/2014	ZSCR	551	040-3	NA	'054	A2C91764300	NA	A2C9257250093	1	3011	054	 	1403	pcb assy GMSMD30 Top	10	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO	
542576	30/10/2014	ZSCR	551	042-4	NA	'054	A2C85621900	NA	A2C53419922	1	3011	054	 	1424	PIN CONNECTOR 50PIN COD D-G MELON YELLOW	1	ROH	NA	17.82	PSAD_GM BRASIL_A.ANA TA	NO	
542576	30/10/2014	ZSCR	551	042-4	NA	'054	A2C53413652	NA	A2C53419925	1	3011	054	 	1424	PIN CONNECTOR / 50 POL.	4	ROH	NA	19.07	PSAD_GM BRASIL_A.ANA TA	NO	
542584	30/10/2014	ZSCR	551	034-2	NA	'054	A2C82735400	NA	A2C40000025	7	3011	054	 	1342	"C ELEC,AL,6.8mF,20%,35V"	5	ROH	NA	47.81	PS_SDM10+_. (APROBACIO	NO	
542589	30/10/2014	ZSCR	551	050-1	NA	'054	A2C91764300	NA	A2C9257250093	1	3011	054	 	1501	pcb assy GMSMD30 Top	10	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO	
542599	30/10/2014	ZSCR	551	034-2	NA	'054	A2C82540900	NA	A2C82535500	100	3011	054	 	1342	certification label identificati	2	ROH	NA	25	PSAD_OPEL 4400_J.JOSE O	NO	
542599	30/10/2014	ZSCR	551	034-2	NA	'054	A2C84370400	NA	A2C83008500	100	3011	054	 	1342	caution label warning	2	ROH	NA	34	PSAD_OPEL 4400_J.JOSE O	NO	
542605	30/10/2014	ZSCR	551	034-2	NA	'054	A2C94490800	NA	A2C94490800	1	3011	054	 	1342	pcb assy HONHRS5 V37	5	HALB	S.Real	180.62	PS_HONDA HRS6_J.JUAN CH	NO	
542611	30/10/2014	ZSCR	551	034-2	NA	'054	A2C81768403	NA	A2C83435000	2	3011	054	 	1342	cover FIP T BK	3	ROH	NA	38.04	PSAD_DAIMLER STAR 2_A.A	NO	
542807	31/10/2014	ZSCR	551	034-2	NA	'054	A2C83749500	NA	A2C40000022	1	3011	054	 	1342	"C ELEC,AL,4.7mF,20%,35V"	2	ROH	NA	6.73	PS_SDM10+_.	NO	
542807	31/10/2014	ZSCR	551	034-2	NA	'054	A2C82735400	NA	A2C40000025	2	3011	054	 	1342	"C ELEC,AL,6.8mF,20%,35V"	5	ROH	NA	13.66	PS_SDM10+_.	NO	
542810	31/10/2014	ZSCR	551	042-4	NA	'054	A2C38171903	NA	A2C91595300	1	3011	054	 	1424	multipoint connector124/ 55P H 2SYS 1018	3	ROH	NA	50.54	PSAD_DAIMLER STAR2_ISC_	NO	
542841	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	6	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542843	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86617100	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	1	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542845	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	9	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542851	31/10/2014	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53388687	1	3011	054	 	1301	circuit board assy	16	HALB	S.Real	359.32	PS_ARAMIS 2012_. (APRO	NO	
