No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
542488	30/10/2014	ZSCR	551	030-1	NA	'054	A2C83971700	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_.	NO		
542494	30/10/2014	ZSCR	551	030-1	NA	'054	A2C91763800	NA	A2C9257200093	1	3011	054	 	1301	pcb botMAN GMSDM30 Top	NA	HALB	S.Real	140.84	PS_SDM30_.	NO		
542573	30/10/2014	ZSCR	551	040-3	NA	'054	A2C91764300	NA	A2C9257250093	1	3011	054	 	1403	pcb assy GMSMD30 Top	NA	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO		
542576	30/10/2014	ZSCR	551	042-4	NA	'054	A2C85621900	NA	A2C53419922	1	3011	054	 	1424	PIN CONNECTOR 50PIN COD D-G MELON YELLOW	NA	ROH	NA	17.82	PSAD_GM BRASIL_A.ANA TA	NO		
542589	30/10/2014	ZSCR	551	050-1	NA	'054	A2C91764300	NA	A2C9257250093	1	3011	054	 	1501	pcb assy GMSMD30 Top	NA	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO		
542599	30/10/2014	ZSCR	551	034-2	NA	'054	A2C84370400	NA	A2C83008500	100	3011	054	 	1342	caution label warning	NA	ROH	NA	34	PSAD_OPEL 4400_J.JOSE O	NO		
542605	30/10/2014	ZSCR	551	034-2	NA	'054	A2C94490800	NA	A2C94490800	1	3011	054	 	1342	pcb assy HONHRS5 V37	NA	HALB	S.Real	180.62	PS_HONDA HRS6_J.JUAN CH	NO		
542807	31/10/2014	ZSCR	551	034-2	NA	'054	A2C83749500	NA	A2C40000022	1	3011	054	 	1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	6.73	PS_SDM10+_.	NO		
542841	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	NA	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO		
542843	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86617100	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	NA	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO		
542845	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	NA	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO		
542857	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	NA	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO		
542859	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	NA	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO		
542860	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Top	NA	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO		
542881	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO		
542882	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO		
542884	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C86617100	3	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	1279.71	PS_ARAMIS III_E.EDWIN R	NO		
542890	31/10/2014	ZSCR	551	030-1	NA	'054	A2C91764300	NA	A2C9257250093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO		
542910	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971700	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO		
542922	31/10/2014	ZSCR	551	030-1	NA	'054	A2C85801000	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO		
543322	01/11/2014	ZSCR	551	042-4	NA	'054	A2C92704001	NA	A2C91600800	2	3011	054	 	1424	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	115.58	PSAD_DAIMLER STAR 2_A.A	NO		
543342	01/11/2014	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C83145200	100	3011	054	 	1342	certification label identificati	NA	ROH	NA	33	PS_SDM10+_.	NO		
543342	01/11/2014	ZSCR	551	034-2	NA	'054	A2C83749500	NA	A2C53333520	200	3011	054	 	1342	TYPE LABLE	NA	ROH	NA	76	PS_SDM10+_.	NO		
543391	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO		
543392	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO		
543393	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	2	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	853.14	PS_ARAMIS III_E.EDWIN R	NO		
543518	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86887711	NA	A2C86884501	1	3011	054	 	1301	pcb assy DAGSTAR2 D_14	NA	HALB	S.Real	499.67	PSAD_DAIMLER STAR 2_A.A	NO		
