No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Apd	espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
550214	14/11/2014	ZSCR	551	040-3	NA	'054	5WY85260	DAAE	5WY85260	3				1403	EPSILON MY09.5 GMX381Sedan 10 MLFB	NA	FERT	NA	983.25	PSAD_EPSILON_O.OSCAR FO	NO	4984277065	
550214	14/11/2014	ZSCR	551	040-3	NA	'054	5WY89340	VAAF	5WY89340	1				1403	EPSILON MY2011 GMX386 12L	NA	FERT	NA	366.03	PSAD_EPSILON_O.OSCAR FO	NO	4984277095	
550301	14/11/2014	ZSCR	551	042-4	NA	'100	5WK84006	NA	6596177647M	2	3011	054	 	1424	Panel complete	NA	ROH	NA	232.12	OES_MK25_. (APROBACION	NO	**	
550303	14/11/2014	ZSCR	551	034-2	NA	'100	5WK8499	NA	6596117634	2	3011	054	 	1342	PANEL TC IMPRESA ABS ASC BMW LAYOUT	NA	ROH	NA	453.76	OES_ER20_. (APROBACION	NO	**	
551803	18/11/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4984276934	
551805	18/11/2014	ZSCR	551	040-1	NA	'054	A2C91764300	NA	A2C92572500	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	287.19	PS_SDM30_.	NO	4984277006	
551806	18/11/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4984276934	
551842	18/11/2014	ZSCR	551	040-1	NA	'054	A2C83971700	NA	A2C83971900	1				1401	pcb topSMD	NA	HALB	S.Real/AutoBF	335.21	PS_SDM10+_.	NO	4984276901	
551852	18/11/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4984276934	
551853	18/11/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4984276934	
551854	18/11/2014	ZSCR	551	040-1	NA	'054	A2C91764400	NA	A2C92572700	1				1401	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	387.18	PS_SDM30_.	NO	4984277023	
551855	18/11/2014	ZSCR	551	040-1	NA	'054	A2C91763800	NA	A2C92572000	1				1401	pcb botMAN GMSDM30	NA	HALB	S.Real/AutoBF	143.9	PS_SDM30_.	NO	4984276910	
551856	18/11/2014	ZSCR	551	040-1	NA	'054	A2C85801000	NA	A2C83971900	1				1401	pcb topSMD	NA	HALB	S.Real/AutoBF	335.21	PS_SDM10+_.	NO	4984276901	
551857	18/11/2014	ZSCR	551	040-1	NA	'054	A2C89730900	NA	A2C8021660002	1				1401	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO	4984276871	
551880	18/11/2014	ZSCR	551	034-2	NA	'054	5WK43606	NA	A2C53108387	4	3011	054	 	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.72	OES_HONDA CR-V HE_.	NO	**	
551880	18/11/2014	ZSCR	551	034-2	NA	'054	5WK43949	NA	A2C53142468	2	3011	054	 	1342	housing	NA	ROH	NA	45.32	OES_HONDA CR-V HE_.	NO	4984277385	
551880	18/11/2014	ZSCR	551	034-2	NA	'054	5WK43949	NA	A2C53142470	2	3011	054	 	1342	cover	NA	ROH	NA	37.72	OES_HONDA CR-V HE_.	NO	4984277385	
551942	18/11/2014	ZSCR	551	040-3	NA	'054	A2C91085500	2800	A2C91085500	1				1403	ACU MY11 G40 12 XX 0 1 0 000	NA	FERT	NA	390.9	PS_SDM10+_.	NO	4984277219	
551986	18/11/2014	ZSCR	551	050-3	NA	'054	A2C32453907	3	A2C32453907	1				1503	ACU DAGS2W222 MY12 S15 24 09 0 1 0 000	NA	FERT	NA	427.76	PSAD_DAIMLER STAR 2_A.A	NO	4984276741	
551998	18/11/2014	ZSCR	551	050-3	NA	'054	5WY79240	NA	A2C00031843	4	3011	054	 	1503	pin header 60P H 2R THP	NA	ROH	NA	131.84	PSAD_EPSILON_O.OSCAR FO	NO	4984277810	
