No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
556986	28/11/2014	ZSCR	551	034-2	NA	'054	A2C82134600	NA	A2C40000022	6				1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	40.38	PS_SDM10+_.	NO	4984761010		
556994	28/11/2014	ZSCR	551	042-4	NA	'054	A2C91764300	NA	A2C40000025	6				1424	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	40.98	PS_SDM10+_.	NO	4984758103		
556994	28/11/2014	ZSCR	551	042-4	NA	'054	A2C91763800	NA	A2C53338471	2				1424	contact element	NA	ROH	NA	2.04	PS_SDM10+_.	NO	4984757923		
557047	28/11/2014	ZSCR	551	034-3	NA	'054	A2C85606100	NA	A2C53405780	3				1343	housing	NA	ROH	NA	79.11	PS_HONDA HRS6_J.JUAN CH	NO	4984757414		
557278	29/11/2014	ZSCR	551	030-1	NA	'054	A2C91764200	NA	A2C9257240093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	357.36	PS_SDM30_.	NO	4984758080		
557292	29/11/2014	ZSCR	551	030-1	NA	'054	A2C85801200	NA	A2C8397200093	1				1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	4984757487		
557365	29/11/2014	ZSCR	551	040-4	NA	'054	A2C85801100	NA	A2C53333520	100				1404	TYPE LABLE	NA	ROH	NA	38	PS_SDM30_.	NO	4984757461		
557731	30/11/2014	ZSCR	551	030-1	NA	'054	A2C86816700	NA	A2C8681670093	1				1301	pcb assy DAGARM3 V18EDR TOP	NA	HALB	S.Real	454.97	PS_ARAMIS III_E.EDWIN R	NO	4984757654		
557732	30/11/2014	ZSCR	551	030-1	NA	'054	A2C86816700	NA	A2C8681670093	1				1301	pcb assy DAGARM3 V18EDR TOP	NA	HALB	S.Real	454.97	PS_ARAMIS III_E.EDWIN R	NO	4984757654		
557777	30/11/2014	ZSCR	551	030-1	NA	'054	A2C91764000	NA	A2C9257220093	1				1301	pcb assy GMSDM30 Top	NA	HALB	S.Real	150.79	PS_SDM30_.	NO	4984758014		
557783	30/11/2014	ZSCR	551	030-1	NA	'054	A2C86816902	NA	A2C86617300	1	3011	054	 	1301	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO	4984761722		
557794	30/11/2014	ZSCR	551	040-3	NA	'054	A2C96660500	NA	A2C96660500	1				1403	pcb assy FIA326 OCS V15_1	NA	HALB	S.Real	156.04	PS_FIAT BRAZIL_E.EDWIN	NO	4984762169		
557877	30/11/2014	ZSCR	551	042-4	NA	'054	A2C85801200	NA	A2C53333520	70				1424	TYPE LABLE	NA	ROH	NA	26.6	PS_SDM10+_.	NO	4984757487		
557921	30/11/2014	MB1A	951	025-4	NA	'054	NA	NA	A2C9271190093	12				1254	pcb assy DAGSTAR2 ISC D_25 Top	NA	HALB	S.Real	3985.92	PSAD_DAIMLER STAR2_ISC_	NO			
557924	30/11/2014	MB1A	951	025-4	NA	'054	NA	NA	A2C9228450093	26				1254	pcb assy DAGSTAR2 ISC D_15 SMD TOP	NA	HALB	S.Real	9653.02	PSAD_DAIMLER STAR2_ISC_	NO			
557925	30/11/2014	MB1A	951	025-4	NA	'054	NA	NA	A2C85221301	9				1254	pcb assy DAGSM D_3	NA	HALB	S.Real	3085.56	PSAD_DAIMLER SMART_F.FE	NO			
557926	30/11/2014	MB1A	951	025-4	NA	'054	NA	NA	A2C53290320	45				1254	pcb assy	NA	HALB	S.Real	2273.85	OC_OCS SUZUKI_A.ANA TAP	NO			
558175	01/12/2014	ZSCR	551	030-1	NA	'054	A2C86816502	NA	A2C86816700	1				1301	pcb assy DAGARM3 V18EDR	NA	HALB	S.Real	514.02	PS_ARAMIS III_E.EDWIN R	NO	4984757620		
558244	01/12/2014	ZSCR	551	034-2	NA	'054	A2C96660500	NA	A2C96660500	1				1342	pcb assy FIA326 OCS V15_1	NA	HALB	S.Real	156.04	PS_FIAT BRAZIL_E.EDWIN	NO	4984762186		
558707	02/12/2014	ZSCR	551	030-1	NA	'054	A2C86816902	NA	A2C86617300	2	3011	054	 	1301	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	857.66	PS_ARAMIS III_E.EDWIN R	NO	4984761722		
558770	02/12/2014	ZSCR	551	030-1	NA	'054	A2C86816902	NA	A2C8661730093	1				1301	pcb assy DAGARM3 RO V16EDR TOP	NA	HALB	S.Real	367.14	PS_ARAMIS III_E.EDWIN R	NO	4984757751		
558824	02/12/2014	ZSCR	551	040-3	NA	'054	A2C81542300	NA	A2C81543200	1				1403	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO	4984757142		
558916	02/12/2014	ZSCR	551	040-3	NA	'054	A2C91763900	NA	A2C40000022	2	3011	054	 	1403	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	13.46	PS_SDM30_.	NO	4984762279		
559345	03/12/2014	ZSCR	551	030-1	NA	'054	A2C9449080093	NA	A2C9449080093	1				1301	pcb assy HONHRS5 V28 TOP	NA	HALB	S.Real	144.44	PS_HONDA HRS6_J.JUAN CH	NO	4984758212		
559389	03/12/2014	ZSCR	551	030-1	NA	'054	A2C89711901	NA	A2C8302110193	8	3011	054	 	1301	pcb assy DAGARM3 3i DC Mex Top	NA	HALB	S.Real	1893.44	PSAD_ARMIN_J.JOSE ORTIZ	NO	4984762623		
559437	03/12/2014	ZSCR	551	050-3	NA	'054	5WK44252	NA	A2C53364457	1				1503	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO			
559447	03/12/2014	ZSCR	551	050-2	NA	'054	A2C91764400	NA	A2C9257270093	1				1502	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4984758113		
559467	03/12/2014	ZSCR	551	034-8	NA	'054	5WK44077	NA	A2C00016838	400				1348	connector pin	NA	ROH	NA	112	OC_OCS NISSAN_A.ANA TAP	NO	4984755767		
559467	03/12/2014	ZSCR	551	034-8	NA	'054	5WK44040	NA	A2C53095018	100				1348	"label 58,00x 20,00mm white foil"	NA	ROH	NA	30	OC_OCS NISSAN_A.ANA TAP	NO	4984755652		
559468	03/12/2014	ZSCR	551	040-5	NA	'054	A2C37744300	NA	A2C89896600	1				1405	multipoint connector 56/ 20P H 2SYS CE 3	NA	ROH	NA	25.99	PS_FIAT BRAZIL_E.EDWIN	NO	4984756950		
559472	03/12/2014	ZSCR	551	042-4	NA	'054	A2C83971800	NA	A2C53395713	2				1424	housing WIC P BK A-D	NA	ROH	NA	72.94	PS_SDM30_.	NO	4984757293		
559474	03/12/2014	ZSCR	551	034-2	NA	'054	5WK43959	NA	A2C53095018	8				1342	"label 58,00x 20,00mm white foil"	NA	ROH	NA	2.4	OC_OCS NISSAN_A.ANA TAP	NO	4984761113		
559483	03/12/2014	ZSCR	551	050-3	NA	'054	5WY88050	NA	A2C53417787	2				1503	pcb assy	NA	HALB	S.Real/AutoBF	296.98	PSAD_GM BRASIL_A.ANA TA	NO			
559484	03/12/2014	ZSCR	551	040-4	NA	'054	5WY89350	NA	A2C53436156	1				1404	cover RAP T BK	NA	ROH	NA	6.4	PS_CHRYSLER MY2013_E.ED	NO	4984756491		
559486	03/12/2014	ZSCR	551	040-5	NA	'054	A2C30910800	NA	A2C31769100	1				1405	pin header 50P H 2R PF 1018 13	NA	ROH	NA	13.26	PSAD_VW20_U.ULISES VILL	NO	4984758515		
559490	03/12/2014	ZSCR	551	040-4	NA	'054	A2C82735700	NA	A2C40000022	8	3011	054	 	1404	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	53.84	PS_SDM30_.	NO	4984762363		
559490	03/12/2014	ZSCR	551	040-4	NA	'054	A2C87074900	NA	A2C40000025	5				1404	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	34.15	PS_SDM30_.	NO	4984757816		
559518	03/12/2014	MB1A	551	023-2	K96019	'054	NA	2800	A2C91764400	1				1232	ACU MY14 S15 18 XX 0 1 0 000	NA	FERT	NA	441.94	PS_SDM30_.	NO			
559523	03/12/2014	ZSCR	551	042-4	NA	'054	A2C81542700	NA	A2C81543200	1				1424	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2012_.	NO	4984757159		
