No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	015	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
555951	26/11/2014	ZSCR	551	034-2	NA	'015	A2C73789605	NA	A2C7378970593	2	3011	015	 	1342	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	829.4	S1_CBC MY15_. (APROBAC	NO				
555951	26/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	4	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	1656.64	S1_CBC MY15_. (APROBAC	NO				
555952	26/11/2014	ZSCR	551	034-2	NA	'015	A2C74511901	NA	A2C7451030093	1	3011	015	 	1342	pcb top PF BCU CHR high DS/TEST }	NA	HALB	S.Real	400.12	S1_CBC_P.PABLO PALMER-C	NO				
555963	26/11/2014	ZSCR	551	030-1	NA	'015	A2C74511901	NA	A2C7451030093	2	3011	015	 	1301	pcb top PF BCU CHR high DS/TEST }	NA	HALB	S.Real	800.24	S1_CBC_P.PABLO PALMER-C	NO				
555975	26/11/2014	ZSCR	551	040-2	NA	'050	A2C7449340193	NA	A2C7449340193	1				1402	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
555980	26/11/2014	ZSCR	551	042-4	NA	'050	A2C73789705	NA	A2C73789705	1				1424	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real/AutoBF	417.3	S1_CBC MY15_. (APROBAC	NO	4985023916			
555987	26/11/2014	ZSCR	551	040-5	NA	'050	A2C8086340093	NA	A2C32118900	2				1405	"PCB, MY12 SPDJB W/LOOP ANTENNA ST DRV Z"	NA	ROH	NA	89.22	S1_SPDJB_P.PABLO PALMER	NO				
556019	26/11/2014	ZSCR	551	034-2	NA	'050	A2C31231100	NA	A2C53428230	1860				1342	CONNECTOR FEADER	NA	ROH	NA	148.8	S1_TIPM MEDIUM_P.PABLO	NO				
556086	26/11/2014	ZSCR	551	042-4	NA	'015	A2C73789605	NA	A2C7378970593	1	3011	015	 	1424	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	414.7	S1_CBC MY15_. (APROBAC	NO				
556088	26/11/2014	ZSCR	551	042-4	NA	'015	A2C74493401	NA	A2C74493401	2				1424	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	833.52	S1_CBC MY15_. (APROBAC	NO	4985023929			
556214	26/11/2014	ZSCR	551	042-4	NA	'050	5WY8842	NA	A2C53428225	2				1424	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	102.12	S1_SPDJB_P.PABLO PALMER	NO				
556308	27/11/2014	ZSCR	551	034-2	NA	'015	A2C3229710092	NA	A2C3229710092	1				1342	CUSW PCB ASSY BOT	NA	HALB	S.Real/AutoBF	0	S1_RKE FOB CUSW_A.ADRIA	NO				
556613	27/11/2014	ZSCR	551	040-2	NA	'015	A2C74493401	NA	A2C74493401	1				1402	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	416.76	S1_CBC MY15_. (APROBAC	NO	4985023735			
556613	27/11/2014	ZSCR	551	040-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1402	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
556621	27/11/2014	ZSCR	551	034-2	NA	'050	A2C31231100	NA	A2C53428230	2100				1342	CONNECTOR FEADER	NA	ROH	NA	168	S1_TIPM MEDIUM_P.PABLO	NO				
556636	27/11/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C73849703	32				1253	pcb top PF BCU CHR high SER/TEST	VUT017188	HALB	S.Real/AutoBF	13722.56	S1_CBC_P.PABLO PALMER-C	NO				
556636	27/11/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C74513200	72				1253	pcb top PF BCU CHR high Ws	VUT017188	HALB	S.Real/AutoBF	30389.76	S1_CBC_P.PABLO PALMER-C	NO				
556667	27/11/2014	MB1A	951	025-3	NA	'015	NA	08AC	A2C86022600	20				1253	parts kit assy Var 2	VUT019064	FERT	NA	6859.8	S1_CUSW UF RFHM_A.ADRIA	NO	**			
556669	27/11/2014	MB1A	951	025-3	NA	'015	NA	004AF	A2C86022500	8				1253	parts kit assy Var 1	VUT019064	FERT	NA	2634.8	S1_CUSW UF RFHM_A.ADRIA	NO	**			
556690	27/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	2	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	828.32	S1_CBC MY15_. (APROBAC	NO				
556789	28/11/2014	ZSCR	551	040-3	NA	'015	A2C95198900	NA	A2C74094301	68				1403	transmitter PASE 433 GV#20 3B	NA	HALB	S.Real/AutoBF	5550.16	S1_PASE FOB CUSW_A.ADRI	NO	4985023772			
556790	28/11/2014	ZSCR	551	040-3	NA	'015	A2C86023400S	NA	A2C86023400	8				1403	transceiver assy ULTPRS	NA	HALB	S.Real/AutoBF	681.84	S1_PASE FOB CUSW_A.ADRI	NO	4985023859			
556791	28/11/2014	ZSCR	551	040-3	NA	'015	A2C86022500	NA	A2C86023300	9				1403	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	743.49	S1_PASE FOB CUSW_A.ADRI	NO	4985023831			
556792	28/11/2014	ZSCR	551	050-5	NA	'015	A2C87408101	NA	A2C73753202	15	3011	015	 	1505	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	1439.1	S1_PASE FOB CUSW_A.ADRI	NO				
556793	28/11/2014	ZSCR	551	050-5	NA	'015	A2C87408601	NA	A2C73752002	24	3011	015	 	1505	transmitter CHR PASE 433 NV#06 3B	NA	HALB	S.Real	2200.8	S1_PASE FOB CUSW_A.ADRI	NO				
556794	28/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	2	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	828.32	S1_CBC MY15_. (APROBAC	NO				
556795	28/11/2014	ZSCR	551	030-1	NA	'015	A2C74493401	NA	A2C7449340193	2	3011	015	 	1301	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	828.32	S1_CBC MY15_. (APROBAC	NO				
556796	28/11/2014	ZSCR	551	030-1	NA	'015	A2C87409100	NA	A2C8216760093	1	3011	015	 	1301	pcb assy Top	NA	HALB	S.Real	170.66	S1_WK_WD RFHUB_A.ADRIAN	NO				
556796	28/11/2014	ZSCR	551	030-1	NA	'015	A2C81624600	NA	A2C8216770093	2	3011	015	 	1301	pcb assy Top	NA	HALB	S.Real	336.48	S1_WK_WD RFHUB_A.ADRIAN	NO				
556797	28/11/2014	ZSCR	551	030-1	NA	'015	A2C86022700	NA	A2C8730220093	1	3011	015	 	1301	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real	147.65	S1_CUSW UF RFHM_A.ADRIA	NO				
556798	28/11/2014	ZSCR	551	030-1	NA	'015	A2C87409100S	NA	A2C8216760093	2	3011	015	 	1301	pcb assy Top	NA	HALB	S.Real	341.32	S1_WK_WD RFHUB_A.ADRIAN	NO				
556799	28/11/2014	ZSCR	551	030-1	NA	'015	A2C95198900	NA	A2C9113260093	1	3011	015	 	1301	pcb assy PASE 433 Top	NA	HALB	S.Real	145.04	S1_RFHM CUSW_A.ADRIANA	NO				
556800	28/11/2014	ZSCR	551	034-2	NA	'015	A2C32297200	NA	A2C3229720093	9	3011	015	 	1342	CUSW PCB ASSY TOP	NA	HALB	S.Real	564.57	S1_IGNM CUSW_A.ADRIANA	NO	4985024583			
556808	28/11/2014	ZSCR	551	040-3	NA	'015	A2C74493301	95AA	A2C74493301	1				1403	BCU CHRDX MY15 CBC2	NA	FERT	NA	451.98	S1_CBC MY15_. (APROBAC	NO	4985017066			
556869	28/11/2014	ZSCR	551	040-3	NA	'015	A2C86023300	NA	A2C86023300	57				1403	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	4708.77	S1_PASE FOB CUSW_A.ADRI	NO	4985023831			
556875	28/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023400	12				1232	transceiver assy ULTPRS	NA	HALB	S.Real/AutoBF	1022.76	S1_PASE FOB CUSW_A.ADRI	NO				
556878	28/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023300	7				1232	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	578.27	S1_PASE FOB CUSW_A.ADRI	NO				
556880	28/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C74094301	8				1232	transmitter PASE 433 GV#20 3B	NA	HALB	S.Real/AutoBF	652.96	S1_PASE FOB CUSW_A.ADRI	NO				
556886	28/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C8393040092	1				1104	"""SUB FOBIK PCB TOP-ASM, NA/EU(P U L) B"""	QN410098771	HALB	S.Real	44.76	410098771_PASE F	NO				
556894	28/11/2014	ZSCR	551	034-2	NA	'015	A2C7395980192	NA	A2C7395980192	5	3011	015	 	1342	pcb topSMD CHR UF 5-BTN top	NA	HALB	S.Real	250.9	S1_PASE FOB CUSW_A.ADRI	NO				
556908	28/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7395980192	9				1104	pcb topSMD CHR UF 5-BTN top	QN410098771	HALB	S.Real	451.62	410098771_PASE F	NO				
556908	28/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C8393040092	1				1104	"""SUB FOBIK PCB TOP-ASM, NA/EU(P U L) B"""	QN410098771	HALB	S.Real	44.76	410098771_PASE F	NO				
556909	28/11/2014	ZSCR	551	034-2	NA	'015	A2C32291400	NA	A2C3229710093	7	3011	015	 	1342	CUSW PCB ASSY BOT	NA	HALB	S.Real	169.05	S1_RKE FOB CUSW_A.ADRIA	NO	4985024346			
556910	28/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
556997	28/11/2014	ZSCR	551	034-2	NA	'015	A2C73789705	NA	A2C73789705	12				1342	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real/AutoBF	5007.6	S1_CBC MY15_. (APROBAC	NO	4985023484			
556997	28/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C74493401	5				1342	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	2083.8	S1_CBC MY15_. (APROBAC	NO	4985023502			
