No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP								
537570	20/10/2014	MB1A	551	023-2	K96019	'054	NA	NA	A2C53186312	18				1232	pcb HONDA MY08( MIDDLE CLASS	NA	ROH	NA	377.46	OES_HONDA ACCORD_.	NO									
559437	03/12/2014	ZSCR	551	050-3	NA	'054	5WK44252	NA	A2C53364457	1				1503	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO									
559483	03/12/2014	ZSCR	551	050-3	NA	'054	5WY88050	NA	A2C53417787	2				1503	pcb assy	NA	HALB	S.Real/AutoBF	296.98	PSAD_GM BRASIL_A.ANA TA	NO									
559650	03/12/2014	ZSCR	551	040-3	NA	'054	A2C83021100	NA	A2C83021100	1				1403	pcb assy DAGARM3 3i DC Mex	NA	HALB	S.Real/AutoBF	318.38	PSAD_ARMIN_J.JOSE ORTIZ	NO									
559807	04/12/2014	ZSCR	551	030-1	NA	'054	A2C8021770002	NA	A2C8021770092	1				1301	pcb assy HONHRS6 V20 BOTTOM	NA	HALB	S.Real/AutoBF	51.56	PS_HONDA HRS6_J.JUAN CH	NO									
559824	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
559826	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
559827	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
559829	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
559830	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
559835	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
559837	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
559838	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
559842	04/12/2014	ZSCR	551	030-1	NA	'054	A2C8337810093	NA	A2C8337810092	2				1301	pcb assy JAGX150 RCM lado bottom	NA	HALB	S.Real/AutoBF	272.82	PSAD_JAGUAR X1_J.JOSE O	NO									
559845	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9449080092	NA	A2C9449080092	1				1301	pcb assy HONHRS5 V37 BOTTOM	NA	HALB	S.Real/AutoBF	49.8	PS_HONDA HRS6_J.JUAN CH	NO									
559883	04/12/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO									
