No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad			Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
557889	30/11/2014	ZSCR	551	034-2	NA	'015	A2C81952900	NA	A2C8195290093	5			1342	pcb assy Top	NA	HALB	S.Real	234.85	S1_TESLA TG ECU_. (APR	NO	4985092873
560773	06/12/2014	ZSCR	551	040-3	NA	'015	A2C53402397	NA	A2C53402397	11			1403	circuit board assy DIVZZDIVTI	NA	HALB	S.Real	480.59	S5_HYUNDAI TPMS ECU_E.E	NO	4985093540
561407	07/12/2014	ZSCR	551	034-2	NA	'015	A2C92738801	NA	A2C92738801	1			1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.37	S1_TG1C NISSAN_J.JAIME	NO	4985094879
561410	07/12/2014	ZSCR	551	034-2	NA	'015	A2C31563500	NA	A2C31563500	3			1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	84.03	S1_TG1C NISSAN_J.JAIME	NO	4985094272
561459	08/12/2014	ZSCR	551	034-2	NA	'015	A2C30723401	NA	A2C30723401	1			1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40	S5_TG1C HONDA_M.MIGUEL	NO	4985094780
561470	08/12/2014	ZSCR	551	034-2	NA	'015	A2C32880100	NA	A2C32880100	1			1342	module assy TPM	NA	HALB	S.Real/AutoBF	41.3	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
561502	08/12/2014	ZSCR	551	034-2	NA	'015	A2C3156350093	NA	A2C3156350093	16			1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	448.16	S1_TG1C NISSAN_J.JAIME	NO	4985093118
561511	08/12/2014	ZSCR	551	034-2	NA	'015	A2C32880100	NA	A2C32880100	2			1342	module assy TPM	NA	HALB	S.Real/AutoBF	82.6	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
561524	08/12/2014	ZSCR	551	034-2	NA	'015	A2C92738801	NA	A2C92738801	1			1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.37	S1_TG1C NISSAN_J.JAIME	NO	4985094879
561527	08/12/2014	ZSCR	551	034-2	NA	'015	A2C92739501	NA	A2C92739501	1			1342	module assy TPM	NA	HALB	S.Real/AutoBF	39.21	S1_TG1C NISSAN_J.JAIME	NO	4985094879
561539	08/12/2014	ZSCR	551	034-2	NA	'015	A2C8551390093	NA	A2C8551390093	2			1342	circuit board assy TPM Bottom	NA	HALB	S.Real	46.46	S1_TIS1C127 BMW_A.ADRIA	NO	4985093527
561540	08/12/2014	ZSCR	551	034-2	NA	'015	A2C3144250093	NA	A2C3144250093	3			1342	circuit board assy TPM 433 MHz	NA	HALB	S.Real	84.09	S1_TG1C DCX_J.JAIME JIM	NO	4985092930
