No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	050	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
555975	26/11/2014	ZSCR	551	040-2	NA	'050	A2C7449340193	NA	A2C7449340193	1	3011	050	 	1402	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO	
555987	26/11/2014	ZSCR	551	040-5	NA	'050	A2C8086340093	NA	A2C32118900	2	3011	050	 	1405	"PCB, MY12 SPDJB W/LOOP ANTENNA ST DRV Z"	NA	ROH	NA	89.22	S1_SPDJB_P.PABLO PALMER	NO	
556019	26/11/2014	ZSCR	551	034-2	NA	'050	A2C31231100	NA	A2C53428230	1860	3011	050	 	1342	CONNECTOR FEADER	NA	ROH	NA	148.8	S1_TIPM MEDIUM_P.PABLO	NO	
556214	26/11/2014	ZSCR	551	042-4	NA	'050	5WY8842	NA	A2C53428225	2	3011	050	 	1424	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	102.12	S1_SPDJB_P.PABLO PALMER	NO	**
556308	27/11/2014	ZSCR	551	034-2	NA	'015	A2C3229710092	NA	A2C3229710092	1				1342	CUSW PCB ASSY BOT	NA	HALB	S.Real/AutoBF	0	S1_RKE FOB CUSW_A.ADRIA	NO	**
556621	27/11/2014	ZSCR	551	034-2	NA	'050	A2C31231100	NA	A2C53428230	2100	3011	050	 	1342	CONNECTOR FEADER	NA	ROH	NA	168	S1_TIPM MEDIUM_P.PABLO	NO	
556636	27/11/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C73849703	32				1253	pcb top PF BCU CHR high SER/TEST	VUT017188	HALB	S.Real/AutoBF	13722.56	S1_CBC_P.PABLO PALMER-C	NO	
556636	27/11/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C74513200	72				1253	pcb top PF BCU CHR high Ws	VUT017188	HALB	S.Real/AutoBF	30389.76	S1_CBC_P.PABLO PALMER-C	NO	
556667	27/11/2014	MB1A	951	025-3	NA	'015	NA	08AC	A2C86022600	20				1253	parts kit assy Var 2	VUT019064	FERT	NA	6859.8	S1_CUSW UF RFHM_A.ADRIA	NO	
556669	27/11/2014	MB1A	951	025-3	NA	'015	NA	004AF	A2C86022500	8				1253	parts kit assy Var 1	VUT019064	FERT	NA	2634.8	S1_CUSW UF RFHM_A.ADRIA	NO	
