No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code		Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
561530	08/12/2014	ZSCR	551	034-2	NA	'045	A2C33289000	NA	A2C53441192	1088	1342		ROH	NA	544	S2_CMF1_. (APROBACION	NO	4985433689
563325	11/12/2014	ZSCR	551	034-8	NA	'045	A2C53438621	NA	A2C53106568	2780	1348		ROH	NA	1028.6	S4_PQ GATEWAY MY13_. (	NO	4985433723
567722	20/12/2014	ZSCR	551	040-3	NA	'045	A2C94654700	NA	A2C94654700	1	1403		HALB	S.Real	0	S4_PQ35 6ta Gen_. (APR	NO	4985432759
568637	23/12/2014	ZSCR	551	040-1	NA	'045	A2C84807900	NA	A2C84807900	4	1401		HALB	S.Real/AutoBF	371.76	S4_PQ GATEWAY MY13_. (	NO	4985433115
569456	29/12/2014	ZSCR	551	022-2	NA	'045	A2C30852700	NA	A2C30852700	1	1222		HALB	S.Real	147.11	S6_WEBASTO MUSTANG S550	NO	4985432269
569456	29/12/2014	ZSCR	551	022-2	NA	'045	A2C30852704	NA	A2C30852704	1	1222		HALB	S.Real	147.22	S6_WEBASTO MUSTANG S550	NO	4985432286
569456	29/12/2014	ZSCR	551	022-2	NA	'045	A2C87540701	NA	A2C87540701	7	1222		HALB	S.Real	887.95	S6_WEBASTO MUSTANG S550	NO	4985432708
569505	30/12/2014	MB1A	551	030-1	B30301-06595	'045	NA	NA	A2C85271400	14	1095		HALB	S.Real/AutoBF	645.96	S6_ESCL D2UX_.	NO	4985433145
569510	30/12/2014	ZSCR	551	030-1	NA	'045	A2C8480790093	NA	A2C8480790093	1	1301		HALB	S.Real	90.44	S4_PQ GATEWAY MY13_.	NO	4985432691
569512	30/12/2014	ZSCR	551	030-1	NA	'045	A2C82752211	NA	A2C82752211	4	1301		HALB	S.Real	1069.8	S2_CMF1_.	NO	4985432376
569866	02/01/2015	MB1A	551	040-3	K96019	'045	NA	7986	A2C73843507	137	1095		FERT	NA	6310.22	S6_KWANG JIN_J.JAVIER B	NO	4985433367
569868	02/01/2015	MB1A	551	034-2	K96019	'045	NA	NA	A2C34172200	6	1095		HALB	S.Real/AutoBF	307.02	S6_KWANG JIN_J.JAVIER B	NO	4985433159
