No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
571760	07/01/2015	MB1A	951	025-4	NA	'054	NA	NA	A2C3511620093	36				1254	Subensamble IM Star2 TOP	NA	HALB	S.Real	11486.88	PSAD_DAIMLER STAR 2_.	NO	Deficit of SL		
574456	13/01/2015	ZSCR	551	035-1	0	'054	A2C53243155B	NA	A2C00010212	4				1351	"1,PNP,NORMAL,1A,45V,SOT223,BIP/BCP51 / T"		ROH	NA	1.24	PS_ARAMIS II MCG_N.NORT	NO	4985739574		
574461	13/01/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00020895	24				1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	1.68	PS_VW10 LC_N.NORTON MAR	NO	4985735930		
574462	13/01/2015	ZSCR	551	035-1	0	'054	A2C53388687	NA	A2C00019590	434				1351	"R LIN,2K,1%,TK100,63mW,0402"		ROH	NA	4.34	PS_ARAMIS 2012_N.NORTON	NO	4985735923		
574465	13/01/2015	ZSCR	551	035-1	0	'054	A2C3108070092	NA	A2C00010444	239				1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	2.39	PS_CHRYSLER MY2013_N.NO	NO	4985738726		
574471	13/01/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00003447	7	3011	054	 	1351	"R LIN,4K7,5%,TK200,250mW,1206"		ROH	NA	0.14	PSAD_DAIMLER STAR 2_N.N	NO	4985739797		
574471	13/01/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00003447	23	3011	054	 	1351	"R LIN,4K7,5%,TK200,250mW,1206"		ROH	NA	0.46	PSAD_DAIMLER STAR 2_N.N	NO	4985739797		
574475	13/01/2015	ZSCR	551	035-1	0	'054	A2C8300900092	NA	A2C40003935	2	3011	054	 	1351	"R LIN,30K,1%,TK100,100mW,0603"		ROH	NA	0.02	PS_SDM30_N.NORTON MARQU	NO	No stock		
574475	13/01/2015	ZSCR	551	035-1	0	'054	A2C8300900093	NA	A2C40011629	25	3011	054	 	1351	"R LIN,14K,1%,TK100,100mW,0603"		ROH	NA	0.25	PS_SDM30_N.NORTON MARQU	NO	No stock		
574475	13/01/2015	ZSCR	551	035-1	0	'054	A2C8300780093	NA	A2C40011629	84	3011	054	 	1351	"R LIN,14K,1%,TK100,100mW,0603"		ROH	NA	0.84	PS_SDM30_N.NORTON MARQU	NO	No stock		
574640	14/01/2015	ZSCR	551	030-1	NA	'054	A2C9666050093	NA	A2C9666050093	160				1301	pcb assy FIA326 OCS V15_1 SMD TOP	NA	HALB	S.Real	18916.8	PS_FIAT BRAZIL_.	NO	4985739185		
574666	14/01/2015	ZSCR	551	030-1	NA	'054	A2C96660500	NA	A2C96660500	1				1301	pcb assy FIA326 OCS V15_1	NA	HALB	S.Real	156.04	PS_FIAT BRAZIL_.	NO	4985739304		
574667	14/01/2015	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1				1301	pcb assy DAGARM3 V14	NA	HALB	S.Real	433.85	PS_ARAMIS III_.	NO	4985735969		
574718	14/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8466170092	2				1095	pcb assy VW20 D_4 bottom	NA	HALB	S.Real/AutoBF	193.94	PS_VW20 MQB_.	NO	4985736295		
574719	14/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8466170093	1				1095	pcb assy VW20 D_4 Top	NA	HALB	S.Real	192.92	PS_VW20 MQB_.	NO	4985736295		
574721	14/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C9663160092	1				1095	pcb assy DAGSTAR2 ISC with SW SMD BOT	NA	HALB	S.Real/AutoBF	164.51	PSAD_DAIMLER STAR2_ISC_	NO	4985736431		
574722	14/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C9663160092	1				1095	pcb assy DAGSTAR2 ISC with SW SMD BOT	NA	HALB	S.Real/AutoBF	164.51	PSAD_DAIMLER STAR2_ISC_	NO	4985736431		
574724	14/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C9663160092	1				1095	pcb assy DAGSTAR2 ISC with SW SMD BOT	NA	HALB	S.Real/AutoBF	164.51	PSAD_DAIMLER STAR2_ISC_	NO	4985736431		
