No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	´015	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
557481	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	2				1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	45.44	S1_WK_WD RFHUB_A.ADRIAN	NO		
557918	#########	ZSCR	551	034-2	NA	'050	A2C32292200	NA	A2C35130400	9				1342	"16-way connector, PIN&PASTE"	NA	ROH	NA	69.93	S1_WK_WD RFHUB_A.ADRIAN	NO		
557918	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	2				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	42.16	S1_WK_WD RFHUB_A.ADRIAN	NO		
558293	#########	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C82135400	16				1342	pcb panel 4-up	NA	ROH	NA	546.24	S1_WK_WD RFHUB_A.ADRIAN	NO		
558295	#########	ZSCR	551	034-2	NA	'050	A2C31231300T	NA	A2C31229200	2				1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	122.74	S1_TIPM MEDIUM_P.PABLO	NO		
558644	#########	ZSCR	551	034-2	NA	'015	A2C32149000	NA	A2C53429644	43	3011	015	 	1342	"26 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	226.61	S1_SPDJB_A.ALVARO MEDIN	NO	No hay stock	
558644	#########	ZSCR	551	034-2	NA	'015	A2C32149000	NA	A2C53429645	70	3011	015	 	1342	"14 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	156.8	S1_SPDJB_A.ALVARO MEDIN	NO	No hay stock	
558644	#########	ZSCR	551	034-2	NA	'015	A2C53429646	NA	A2C53429646	80	3011	015	 	1342	"CONT,CONN,M,0CONT,CONNECTORS, DL 0.64MM"	NA	ROH	NA	8	S1_SPDJB_A.ALVARO MEDIN	NO	No hay stock	
558644	#########	ZSCR	551	034-2	NA	'015	A2C32149300	NA	A2C53429647	44	3011	015	 	1342	"TERM,0CONT,CONNECTORS, DL 1.14MM AUTOHEA"	NA	ROH	NA	14.96	S1_SPDJB_A.ALVARO MEDIN	NO	**	
558644	#########	ZSCR	551	034-2	NA	'015	A2C32149300	NA	A2C53429648	408	3011	015	 	1342	"CONT,CONN,M,0CONT,CONNECTORS, DL 0.64MM"	NA	ROH	NA	28.56	S1_SPDJB_A.ALVARO MEDIN	NO	No hay stock	
558644	#########	ZSCR	551	034-2	NA	'015	A2C32149200	NA	A2C53429649	13	3011	015	 	1342	"TERM,CONN,F,6CONT,CONNECTORS, FORK"	NA	ROH	NA	73.71	S1_SPDJB_A.ALVARO MEDIN	NO	No hay stock	
558649	#########	ZSCR	551	034-2	NA	'050	5WY8844	NA	A2C00062952	21				1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	172.62	S1_TIPM MEDIUM_P.PABLO	NO		
558649	#########	ZSCR	551	034-2	NA	'050	5WY8838	NA	A2C40018533	18				1342	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	78.48	S1_TIPM MEDIUM_P.PABLO	NO		
558940	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	10				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	210.8	S1_WK_WD RFHUB_A.ADRIAN	NO		
558940	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	29				1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	658.88	S1_WK_WD RFHUB_A.ADRIAN	NO		
559032	#########	ZSCR	551	034-2	NA	'050	A2C31231300T	NA	A2C31229200	2				1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	122.74	S1_TIPM MEDIUM_P.PABLO	NO		
559034	#########	ZSCR	551	034-2	NA	'050	5WY8842	NA	A2C53428228	38				1342	PIN	NA	ROH	NA	9.88	S1_TIPM MEDIUM_P.PABLO	NO		
559235	#########	ZSCR	551	040-1	NA	'015	A2C32292300	NA	A2C86398500	40	3011	015	 	1401	housing assy	NA	ROH	NA	310.8	S1_CUSW UF RFHM_A.ADRIA	NO	**	
559603	#########	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C00048832	2				1342	"330uF,20%,35V,SMD,AL,ELEC CAP/EMVE350ADA"	NA	ROH	NA	1.9	S1_WK_WD RFHUB_A.ADRIAN	NO		
559603	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	3				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	63.24	S1_WK_WD RFHUB_A.ADRIAN	NO		
559685	#########	ZSCR	551	040-2	NA	'050	A2C33279600	NA	A2C31229200	2				1402	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	122.74	S1_TIPM MEDIUM_P.PABLO	NO		
560043	#########	ZSCR	551	034-2	NA	'050	A2C33278600	NA	A2C00062952	27				1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	221.94	S1_TIPM MEDIUM_P.PABLO	NO		
560043	#########	ZSCR	551	034-2	NA	'050	A2C33278800	NA	A2C40018533	11				1342	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	47.96	S1_TIPM MEDIUM_P.PABLO	NO		
560216	#########	ZSCR	551	034-2	NA	'050	A2C3229560093	NA	A2C40000660	5				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	105.4	S1_CUSW UF RFHM_A.ADRIA	NO		
560390	#########	ZSCR	551	034-2	NA	'015	A2C73658000	NA	A2C73658000	3				1342	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	628.74	S1_TIPM MEDIUM_A.ALVARO	NO	4985703658	**
560399	#########	ZSCR	551	050-5	NA	'015	A2C73753002	NA	A2C73753002	108				1505	transmitter CHR PASE 433 GV#04 5B	NA	HALB	S.Real	10494.36	S1_PASE FOB CUSW_A.ADRI	NO	sig ventana	**
560609	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	2				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	42.16	S1_WK_WD RFHUB_A.ADRIAN	NO		
560609	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	5				1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	113.6	S1_WK_WD RFHUB_A.ADRIAN	NO		
560704	#########	ZSCR	551	040-2	NA	'050	A2C31229800	NA	A2C31229200	2				1402	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	122.74	S1_TIPM MEDIUM_P.PABLO	NO		
560725	#########	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C53375403	3				1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	68.16	S1_CUSW UF RFHM_A.ADRIA	NO		
560947	#########	ZSCR	551	040-4	NA	'015	A2C82168000	NA	A2C86398500	40	3011	015	 	1404	housing assy	NA	ROH	NA	310.8	S1_CUSW UF RFHM_A.ADRIA	NO	**	
560994	#########	ZSCR	551	034-2	NA	'050	A2C33279700	NA	A2C53428228	256				1342	PIN	NA	ROH	NA	66.56	S1_TIPM MEDIUM_P.PABLO	NO		
560995	#########	ZSCR	551	034-2	NA	'050	68163904AB	NA	A2C53428199	110				1342	"PIN,NAT"	NA	ROH	NA	7.7	S1_TIPM LOGIC_P.PABLO P	NO		
561286	#########	ZSCR	551	034-2	NA	'050	A2C37574400	NA	A2C00063691	1				1342	"IC MCU BLK/SPC5515,M22M,LQFP-144,FLASH,0"	NA	ROH	NA	41.91	S1_CBC MY15_.	NO		
561288	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	2				1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	45.44	S1_WK_WD RFHUB_A.ADRIAN	NO		
561388	#########	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40005523	14				1351	"R NET,10K,5%,63mW,1206"		ROH	NA	0.28	S1_TIPM MEDIUM_M.MIGUEL	NO		
561388	#########	ZSCR	551	035-1	0	'050	A2C30889800T	NA	A2C40007117	18				1351	"C CER,X7R,560pF,10%,50V,-TBD-,-"		ROH	NA	0.36	S1_TIPM MEDIUM_M.MIGUEL	NO		
561388	#########	ZSCR	551	035-1	0	'050	A2C53428193T	NA	A2C40007117	694				1351	"C CER,X7R,560pF,10%,50V,-TBD-,-"		ROH	NA	13.88	S1_TIPM MEDIUM_M.MIGUEL	NO		
562224	#########	ZSCR	551	034-2	NA	'050	5WY9000	NA	A2C31229200	2				1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	122.74	S1_TIPM MEDIUM_P.PABLO	NO		
562224	#########	ZSCR	551	034-2	NA	'050	A2C33278800	NA	A2C53428228	42				1342	PIN	NA	ROH	NA	10.92	S1_TIPM MEDIUM_P.PABLO	NO		
562228	#########	ZSCR	551	034-2	NA	'050	A2C31231300T	NA	A2C31229200	2				1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	122.74	S1_TIPM MEDIUM_P.PABLO	NO		
562228	#########	ZSCR	551	034-2	NA	'050	A2C33278800	NA	A2C53428228	42				1342	PIN	NA	ROH	NA	10.92	S1_TIPM MEDIUM_P.PABLO	NO		
562234	#########	ZSCR	551	034-2	NA	'050	A2C31231300T	NA	A2C31229200	2				1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	122.74	S1_TIPM MEDIUM_P.PABLO	NO		
562234	#########	ZSCR	551	034-2	NA	'050	A2C33278800	NA	A2C53428228	40				1342	PIN	NA	ROH	NA	10.4	S1_TIPM MEDIUM_P.PABLO	NO		
562462	#########	ZSCR	551	040-1	NA	'015	68163903AB	NA	A2C73658000	1				1401	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	209.58	S1_TIPM MEDIUM_P.PABLO	NO	4985706107	**
562569	#########	ZSCR	551	042-4	NA	'015	A2C30889500	NA	A2C30889800T	2				1424	PCB TOP THD ASS. (PRODUCTION)	NA	HALB	S.Real	483.34	S1_TIPM MEDIUM_P.PABLO	NO	4985701153	
562799	#########	ZSCR	551	034-2	NA	'015	A2C73658100	NA	A2C73658100	1				1342	pcb topMAN BCU CHR PRODMY13	NA	HALB	S.Real/AutoBF	208.84	S1_TIPM MEDIUM_P.PABLO	NO	4985703676	**
563058	#########	ZSCR	551	050-1	NA	'015	68163903AB	NA	A2C73658000	2				1501	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	419.16	S1_TIPM MEDIUM_P.PABLO	NO	4985706441	**
563059	#########	ZSCR	551	050-1	NA	'015	68163903AB	NA	A2C73658000	1				1501	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	209.58	S1_TIPM MEDIUM_P.PABLO	NO	4985706441	**
563113	#########	ZSCR	551	042-4	NA	'015	68163903AB	NA	A2C73658000	1				1424	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	209.58	S1_TIPM MEDIUM_P.PABLO	NO	4985706359	**
563121	#########	MB1A	951	025-3	NA	'015	NA	NA	A2C73750700	415				1253	pad Jewel CHR	VUT019061	ROH	NA	2224.4	S1_PASE FOB CUSW_A.ADRI	NO	4985698213	
563605	#########	ZSCR	551	034-2	NA	'050	A2C33278600	NA	A2C00062952	7				1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	57.54	S1_TIPM MEDIUM_P.PABLO	NO		
563606	#########	ZSCR	551	034-2	NA	'050	A2C33278600	NA	A2C40018533	22				1342	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	95.92	S1_TIPM MEDIUM_P.PABLO	NO		
563657	#########	ZSCR	551	050-1	NA	'015	A2C73658100	NA	A2C73658100	6				1501	pcb topMAN BCU CHR PRODMY13	NA	HALB	S.Real/AutoBF	1253.04	S1_TIPM MEDIUM_P.PABLO	NO	4985706454	**
564551	#########	ZSCR	551	034-2	NA	'050	68163904AB	NA	A2C53428199	550				1342	"PIN,NAT"	NA	ROH	NA	38.5	S1_TIPM LOGIC_P.PABLO P	NO		
564552	#########	ZSCR	551	034-2	NA	'050	A2C3229560093	NA	A2C40000660	1				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	21.08	S1_WK_WD RFHUB_A.ADRIAN	NO		
564615	#########	ZSCR	551	034-2	NA	'050	A2C33279700	NA	A2C53428228	226				1342	PIN	NA	ROH	NA	58.76	S1_CBC MY15_. (APROBAC	NO		
564618	#########	ZSCR	551	034-2	NA	'050	A2C3229560093	NA	A2C40000660	2				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	42.16	S1_WK_WD RFHUB_A.ADRIAN	NO		
564618	#########	ZSCR	551	034-2	NA	'050	A2C80656500R	NA	A2C53331174	25				1342	antenna	NA	ROH	NA	42.25	S1_WK_WD RFHUB_A.ADRIAN	NO		
564619	#########	ZSCR	551	034-2	NA	'050	A2C32295700	NA	A2C40000660	11				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	231.88	S1_WK_WD RFHUB_A.ADRIAN	NO		
564619	#########	ZSCR	551	034-2	NA	'050	A2C80656500R	NA	A2C53331174	15				1342	antenna	NA	ROH	NA	25.35	S1_WK_WD RFHUB_A.ADRIAN	NO		
564619	#########	ZSCR	551	034-2	NA	'050	A2C3229560093	NA	A2C53375403	2				1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	45.44	S1_WK_WD RFHUB_A.ADRIAN	NO		
