No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	planta	apd		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00023268	1002	3011	100		1351	"4,EQ ISO,konvex 1206,120K,5%,63mW,NET RE"		ROH	NA	40.08	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00020500	4	3011	100		1351	"30V,300mA,1,SCHOTTKY,SOD123,RECT DIODE/S"		ROH	NA	4.44	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00021000	3	3011	100		1351	",,SO8,BUS DRIVER IC/UPL"		ROH	NA	20.49	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00019448	8	3011	100		1351	"100uH,450mA,SMD,COIL/D63CB"		ROH	NA	10.24	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	6594352031	32	3011	100		1351	"1K4,1%,TK100,1W,0207_SMD_CHP,F"		ROH	NA	53.12	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00011494	36	3011	100		1351	"82nH,50mA,SMD,COIL/LQP18M"		ROH	NA	12.6	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00010311	8	3011	100		1351	"TA CAP,TA,47uF,10%,10V,SMD"		ROH	NA	8.32	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00008277	2	3011	100		1351	"4,EQ ISO,konvex 1206,10K,5%,63mW,NET RES"		ROH	NA	0.08	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00003965	66	3011	100		1351	"R LIN,150K,5%,TK200,100mW,0603"		ROH	NA	1.32	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00003880	14	3011	100		1351	"8R2,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.42	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00003725	3	3011	100		1351	"4K3,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.03	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00002280	257	3011	100		1351	"1nF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	5.14	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	A2C00002104	4	3011	100		1351	"27pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.08	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	6592312033	25	3011	100		1351	"400V, 1.5A, SMA, FAST, DIODES"		ROH	NA	9	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	6591312043	3	3011	100		1351	"6.2V,350MW, SOT23, ZENER,STAB"		ROH	NA	0.27	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	6576362016	1041	3011	100		1351	"no0PF,5%,50V,NPO,0805,NISN,CER"		ROH	NA	41.64	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	6575602092	65	3011	100		1351	"80V,1A, SOT223,BIP PNP TRANSIS"		ROH	NA	20.8	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	6575602090	2	3011	100		1351	BIP TRANSISTOR / BC847C_______		ROH	NA	0.14	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	9159439	5	3011	100		1351	"294R, 1% TK250MW, 1206 FIX RES"		ROH	NA	0.1	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	9153026	1	3011	100		1351	1.2K THICKFILM RESISTOR 5% 250NW 1.		ROH	NA	0.02	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	9152242	269	3011	100		1351	"47K,5%,TK250,63MW,0603,FIX RES"		ROH	NA	2.69	OES_P221_A.ALEX ADMIN	NO	4986165745
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	9151193	12	3011	100		1351	"510R,5%,TK250,125MW,0805,FIX R"		ROH	NA	0.12	OES_P221_A.ALEX ADMIN	NO	4986165759
580981	29/01/2015	ZSCR	551	035-1	0	'100	6598217601	NA	9152238	6	3011	100		1351	"33K,5%,TK250,63MW,0603,FIX RES"		ROH	NA	0.06	OES_P221_A.ALEX ADMIN	NO	4986165759
