No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	045		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
577793	21/01/2015	ZSCR	551	035-1	NA	'045	A2C32828300	NA	A2C00054061	21	3011	045		1351	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	171.57	S2_CMF1_.	NO	4986814719
578241	22/01/2015	ZSCR	551	035-1	NA	'045	A2C8275211093	NA	A2C00054061	8	3011	045		1351	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	65.36	S2_CMF1_.	NO	4986814719
580308	27/01/2015	ZSCR	551	035-1	NA	'045	A2C3276360193	NA	A2C00054060	1	3011	045		1351	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	4.09	S2_CMF1_.	NO	4986814475
580308	27/01/2015	ZSCR	551	035-1	NA	'045	A2C32834500	NA	A2C00054061	10	3011	045		1351	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	81.7	S2_CMF1_.	NO	4986814719
580308	27/01/2015	ZSCR	551	035-1	NA	'045	A2C8275260093	NA	A2C00062667	7	3011	045		1351	"C ELEC,AL,470uF,20%,25V,SMD"	NA	ROH	NA	7.14	S2_CMF1_.	NO	4986814754
580308	27/01/2015	ZSCR	551	035-1	NA	'045	A2C8275221093	NA	A2C00414100	2	3011	045		1351	"L COIL/IHLP2525CZER3R3MA1,3.3uH,13.5A,SM"	NA	ROH	NA	5.04	S2_CMF1_.	NO	4986815863
580702	28/01/2015	ZSCR	551	035-1	NA	'045	A2C8275211093	NA	A2C00054060	9	3011	045		1351	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	36.81	S2_CMF1_.	NO	4986814475
580702	28/01/2015	ZSCR	551	035-1	NA	'045	A2C8275221193	NA	A2C00054061	26	3011	045		1351	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	212.42	S2_CMF1_.	NO	4986814719
580702	28/01/2015	ZSCR	551	035-1	NA	'045	A2C8275221193	NA	A2C00062667	8	3011	045		1351	"C ELEC,AL,470uF,20%,25V,SMD"	NA	ROH	NA	8.16	S2_CMF1_.	NO	4986814754
580705	28/01/2015	ZSCR	551	035-1	NA	'045	S180192105C	NA	A2C00054060	2	3011	045		1351	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	8.18	S2_CMF1_.	NO	4986814475
580715	28/01/2015	ZSCR	551	035-1	NA	'045	A2C8275211093	NA	A2C00054060	6	3011	045		1351	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	24.54	S2_CMF1_.	NO	4986814475
580715	28/01/2015	ZSCR	551	035-1	NA	'045	A2C8275211093	NA	A2C00054061	5	3011	045		1351	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	40.85	S2_CMF1_.	NO	4986814719
580715	28/01/2015	ZSCR	551	035-1	NA	'045	A2C8275221093	NA	A2C00414100	13	3011	045		1351	"L COIL/IHLP2525CZER3R3MA1,3.3uH,13.5A,SM"	NA	ROH	NA	32.76	S2_CMF1_.	NO	4986815863
580715	28/01/2015	ZSCR	551	035-1	NA	'045	A2C8275211093	NA	A2C82773300	2	3011	045		1351	pin header 40P V 2R THP BK	NA	ROH	NA	10.64	S2_CMF1_.	NO	4986811977
580776	28/01/2015	ZSCR	551	034-2	NA	'045	A2C37796600	NA	A2C84175800	100	3011	045		1342	"tab 2,3x0,64 PF"	NA	ROH	NA	20	S2_CMF1_. (APROBACION	NO	4986811146
580929	28/01/2015	ZSCR	551	040-2	NA	'045	A2C53350168	NA	A2C53340509	7	3011	045		1402	"housing UPP 170,0x 180,0"	NA	ROH	NA	61.81	S4_PQ35 6ta Gen_. (APR	NO	4986814579
581074	29/01/2015	ZSCR	551	035-1	NA	'045	A2C8275211093	NA	A2C00054060	2	3011	045		1351	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	8.18	S2_CMF1_.	NO	4986814475
581074	29/01/2015	ZSCR	551	035-1	NA	'045	A2C8275211093	NA	A2C00054061	2	3011	045		1351	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	16.34	S2_CMF1_.	NO	4986814719
581156	29/01/2015	ZSCR	551	035-1	NA	'045	A2C3271310193	NA	A2C00050649	7	3011	045		1351	IC SMART POW/VND5E012AYTR-E/Caution: Aut	NA	ROH	NA	62.09	S4_PQ25 LP3_.	NO	4986814324
581156	29/01/2015	ZSCR	551	035-1	NA	'045	A2C3271310193	NA	A2C00054426	3	3011	045		1351	IC MCU BLK/MPC5606BVLUR(64MHz)(Bolero) C	NA	ROH	NA	80.58	S4_PQ25 LP3_.	NO	4986814543
581156	29/01/2015	ZSCR	551	035-1	NA	'045	A2C3276070193	NA	A2C00055646	68	3011	045		1351	"POWER,SINGLE,6.5V,RELAY/EM1-2U1-W"	NA	ROH	NA	393.72	S4_PQ25 LP3_.	NO	4986814504
581158	29/01/2015	ZSCR	551	035-1	NA	'045	A2C3276130193	NA	A2C00052547	1	3011	045		1351	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	6.06	S4_PQ25 LP3_.	NO	4986814592
581158	29/01/2015	ZSCR	551	035-1	NA	'045	A2C3271310193	NA	A2C00054426	7	3011	045		1351	IC MCU BLK/MPC5606BVLUR(64MHz)(Bolero) C	NA	ROH	NA	188.02	S4_PQ25 LP3_.	NO	4986814543
581158	29/01/2015	ZSCR	551	035-1	NA	'045	A2C3271310193	NA	A2C00055646	18	3011	045		1351	"POWER,SINGLE,6.5V,RELAY/EM1-2U1-W"	NA	ROH	NA	104.22	S4_PQ25 LP3_.	NO	4986814504
581158	29/01/2015	ZSCR	551	035-1	NA	'045	A2C53419997T	NA	A2C00164000	12	3011	045		1351	"IC SMART POW/VN5770AKPTR-E,SO28,4,36V,28"	NA	ROH	NA	60.84	S4_PQ25 LP3_.	NO	4986815766
581737	30/01/2015	ZSCR	551	035-1	0	'045	A2C3085270492	NA	A2C00049532	69	3011	045		1351	"33R,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.69	S6_WEBASTO_A.ALEX ADMIN	NO	4986812015
581737	30/01/2015	ZSCR	551	035-1	0	'045	A2C8754070192	NA	A2C00049532	4	3011	045		1351	"33R,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.04	S6_WEBASTO_A.ALEX ADMIN	NO	4986812015
581737	30/01/2015	ZSCR	551	035-1	0	'045	A2C3085270493	NA	A2C00052545	21	3011	045		1351	"L CMC CAN COIL/ACT45B/100uH,200mA,SMD"		ROH	NA	28.98	S6_WEBASTO_A.ALEX ADMIN	NO	4986815756
581737	30/01/2015	ZSCR	551	035-1	0	'045	A2C8754070193	NA	A2C00057053	3	3011	045		1351	"TRANSCEIVER,High Speed CAN/Lin,HTSSOP32,"		ROH	NA	39.42	S6_WEBASTO_A.ALEX ADMIN	NO	4986814700
581737	30/01/2015	ZSCR	551	035-1	0	'045	A2C8754070192	NA	A2C00101900	9	3011	045		1351	"T FET/N-Channel MOSFET,MOS,POWER,TSOP-6,"		ROH	NA	11.16	S6_WEBASTO_A.ALEX ADMIN	NO	4986814795
581737	30/01/2015	ZSCR	551	035-1	0	'045	A2C3085270493	NA	A2C00334200	36	3011	045		1351	"R LIN,2R2,1%,TK200,125mW,0805"		ROH	NA	0.36	S6_WEBASTO_A.ALEX ADMIN	NO	4986815823
581737	30/01/2015	ZSCR	551	035-1	0	'045	A2C8754070193	NA	A2C00334200	24	3011	045		1351	"R LIN,2R2,1%,TK200,125mW,0805"		ROH	NA	0.24	S6_WEBASTO_A.ALEX ADMIN	NO	4986815823
581746	30/01/2015	ZSCR	551	035-1	0	'045	A2C3280500092	NA	A2C00060541	51	3011	045		1351	"Q QUARTZ/CX3225SB 13.08148MHz,13.08MHz,N"		ROH	NA	91.8	S2_CMF1_A.ALEX ADMIN	NO	4986815732
