No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	 	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
597305	09/03/2015	MB1A	551	034-2	K96019	'054	NA	NA	A2C53424040	4000	1095	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	1160	PSAD_DAIMLER SMART_F.FE	NO			
597305	09/03/2015	MB1A	551	034-2	K96019	'054	NA	NA	A2C53424040	7000	1095	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	2030	PSAD_DAIMLER SMART_F.FE	NO			
597504	10/03/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO			
597506	10/03/2015	ZSCR	551	040-1	NA	'054	A2C33330515	NA	A2C96631500	1	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	511.46	PSAD_DAIMLER STAR2_ISC_	NO	4987639581		
597507	10/03/2015	ZSCR	551	040-5	NA	'054	A2C38070400		A2C38070400	1	1405	ACU FIA310 MY10 S10 06 02 0 0 0 000	NA	FERT	NA	173.11	PS_FIAT BRAZIL_.	NO	4987613117		
597516	10/03/2015	ZSCR	551	040-3	NA	'054	A2C37964112	NA	A2C35116201	2	1403	pcb assy DAGSTAR2 D_13	NA	HALB	S.Real	821.22	PSAD_DAIMLER STAR 2_A.A	NO	4987640440		
597518	10/03/2015	ZSCR	551	040-3	NA	'054	A2C33330515	NA	A2C96631500	1	1403	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	511.46	PSAD_DAIMLER STAR2_ISC_	NO	4987639581		
597520	10/03/2015	ZSCR	551	040-3	NA	'054	A2C33330515	NA	A2C96631500	1	1403	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	511.46	PSAD_DAIMLER STAR2_ISC_	NO	4987639581		
597523	10/03/2015	ZSCR	551	040-5	NA	'054	5WK44285	NA	A2C53367544	1	1405	ACU VW10 MY10 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.69	PS_VW10 LC_.	NO	4987614798		
597542	10/03/2015	ZSCR	551	040-4	NA	'054	A2C92704001	NA	A2C96631600	4	1404	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	1644.2	PSAD_DAIMLER STAR2_ISC_	NO			
597565	10/03/2015	ZSCR	551	040-1	NA	'054	5WK44749	NA	A2C8021770003	1	1401	pcb assy HONHRS6 D_20_SW	NA	HALB	S.Real	317.39	PS_HONDA HRS6_J.JUAN CH	NO	4987639398		
597567	10/03/2015	ZSCR	551	040-2	NA	'054	A2C89730900	NA	A2C8021660002	1	1402	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	317.05	PS_HONDA HRS6_J.JUAN CH	NO	4987612584		
597568	10/03/2015	ZSCR	551	040-5	NA	'054	A2C32453912	3	A2C32453912	1	1405	ACU DAGS2W222 MY12 S15 24 09 0 1 0 000	NA	FERT	NA	425.24	PSAD_DAIMLER STAR 2_A.A	NO	4987613085		
597571	10/03/2015	ZSCR	551	040-5	NA	'054	5WK44508	1	5WK44508	1	1405	ACU VW10 MY09 M35	NA	FERT	NA	235.03	PS_VW10 LC_.	NO	4987613078		
597573	10/03/2015	ZSCR	551	034-2	NA	'054	5WK44080	NA	A2C53124673	1	1342	keypad assy	NA	HALB	S.Real/AutoBF	545.29	OC_OCS NISSAN_A.ANA TAP	NO	4987612513		
597575	10/03/2015	ZSCR	551	042-4	NA	'054	5WK44508	NA	A2C53416946	1	1424	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_.	NO	4987615035		
597576	10/03/2015	ZSCR	551	040-3	NA	'054	5WK44508	NA	A2C53416946	1	1403	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_.	NO	4987615035		
597578	10/03/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO			
597580	10/03/2015	ZSCR	551	040-2	NA	'054	A2C33330515		A2C33330515	1	1402	ACU DAGS2WS205 MY13 S15 24 09 1 1 0 HSA	NA	FERT	NA	546.04	PSAD_DAIMLER STAR2_ISC_	NO	4987612092		
597592	10/03/2015	ZSCR	551	040-1	NA	'054	5WK44508	NA	A2C53416946	1	1401	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_.	NO	4987615035		
597594	10/03/2015	ZSCR	551	040-2	NA	'054	5WK44252	NA	A2C53364457	1	1402	pcb assy	NA	HALB	S.Real/AutoBF	103.53	OC_BOSE VW_A.ANA TAPIA-	NO	4987612593		
597595	10/03/2015	ZSCR	551	040-3	NA	'054	5WK44252		5WK44252	1	1403	BoSe VW	NA	FERT	NA	104.03	OC_BOSE VW_A.ANA TAPIA-	NO	4987613052		
597598	10/03/2015	ZSCR	551	040-2	NA	'054	5WK44285	NA	A2C00027016	1	1402	housing	NA	ROH	NA	14.91	PS_VW10 LC_.	NO	4987614798		
597599	10/03/2015	ZSCR	551	040-2	NA	'054	5WK44830	NA	A2C53405780	1	1402	housing	NA	ROH	NA	30.79	PS_HONDA HRS6_J.JUAN CH	NO	4987639411		
597600	10/03/2015	ZSCR	551	040-5	NA	'054	A2C37964112	NA	A2C53330109	5	1405	socket	NA	ROH	NA	87.45	PSAD_DAIMLER STAR 2_A.A	NO	4987640440		
597601	10/03/2015	ZSCR	551	040-3	NA	'054	5WK44285	NA	A2C00014697	30.000	1403	sticker	NA	ROH	NA	15.9	PS_VW10 LC_.	NO	4987614621		
597625	10/03/2015	ZSCR	551	034-2	NA	'054	5WK44592	NA	A2C53397769	3	1342	housing	NA	ROH	NA	68.58	PS_HONDA HRS6_J.JUAN CH	NO	4987615085		
597625	10/03/2015	ZSCR	551	034-2	NA	'054	5WK44592	NA	A2C53397780	3	1342	cover	NA	ROH	NA	10.14	PS_HONDA HRS6_J.JUAN CH	NO	4987615085		
597628	10/03/2015	ZSCR	551	040-3	NA	'054	5WK42580	NA	A2C00016838	850	1403	connector pin	NA	ROH	NA	263.5	OC_OCS NISSAN_A.ANA TAP	NO	4987613152		
597630	10/03/2015	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00027389	1	1342	cover	NA	ROH	NA	2.83	PS_VW10 LC_.	NO	4987614798		
597633	10/03/2015	ZSCR	551	034-2	NA	'054	5WK44252		5WK44252	1	1342	BoSe VW	NA	FERT	NA	104.03	OC_BOSE VW_A.ANA TAPIA-	NO	4987612055		
597635	10/03/2015	ZSCR	551	034-4	NA	'054	A2C81625900	NA	A2C5339961702	1	1344	pcb assy V1B	NA	HALB	S.Real/AutoBF	219.12	PS_HONDA HRS5_.	NO	4987612563		
597636	10/03/2015	ZSCR	551	040-5	NA	'054	A2C32453912	NA	A2C35116101	1	1405	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_A.A	NO	4987639506		
597637	10/03/2015	ZSCR	551	040-5	NA	'054	5WK44285	NA	A2C53367544	1	1405	ACU VW10 MY10 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.69	PSAD_DAIMLER STAR 2_A.A	NO	4987614798		
597638	10/03/2015	ZSCR	551	042-4	NA	'054	5WK44508	NA	A2C53416946	1	1424	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_.	NO	4987615035		
597639	10/03/2015	ZSCR	551	040-5	NA	'054	5WK44508	NA	A2C53416946	1	1405	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_.	NO	4987615035		
597640	10/03/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C85221001	1	1095	pcb assy DAGSM D_2	NA	HALB	S.Real	249.06	PSAD_DAIMLER SMART_F.FE	NO			
597641	10/03/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C85221001	1	1095	pcb assy DAGSM D_2	NA	HALB	S.Real	249.06	PSAD_DAIMLER SMART_F.FE	NO			
