No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
560947	07/12/2014	ZSCR	551	040-4	NA	'015	A2C82168000	NA	A2C86398500	40	1404	NA	ROH	NA	310.8	S1_CUSW UF RFHM_A.ADRIA	NO			
588128	16/02/2015	ZSCR	551	034-2	NA	'050	A2C32292200	NA	A2C35130000	11	1342	NA	ROH	NA	110.11	S1_IGNM CUSW_A.ADRIANA	NO	4988225292		
588617	17/02/2015	ZSCR	551	034-2	NA	'050	A2C37574300	NA	A2C00063691	2	1342	NA	ROH	NA	86.8	S1_CBC_P.PABLO PALMER-C	NO	4988225775		
589659	19/02/2015	ZSCR	551	034-2	NA	'050	A2C81624700	NA	A2C82135300	8	1342	NA	ROH	NA	233.2	S1_WK_WD RFHUB_A.ADRIAN	NO			
591128	23/02/2015	ZSCR	551	034-2	NA	'050	A2C32292300	NA	A2C35130000	2	1342	NA	ROH	NA	20.02	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225316		
591130	23/02/2015	ZSCR	551	034-2	NA	'050	A2C7384970093	NA	A2C00063691	7	1342	NA	ROH	NA	303.8	S1_CBC MY15_. (APROBAC	NO			
591587	24/02/2015	ZSCR	551	042-4	NA	'015	A2C73601801	NA	A2C73637100	3	1424	NA	ROH	NA	73.23	S1_CBC MY15_. (APROBAC	NO			
591587	24/02/2015	ZSCR	551	042-4	NA	'015	A2C73601801	NA	A2C73637200	1	1424	NA	ROH	NA	7.06	S1_CBC MY15_. (APROBAC	NO			
591614	24/02/2015	ZSCR	551	030-1	NA	'050	A2C8216790093	NA	A2C82135300	4	1301	NA	ROH	NA	116.6	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225016		
591779	25/02/2015	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C82135300	12	1342	NA	ROH	NA	349.8	S1_WK_WD RFHUB_A.ADRIAN	NO			
592604	26/02/2015	ZSCR	551	034-2	NA	'050	A2C81624700	NA	A2C53331174	3	1342	NA	ROH	NA	5.43	S1_WK_WD RFHUB_A.ADRIAN	NO			
592604	26/02/2015	ZSCR	551	034-2	NA	'050	A2C32293000	NA	A2C53375403	5	1342	NA	ROH	NA	109	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225387		
592604	26/02/2015	ZSCR	551	034-2	NA	'050	A2C81624400	NA	A2C89522000	5	1342	NA	ROH	NA	50.1	S1_WK_WD RFHUB_A.ADRIAN	NO			
592657	26/02/2015	ZSCR	551	040-2	NA	'050	A2C73789705	NA	A2C73599005	2	1402	NA	ROH	NA	159.58	S1_CBC MY15_. (APROBAC	NO			
592664	26/02/2015	ZSCR	551	040-4	NA	'015	A2C37668700	NA	A2C00004906	54	1404	NA	ROH	NA	88.02	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C37668700	NA	A2C53105128	63	1403	NA	ROH	NA	19.53	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C73753001	NA	A2C73749500	15	1403	NA	ROH	NA	185.1	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C86022500	NA	A2C73750400	37	1403	NA	ROH	NA	311.17	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C74094300	NA	A2C73750500	16	1403	NA	ROH	NA	134.56	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C86022500	NA	A2C73750700	37	1403	NA	ROH	NA	207.2	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C74094300	NA	A2C73750900	16	1403	NA	ROH	NA	104.16	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C73753401	NA	A2C73952000	21	1403	NA	ROH	NA	244.86	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C74094300	NA	A2C74094200	17	1403	NA	ROH	NA	209.78	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C85886700	NA	A2C85519700	63	1403	NA	ROH	NA	136.71	S1_PASE FOB CUSW_A.ADRI	NO			
592665	26/02/2015	ZSCR	551	040-3	NA	'015	A2C85886700	NA	A2C85519800	63	1403	NA	ROH	NA	6.93	S1_PASE FOB CUSW_A.ADRI	NO			
592848	27/02/2015	ZSCR	551	034-2	NA	'050	A2C86022500	NA	A2C53331174	1	1342	NA	ROH	NA	1.81	S1_RFHM CUSW_A.ADRIANA	NO			
592848	27/02/2015	ZSCR	551	034-2	NA	'050	A2C32295200	NA	A2C53375403	4	1342	NA	ROH	NA	87.2	S1_RFHM CUSW_A.ADRIANA	NO	4988225636		
592848	27/02/2015	ZSCR	551	034-2	NA	'050	A2C86022500	NA	A2C89521800	5	1342	NA	ROH	NA	44.1	S1_RFHM CUSW_A.ADRIANA	NO			
592852	27/02/2015	ZSCR	551	034-2	NA	'050	A2C32295800	NA	A2C35130200	1	1342	NA	ROH	NA	8	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225704		
592852	27/02/2015	ZSCR	551	034-2	NA	'050	A2C32293500	NA	A2C40000660	1	1342	NA	ROH	NA	21.65	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225480		
592852	27/02/2015	ZSCR	551	034-2	NA	'050	A2C32292300	NA	A2C53331174	43	1342	NA	ROH	NA	77.83	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225316		
592852	27/02/2015	ZSCR	551	034-2	NA	'050	A2C81624600	NA	A2C89521800	13	1342	NA	ROH	NA	114.66	S1_WK_WD RFHUB_A.ADRIAN	NO			
593119	27/02/2015	ZSCR	551	040-3	NA	'015	A2C86022600	NA	A2C86398501	113	1403	NA	ROH	NA	890.44	S1_RFHM CUSW_A.ADRIANA	NO			
593461	28/02/2015	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	8	1342	NA	ROH	NA	173.2	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225269		
593461	28/02/2015	ZSCR	551	034-2	NA	'050	A2C32295400	NA	A2C53331174	15	1342	NA	ROH	NA	27.15	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225648		
