No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
615931	5/3/2015	ZSCR	551	040-2	NA	'045	A2C31244300	NA	A2C31241400	5	3011	063		1402	sticker	NA	ROH	NA	28.8	S1_PK MY 13 FORD_. (AP	NO	4990086721
616819	5/5/2015	ZSCR	551	040-3	NA	'045	A2C31243600	NA	A2C31225200	44	3011	063		1403	housing cover assy	NA	ROH	NA	1805.76	S1_PK MY 13 FORD_. (AP	NO	4990086708
616819	5/5/2015	ZSCR	551	040-3	NA	'045	A2C31244500	NA	A2C82186600	2	3011	063		1403	housing	NA	ROH	NA	89.92	S1_PK MY 13 FORD_. (AP	NO	4990086730
616819	5/5/2015	ZSCR	551	040-3	NA	'045	A2C91031700	NA	A2C91031500	3	3011	063		1403	housing cover assy	NA	ROH	NA	133.38	S1_PK MY 13 FORD_. (AP	NO	4990086834
617151	5/6/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227300	13	3011	063		1403	housing assy	NA	ROH	NA	33.67	S1_PK MY 13 FORD_. (AP	NO	4990086622
617151	5/6/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227400	25	3011	063		1403	contact spring	NA	ROH	NA	19.75	S1_PK MY 13 FORD_. (AP	NO	4990086622
617151	5/6/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31578100	16	3011	063		1403	contact spring	NA	ROH	NA	12	S1_PK MY 13 FORD_. (AP	NO	4990086622
617317	5/6/2015	ZSCR	551	040-2	NA	'045	A2C91031700	NA	A2C91031500	12	3011	063		1402	housing cover assy	NA	ROH	NA	533.52	S1_PK MY 13 FORD_. (AP	NO	4990086834
617317	5/6/2015	ZSCR	551	040-2	NA	'045	A2C91253900	NA	A2C91253700	1	3011	063		1402	housing bottom assy 2-way	NA	ROH	NA	26.2	S1_PK MY 13 FORD_. (AP	NO	4990086840
617317	5/6/2015	ZSCR	551	040-2	NA	'045	A2C31243301	NA	A2C95808600	5	3011	063		1402	sticker	NA	ROH	NA	0.4	S1_PK MY 13 FORD_. (AP	NO	4990086691
617413	5/6/2015	ZSCR	551	040-2	NA	'045	A2C31243600	NA	A2C31225200	7	3011	063		1402	housing cover assy	NA	ROH	NA	287.28	S1_PK MY 13 FORD_. (AP	NO	4990086708
617413	5/6/2015	ZSCR	551	040-2	NA	'045	A2C81541401	NA	A2C31249900	15	3011	063		1402	key	NA	ROH	NA	327.75	S1_PK MY 13 FORD_. (AP	NO	4990086776
617413	5/6/2015	ZSCR	551	040-2	NA	'045	A2C31244500	NA	A2C82186500	1	3011	063		1402	ring FORD /LINCOLN	NA	ROH	NA	24.35	S1_PK MY 13 FORD_. (AP	NO	4990086730
617413	5/6/2015	ZSCR	551	040-2	NA	'045	A2C31244500	NA	A2C82186500	10	3011	063		1402	ring FORD /LINCOLN	NA	ROH	NA	243.5	S1_PK MY 13 FORD_. (AP	NO	4990086730
617413	5/6/2015	ZSCR	551	040-2	NA	'045	A2C31244500	NA	A2C82186600	2	3011	063		1402	housing	NA	ROH	NA	89.92	S1_PK MY 13 FORD_. (AP	NO	4990086730
617413	5/6/2015	ZSCR	551	040-2	NA	'045	A2C31244600	NA	A2C82245800	1	3011	063		1402	housing cover assy	NA	ROH	NA	45.72	S1_PK MY 13 FORD_. (AP	NO	4990086741
617413	5/6/2015	ZSCR	551	040-2	NA	'045	A2C86460600	NA	A2C86411900	5	3011	063		1402	housing	NA	ROH	NA	274	S1_PK MY 13 FORD_. (AP	NO	4990086802
617413	5/6/2015	ZSCR	551	040-2	NA	'045	A2C91031700	NA	A2C91031500	6	3011	063		1402	housing cover assy	NA	ROH	NA	266.76	S1_PK MY 13 FORD_. (AP	NO	4990086834
617677	5/7/2015	ZSCR	551	040-2	NA	'045	A2C31244500	NA	A2C82186600	1	3011	063		1402	housing	NA	ROH	NA	44.96	S1_PK MY 13 FORD_.	NO	4990086730
617788	5/7/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C00024322	1	3011	063		1403	key ring	NA	ROH	NA	0.71	S1_PK MY 13 FORD_.	NO	4990086622
617788	5/7/2015	ZSCR	551	040-3	NA	'045	A2C31243301	NA	A2C31227300	10	3011	063		1403	housing assy	NA	ROH	NA	25.9	S1_PK MY 13 FORD_.	NO	4990086691
617788	5/7/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227400	10	3011	063		1403	contact spring	NA	ROH	NA	7.9	S1_PK MY 13 FORD_.	NO	4990086622
617788	5/7/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227500	10	3011	063		1403	label	NA	ROH	NA	2.6	S1_PK MY 13 FORD_.	NO	4990086622
617788	5/7/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31249900	1	3011	063		1403	key	NA	ROH	NA	21.85	S1_PK MY 13 FORD_.	NO	4990086622
617788	5/7/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31578100	10	3011	063		1403	contact spring	NA	ROH	NA	7.5	S1_PK MY 13 FORD_.	NO	4990086622
617788	5/7/2015	ZSCR	551	040-3	NA	'045	5WY5971	NA	A2C53405271	10	3011	063		1403	Foam cushion	NA	ROH	NA	3.4	S1_PK MY 13 FORD_.	NO	4990086512
618007	5/8/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C00045268	300	3011	063		1403	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	498	S1_PK MY 13 FORD_.	NO	4990086622
618066	5/8/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227300	13	3011	063		1403	housing assy	NA	ROH	NA	33.67	S1_PK MY 13 FORD_. (AP	NO	4990086622
618066	5/8/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227400	13	3011	063		1403	contact spring	NA	ROH	NA	10.27	S1_PK MY 13 FORD_. (AP	NO	4990086622
618066	5/8/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227500	4	3011	063		1403	label	NA	ROH	NA	1.04	S1_PK MY 13 FORD_. (AP	NO	4990086622
618066	5/8/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31578100	7	3011	063		1403	contact spring	NA	ROH	NA	5.25	S1_PK MY 13 FORD_. (AP	NO	4990086622
618066	5/8/2015	ZSCR	551	040-3	NA	'045	5WY5971	NA	A2C53405271	5	3011	063		1403	Foam cushion	NA	ROH	NA	1.7	S1_PK MY 13 FORD_. (AP	NO	4990086512
618071	5/8/2015	ZSCR	551	040-2	NA	'045	A2C31244500	NA	A2C00045268	226	3011	063		1402	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	375.16	S1_PK MY 13 FORD_. (AP	NO	4990086730
618071	5/8/2015	ZSCR	551	040-2	NA	'045	5WY5971	NA	A2C53405271	226	3011	063		1402	Foam cushion	NA	ROH	NA	76.84	S1_PK MY 13 FORD_. (AP	NO	4990086512
618207	5/9/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227300	14	3011	063		1403	housing assy	NA	ROH	NA	36.26	S1_PK MY 13 FORD_. (AP	NO	4990086622
618207	5/9/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227400	22	3011	063		1403	contact spring	NA	ROH	NA	17.38	S1_PK MY 13 FORD_. (AP	NO	4990086622
618207	5/9/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227500	9	3011	063		1403	label	NA	ROH	NA	2.34	S1_PK MY 13 FORD_. (AP	NO	4990086622
618207	5/9/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31578100	18	3011	063		1403	contact spring	NA	ROH	NA	13.5	S1_PK MY 13 FORD_. (AP	NO	4990086622
618207	5/9/2015	ZSCR	551	040-3	NA	'045	5WY5971	NA	A2C53405271	10	3011	063		1403	Foam cushion	NA	ROH	NA	3.4	S1_PK MY 13 FORD_. (AP	NO	4990086512
618218	5/9/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C00045268	297	3011	063		1403	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	493.02	S1_PK MY 13 FORD_. (AP	NO	4990086622
618261	5/9/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C00045268	2	3011	063		1403	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	3.32	S1_PK MY 13 FORD_. (AP	NO	4990086622
618261	5/9/2015	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31241400	1	3011	063		1403	sticker	NA	ROH	NA	5.76	S1_PK MY 13 FORD_. (AP	NO	4990086622
619108	5/12/2015	ZSCR	551	040-3	NA	'045	A2C31244700	NA	A2C00045268	1	3011	063		1403	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	1.66	S1_PK MY 13 FORD_. (AP	NO	4990086746
619108	5/12/2015	ZSCR	551	040-3	NA	'045	A2C81541800	NA	A2C31227300	26	3011	063		1403	housing assy	NA	ROH	NA	67.34	S1_PK MY 13 FORD_. (AP	NO	4990086788
619108	5/12/2015	ZSCR	551	040-3	NA	'045	A2C31244700	NA	A2C31227400	16	3011	063		1403	contact spring	NA	ROH	NA	12.64	S1_PK MY 13 FORD_. (AP	NO	4990086746
619108	5/12/2015	ZSCR	551	040-3	NA	'045	A2C31244700	NA	A2C31227500	3	3011	063		1403	label	NA	ROH	NA	0.78	S1_PK MY 13 FORD_. (AP	NO	4990086746
619108	5/12/2015	ZSCR	551	040-3	NA	'045	A2C31244700	NA	A2C31578100	21	3011	063		1403	contact spring	NA	ROH	NA	15.75	S1_PK MY 13 FORD_. (AP	NO	4990086746
620204	5/14/2015	ZSCR	551	034-2	NA	'045	A2C9089940192	NA	A2C9089940192	2	3011	063		1342	electronic assy bottom	NA	HALB	S.Real	158.38	S1_PK MY 13 FORD_. (AP	NO	4990086888
620204	5/14/2015	ZSCR	551	034-2	NA	'045	A2C9089950192	NA	A2C9089950192	1	3011	063		1342	electronic assy bottom	NA	HALB	S.Real	77.82	S1_PK MY 13 FORD_. (AP	NO	4990086939
620207	5/14/2015	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C00024322	71	3011	063		1402	key ring	NA	ROH	NA	50.41	S1_PK MY 13 FORD_. (AP	NO	4990086622
620207	5/14/2015	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31224600	4	3011	063		1402	housing cover assy	NA	ROH	NA	157.28	S1_PK MY 13 FORD_. (AP	NO	4990087127
620207	5/14/2015	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227300	11	3011	063		1402	housing assy	NA	ROH	NA	28.49	S1_PK MY 13 FORD_. (AP	NO	4990086622
620207	5/14/2015	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227400	9	3011	063		1402	contact spring	NA	ROH	NA	7.11	S1_PK MY 13 FORD_. (AP	NO	4990086622
620207	5/14/2015	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31578100	4	3011	063		1402	contact spring	NA	ROH	NA	3	S1_PK MY 13 FORD_. (AP	NO	4990086622
620207	5/14/2015	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31578100	2	3011	063		1402	contact spring	NA	ROH	NA	1.5	S1_PK MY 13 FORD_. (AP	NO	4990086622
620207	5/14/2015	ZSCR	551	040-2	NA	'045	A2C31244600	NA	A2C82245800	4	3011	063		1402	housing cover assy	NA	ROH	NA	182.88	S1_PK MY 13 FORD_. (AP	NO	4990086741
620207	5/14/2015	ZSCR	551	040-2	NA	'045	A2C91031601	NA	A2C91031400	6	3011	063		1402	housing cover assy	NA	ROH	NA	285.6	S1_PK MY 13 FORD_. (AP	NO	4990086818
620211	5/14/2015	ZSCR	551	040-4	NA	'045	A2C31243300	NA	A2C00045268	230	3011	063		1404	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	381.8	S1_PK MY 13 FORD_. (AP	NO	4990086622
