No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
619605	13/05/2015	ZSCR	551	030-1	NA	'054	A2C3320950092	NA	A2C53387067	40	3011	054	 	1301	pcb FIAT ACU MA	NA	ROH	NA	486	PS_FIAT BRAZIL_.	NO	4990394909
619829	13/05/2015	ZSCR	551	035-1	0	'054	A2C8496530092	NA	A2C40017302	5	3011	054	 	1351	"R LIN,3R9,5%,TK500,125mW,0805"		ROH	NA	0.05	PS_HONDA HRS6_A.APROBAC	NO	
620079	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	175.7	PS_VW10 LC_.	NO	
620082	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_.	NO	
620085	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	175.7	PS_VW10 LC_.	NO	
620086	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_.	NO	
620089	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	175.7	PS_VW10 LC_.	NO	
620090	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	175.7	PS_VW10 LC_.	NO	
620149	14/05/2015	ZSCR	551	040-1	NA	'054	A2C96660500	NA	A2C96660500	1	3011	054	 	1401	pcb assy FIA326 OCS V15_1	NA	HALB	S.Real	164.81	PS_FIAT BRAZIL_.	NO	4990394007
620164	14/05/2015	ZSCR	551	050-1	NA	'054	A2C38171805	NA	A2C53424040	20	3011	054	 	1501	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	5.8	PSAD_DAIMLER STAR2_ISC_	NO	
620164	14/05/2015	ZSCR	551	050-1	NA	'054	A2C38171905	NA	A2C83435000	5	3011	054	 	1501	cover FIP T BK	NA	ROH	NA	89.05	PSAD_DAIMLER STAR2_ISC_	NO	
620165	14/05/2015	ZSCR	551	050-1	NA	'054	A2C94504300	NA	A2C53405780	1	3011	054	 	1501	housing	NA	ROH	NA	30.79	PS_HONDA HRS6_J.JUAN CH	NO	
620380	15/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
620381	15/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
620487	15/05/2015	ZSCR	551	040-5	NA	'054	A2C33330515	NA	A2C91600700	6	3011	054	 	1405	multipoint connector124/ 86P H 2SYS 1018	NA	ROH	NA	342.72	PSAD_DAIMLER STAR2_ISC_	NO	4990394953
621901	20/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_.	NO	
