No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	apd		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
638712	06/07/2015	ZSCR	551	022-2	NA	'100	5WY8749	1	5WY8749	14	3011	100		1222	OPEL EPS AEPSOPGA04M00	NA	FERT	NA	9001.02	OES_EPS_O.OSCAR FONSECA	NO	4991375169
638723	06/07/2015	ZSCR	551	040-5	NA	'100	5WY8285	NA	A2C53168554	1	3011	100		1405	multipoint connector 154P H 2SYS	NA	ROH	NA	56.94	OES_OTIS SID 902_. (AP	NO	4991374962
638727	06/07/2015	ZSCR	551	040-5	NA	'100	5WY8285	NA	A2C53309208	1	3011	100		1405	circuit board assy OTIS 1.2	NA	HALB	S.Real/AutoBF	864.48	OES_OTIS SID 902_. (AP	NO	4991375107
638734	06/07/2015	ZSCR	551	042-4	NA	'100	5WY8749	NA	A2C53396241	1	3011	100		1424	PCB TOP THD ASS OPEL EPSOPGA04M	NA	HALB	S.Real/AutoBF	472.85	OES_EPS_O.OSCAR FONSECA	NO	4991375119
638736	06/07/2015	ZSCR	551	040-5	NA	'100	5WY8285	NA	A2C53168554	3	3011	100		1405	multipoint connector 154P H 2SYS	NA	ROH	NA	170.82	OES_OTIS SID 902_. (AP	NO	4991374962
638739	06/07/2015	ZSCR	551	040-4	NA	'100	5WK43114	NA	6593957622	1	3011	100		1404	PCB COMPLETAMENTE ENSAMBLADO A	NA	HALB	S.Real/AutoBF	476.93	OES_HP_.	NO	4991375135
638744	06/07/2015	ZSCR	551	034-2	NA	'100	5WY8747	NA	A2C40010604	1	3011	100		1342	"L COIL/-,55uH,25A,HOL ++ NO SSL SUPPLIE"	NA	ROH	NA	11.34	OES_EPS_O.OSCAR FONSECA	NO	4991374988
638744	06/07/2015	ZSCR	551	034-2	NA	'100	A2C53396241T	NA	A2C53396250	7	3011	100		1342	"CONN,M,10CONT,ST,TYCO # 1642446-1"	NA	ROH	NA	83.02	OES_EPS_O.OSCAR FONSECA	NO	4991375078
638744	06/07/2015	ZSCR	551	034-2	NA	'100	5WY8747	NA	A2C53396258	1	3011	100		1342	"CONN,F,10CONT,ST,45391-1012"	NA	ROH	NA	5.77	OES_EPS_O.OSCAR FONSECA	NO	4991374988
638747	06/07/2015	ZSCR	551	034-2	NA	'100	5WY7110	NA	6578557620	2	3011	100		1342	SUBENSAMBLE SMD PREMIUM V8 C3.0 CONECTOR	NA	HALB	S.Real/AutoBF	2895.48	OES_PREMIUM V PCM_. (A	NO	4991375145
639635	08/07/2015	ZSCR	551	034-2	NA	'100	5WY7943	NA	A2C53344226	1	3011	100		1342	pcb assy FOG CD33 VECU	NA	HALB	S.Real/AutoBF	311.43	OES_CD338_. (APROBACIO	NO	4991375154
639933	09/07/2015	ZSCR	551	042-4	NA	'100	5WY7944	NA	A2C53091897	2	3011	100		1424	fuse holder	NA	ROH	NA	178.44	OES_CD338_. (APROBACIO	NO	4991374941
640224	10/07/2015	ZSCR	551	035-1	0	'100	A2C53241451	NA	6576362050	10	3011	100		1351	"10NF,10%,100V,X7R,0805,NISN,CE"		ROH	NA	0.3	OES_CD338_A.ALEX ADMIN	NO	4991375021
640224	10/07/2015	ZSCR	551	035-1	0	'100	A2C53241451	NA	6577362082	6	3011	100		1351	CAPACITOR DE CERAMICA 100V 10%		ROH	NA	0.12	OES_CD338_A.ALEX ADMIN	NO	4991375021
640224	10/07/2015	ZSCR	551	035-1	0	'100	A2C53241451	NA	6591312063	26	3011	100		1351	39V ZENER DIODE		ROH	NA	2.6	OES_CD338_A.ALEX ADMIN	NO	4991375021
640224	10/07/2015	ZSCR	551	035-1	0	'100	A2C53241451	NA	6591602083	50	3011	100		1351	TRANSISTOR NPN PNP BC847PN SOT		ROH	NA	9.5	OES_CD338_A.ALEX ADMIN	NO	4991375021
