No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	 	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
635192	26/06/2015	ZSCR	551	040-5	NA	'054	A2C91763800	A2C91763800	#N/A	A2C91763800	1	3011	054	 	1405	ACU MY14 S15 06 XX 0 0 0 000	#N/A	FERT	NA	214.95	PS_SDM30_. (APROBACION	NO	4991581538
635204	26/06/2015	ZSCR	551	034-9	NA	'054	A2C91764400	A2C91764400	#N/A	A2C91764400	1	3011	054	 	1349	ACU MY14 S15 18 XX 0 1 0 000	#N/A	FERT	NA	474.09	PS_SDM30_. (APROBACION	NO	4991580748
635232	26/06/2015	ZSCR	551	040-3	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1403	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_. (APROBACION	NO	4991581373
635703	28/06/2015	ZSCR	551	040-2	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1402	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_. (APROBACION	NO	4991581053
636176	29/06/2015	ZSCR	551	040-3	NA	'054	A2C85215000	A2C85215000	#N/A	A2C85215000	1	3011	054	 	1403	ACU VW20 MY12 S15 12 04 0 0 0 000	#N/A	FERT	NA	241.75	PS_VW20 MQB_.	NO	4991581297
636197	29/06/2015	ZSCR	551	040-1	NA	'054	A2C91764100	A2C91764100	#N/A	A2C92572300	1	3011	054	 	1401	pcb assy GMSMD30	#N/A	HALB	S.Real/AutoBF	264.43	PS_SDM30_.	NO	4991580948
636200	29/06/2015	ZSCR	551	040-1	NA	'054	A2C91764400	A2C91764400	#N/A	A2C91764400	1	3011	054	 	1401	ACU MY14 S15 18 XX 0 1 0 000	#N/A	FERT	NA	474.09	PS_SDM30_.	NO	4991580945
636238	29/06/2015	ZSCR	551	040-1	NA	'054	A2C91764100	A2C91764100	#N/A	A2C92572300	3	3011	054	 	1401	pcb assy GMSMD30	#N/A	HALB	S.Real/AutoBF	793.29	PS_SDM30_.	NO	4991580948
636247	29/06/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	4	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	1340.44	PS_SDM30_.	NO	4991580729
636247	29/06/2015	ZSCR	551	034-9	NA	'054	A2C91764400	A2C91764400	#N/A	A2C91764400	1	3011	054	 	1349	ACU MY14 S15 18 XX 0 1 0 000	#N/A	FERT	NA	474.09	PS_SDM30_.	NO	4991580748
636250	29/06/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	3	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	1005.33	PS_SDM30_.	NO	4991580729
636253	29/06/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	2	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	670.22	PS_SDM30_.	NO	4991580729
636255	29/06/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_.	NO	4991580729
636256	29/06/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	2	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	670.22	PS_SDM30_.	NO	4991580729
636257	29/06/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_.	NO	4991580729
636257	29/06/2015	ZSCR	551	034-9	NA	'054	A2C91764300	A2C91764300	#N/A	A2C91764300	1	3011	054	 	1349	ACU GMSDM30 MY14 S15 18 XX 1 0 0 XXX	#N/A	FERT	NA	369.69	PS_SDM30_.	NO	4991580736
636581	30/06/2015	ZSCR	551	040-3	NA	'054	A2C85215000	A2C85215000	#N/A	A2C85215000	1	3011	054	 	1403	ACU VW20 MY12 S15 12 04 0 0 0 000	#N/A	FERT	NA	241.75	PS_VW20 MQB_.	NO	4991581297
636582	30/06/2015	ZSCR	551	040-5	NA	'054	A2C80644604	A2C80644604	#N/A	A2C80644604	1	3011	054	 	1405	ACU DAGA3WS212 MY12 M35 24 XX 0 1 0 000	#N/A	FERT	NA	494.93	PS_ARAMIS III_.	NO	4991581491
636588	30/06/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	2	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	670.22	PS_SDM30_.	NO	4991580729
636968	01/07/2015	ZSCR	551	030-1	NA	'054	A2C8145580092	A2C80612810	#N/A	A2C81455600	12	3011	054	 	1301	pcb 4-lay FR-4 ImSn	#N/A	ROH	NA	142.68	PS_RENAULT_.	NO	4991583178
636982	01/07/2015	ZSCR	551	040-3	NA	'054	A2C86852400	A2C86852400	#N/A	A2C86852400	1	3011	054	 	1403	ACU HMCUD MY13 S10 12 XX 0 0 0 000	#N/A	FERT	NA	244.18	PS_HYUNDAI_.	NO	4991581335
636984	01/07/2015	ZSCR	551	040-2	NA	'054	A2C86852400	A2C86852400	#N/A	A2C86852400	1	3011	054	 	1402	ACU HMCUD MY13 S10 12 XX 0 0 0 000	#N/A	FERT	NA	244.18	PS_HYUNDAI_.	NO	4991581041
637001	01/07/2015	ZSCR	551	040-1	NA	'054	A2C85621700	A2C85621700	#N/A	A2C53417786	1	3011	054	 	1401	pcb assy	#N/A	HALB	S.Real/AutoBF	157.62	PSAD_GM BRASIL_A.ANA TA	NO	4991580800
637005	01/07/2015	ZSCR	551	040-3	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	4	3011	054	 	1403	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	1340.44	PS_SDM30_.	NO	4991581373
637006	01/07/2015	ZSCR	551	050-1	NA	'054	A2C86852400	A2C86852400	#N/A	A2C86852400	1	3011	054	 	1501	ACU HMCUD MY13 S10 12 XX 0 0 0 000	#N/A	FERT	NA	244.18	PS_HYUNDAI_.	NO	4991581612
637153	01/07/2015	ZSCR	551	035-1	0	'054	A2C8397190093	A2C91085500	#N/A	A2C00056785	4	3011	054	 	1351	"T FET/SY4948PEY lead-free,MOS,POWER,SO8"	#N/A	ROH	NA	7.48	PS_SDM10+_A.APROBACION	NO	
637251	02/07/2015	ZSCR	551	030-1	NA	'054	A2C86816504	A2C86816504	#N/A	A2C9663010092	1	3011	054	 	1301	pcb assy DAGA3R231 V18-1 SMD BOT	#N/A	HALB	S.Real/AutoBF	90.98	PS_ARAMIS III_.	NO	4991580620
637406	02/07/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	2	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	670.22	PS_SDM30_.	NO	4991580729
637519	02/07/2015	ZSCR	551	050-3	NA	'054	A2C85621400	A2C85621400	#N/A	A2C53412213	1	3011	054	 	1503	pcb assy	#N/A	HALB	S.Real/AutoBF	157.98	PSAD_GM BRASIL_A.ANA TA	NO	4991581637
