No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	apd	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
639104	07/07/2015	MB1A	951	025-4	NA	'100	NA	NA	A2C00011014	12870	3011	100	1254	Quartz Type Angular Rate Sensor for Roll	NA	ROH	NA	2541567.6	OES_D219 AIRBAG_.	NO	4991693668
639109	07/07/2015	MB1A	951	025-4	NA	'100	NA	NA	6592352068	57141	3011	100	1254	SENSORS / AD22201	NA	ROH	NA	5880951.72	OES_VN127_.	NO	4991693730
639497	08/07/2015	ZSCR	551	022-2	NA	'100	A2C86665100	NA	A2C40005692	5	3011	100	1222	"C ELEC,AL,100uF,20%,50V"	NA	ROH	NA	1.65	OES_VOLVO P400_J.JOSE O	NO	4991694917
639497	08/07/2015	ZSCR	551	022-2	NA	'100	A2C86665100	NA	A2C40005836	4	3011	100	1222	"C ELEC,AL,2.2mF,20%,35V"	NA	ROH	NA	11.24	OES_VOLVO P400_J.JOSE O	NO	4991694933
639497	08/07/2015	ZSCR	551	022-2	NA	'100	A2C86665100	NA	A2C40015599	5	3011	100	1222	"SEN/BS 15.012,TRIGGERSENSOR * BS15.012"	NA	ROH	NA	107.8	OES_VOLVO P400_J.JOSE O	NO	4991694933
640214	10/07/2015	MB1A	951	025-4	NA	'100	NA	NA	6590067621	66	3011	100	1254	SUBENSAMBLE SMD A B ADSCS	NA	HALB	S.Real	5577	OES_ADSCS_. (APROBACIO	NO	4991696307
640337	10/07/2015	ZSCR	551	034-2	NA	'100	5WY8747	NA	A2C53396256	8	3011	100	1342	"ASSY,CVR,HDW,CVR ASSEMBLY, FIAT"	NA	ROH	NA	144	OES_EPS_O.OSCAR FONSECA	NO	4991694177
640341	10/07/2015	ZSCR	551	040-4	NA	'100	5WY8747	NA	A2C53396244	3	3011	100	1404	"HEAT SINK,AL,FIAT"	NA	ROH	NA	120.12	OES_EPS_O.OSCAR FONSECA	NO	4991694177
640348	10/07/2015	ZSCR	551	034-2	NA	'100	5WY7181	NA	6577247602N	1	3011	100	1342	TARJETA ENSAMBLADA NO PROGRAMA	NA	HALB	S.Real/AutoBF	2328.2	OES_GMPT_. (APROBACION	NO	4991695064
641168	13/07/2015	ZSCR	551	040-3	NA	'100	5WY8747	NA	A2C53396244	1	3011	100	1403	"HEAT SINK,AL,FIAT"	NA	ROH	NA	40.04	OES_EPS_O.OSCAR FONSECA	NO	4991694177
641168	13/07/2015	ZSCR	551	040-3	NA	'100	5WY8747	NA	A2C53396263	3	3011	100	1403	PCB TOP THD ASS EPSFT6904Q	NA	HALB	S.Real/AutoBF	1279.44	OES_EPS_O.OSCAR FONSECA	NO	4991695094
641170	13/07/2015	ZSCR	551	040-3	NA	'100	5WY8748	NA	A2C53396255	2	3011	100	1403	PCB TOP THD ASS FIAT 843	NA	HALB	S.Real/AutoBF	885.18	OES_EPS_O.OSCAR FONSECA	NO	4991695114
641173	13/07/2015	ZSCR	551	030-1	NA	'100	5WY8747	NA	A2C53396263	1	3011	100	1301	PCB TOP THD ASS EPSFT6904Q	NA	HALB	S.Real/AutoBF	426.48	OES_EPS_O.OSCAR FONSECA	NO	4991695135
