No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
636732	30/06/2015	ZSCR	551	040-3	NA	'015	A2C32880100	NA	A2C86176400	1403	housing assy TPM	NA	ROH	NA	16.77	S1_TIS 1D MMC_. (APROB	NO	4992050060
637538	02/07/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	1253	housing	VUT253190	ROH	NA	114.4	S1_DCU_A.ADRIAN CEBALLO	NO	4992045160
637599	03/07/2015	ZSCR	551	022-2	NA	'015	A2C95557700	NA	A2C53422372	1222	housing	NA	ROH	NA	38.76	S5_TIS1C127 NISSAN_C.CA	NO	4992051312
638221	05/07/2015	ZSCR	551	034-2	NA	'015	A2C95557700	NA	A2C53422372	1342	housing	NA	ROH	NA	9.12	S5_TIS1C127 NISSAN_C.CA	NO	4992051349
638876	06/07/2015	ZSCR	551	022-2	NA	'015	A2C92270400	NA	A2C91049300	1222	housing	NA	ROH	NA	21.3	S5_TIS1C127 NISSAN_C.CA	NO	4992050867
639162	07/07/2015	ZSCR	551	034-2	NA	'015	A2C37346700	NA	A2C00051931	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	72.99	S5_TIS1C127 HMC_A.ADRIA	NO	4992050104
642872	19/07/2015	ZSCR	551	034-2	NA	'015	S180052048	NA	A2C00051931	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	24.33	S5_TIS1C127 NISSAN_C.CA	NO	4992051636
642873	19/07/2015	ZSCR	551	034-2	NA	'015	S180052048	NA	A2C53422372	1342	housing	NA	ROH	NA	9.12	S5_TIS1C127 NISSAN_C.CA	NO	4992051636
642927	19/07/2015	ZSCR	551	034-2	NA	'015	S180052056	NA	A2C00046497	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	85.9	S1_TIS1C127 BMW_A.ADRIA	NO	4992051654
643542	20/07/2015	ZSCR	551	022-2	NA	'015	A2C82208300	NA	A2C53422372	1222	housing	NA	ROH	NA	15.96	S5_TIS1C127 NISSAN_C.CA	NO	4992050725
644010	21/07/2015	MB1A	551	022-2	K96019	'015	NA	NA	A2C97895900	1095	housing assy TPM	NA	ROH	NA	2700	S1_TIS 1D WK_WD_. (APR	NO	4992045253
644013	21/07/2015	MB1A	551	034-2	K96019	'015	NA	NA	A2C86176400	1095	housing assy TPM	NA	ROH	NA	33.54	S1_TIS 1D REDI_. (APRO	NO	4992045227
644022	21/07/2015	ZSCR	551	034-2	NA	'015	A2C31498900	NA	A2C00046497	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	34.36	S5_TIS1C127 HMC_. (APR	NO	4992049869
644024	21/07/2015	ZSCR	551	034-2	NA	'015	A2C53410193	NA	A2C53278172	1342	"rot shaft lip seal 9,4x16,30x 6,5 VMQ"	NA	ROH	NA	28.22	S1_TIS1C 127 TESLA_. (	NO	4992050548
644214	22/07/2015	ZSCR	551	034-4	NA	'015	5WK50227S	NA	A2C53393484	1344	housing	NA	ROH	NA	151.71	S4_BMW FBD 3_. (APROBA	NO	4992049686
644336	22/07/2015	ZSCR	551	034-2	NA	'015	A2C37819400	NA	A2C00052450	1342	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	141.74	S1_TIS 1D CHRYSLER_. (	NO	4992050180
644365	22/07/2015	ZSCR	551	034-2	NA	'015	A2C86718900	NA	A2C86176400	1342	housing assy TPM	NA	ROH	NA	27.95	S1_TIS 1D CHRYSLER_. (	NO	4992050806
644366	22/07/2015	ZSCR	551	022-2	NA	'015	S180052033	NA	A2C53352996	1222	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	33.66	S1_TIS1C127 BMW_A.ADRIA	NO	4992051605
644375	22/07/2015	ZSCR	551	034-2	NA	'015	A2C96635900	NA	A2C82522300	1342	valve assy grey	NA	ROH	NA	19.06	S5_TIS1C127 HMC_. (APR	NO	4992051476
644378	22/07/2015	ZSCR	551	034-2	NA	'015	A2C37350900	NA	A2C00051931	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	48.66	S1_TG1C NISSAN_. (APRO	NO	4992050154
644382	22/07/2015	ZSCR	551	034-2	NA	'015	A2C53429215	NA	A2C53422372	1342	housing	NA	ROH	NA	9.12	S1_TG1C NISSAN_. (APRO	NO	4992050666
644383	22/07/2015	ZSCR	551	034-2	NA	'015	A2C92270500	NA	A2C91049300	1342	housing	NA	ROH	NA	12.78	S1_TG1C UNIVERSAL_. (A	NO	4992050899
644384	22/07/2015	ZSCR	551	034-2	NA	'015	A2C53410192	NA	A2C53401335	1342	valve assy	NA	ROH	NA	251.28	S1_TIS 1C GREAT WALL_.	NO	4992050510
644391	22/07/2015	ZSCR	551	040-3	NA	'015	A2C53410193	NA	A2C53278172	1403	"rot shaft lip seal 9,4x16,30x 6,5 VMQ"	NA	ROH	NA	0.83	S5_TIS1C127 HMC_. (APR	NO	4992050627
644391	22/07/2015	ZSCR	551	040-3	NA	'015	A2C80157400	NA	A2C53278194	1403	"sealing ring 10,45x 4,4 S300Pb"	NA	ROH	NA	1.37	S5_TIS1C127 HMC_. (APR	NO	4992050705
644391	22/07/2015	ZSCR	551	040-3	NA	'015	A2C37966600	NA	A2C53422372	1403	housing	NA	ROH	NA	2.28	S5_TIS1C127 HMC_. (APR	NO	4992050244
644396	22/07/2015	ZSCR	551	034-3	NA	'015	A2C92739301	NA	A2C91049300	1343	housing	NA	ROH	NA	4.26	S5_HONDA HL LL SP37_M.M	NO	4992050971
644402	22/07/2015	ZSCR	551	022-2	NA	'015	A2C95557700	NA	A2C82522300	1222	valve assy grey	NA	ROH	NA	447.91	S1_TG1C UNIVERSAL_. (A	NO	4992051312
644434	23/07/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C53413503	1342	valve core assy TPM	NA	ROH	NA	84.42	S1_TIS 1D CHRYSLER_. (	NO	4992049737
644449	23/07/2015	ZSCR	551	034-2	NA	'015	A2C53406788	NA	A2C53430181	1342	"label 50,00x 25,00mm white foil"	NA	ROH	NA	11.5	S5_HYUNDAI TPMS ECU_E.E	NO	4992050403
644455	23/07/2015	ZSCR	551	040-3	NA	'015	A2C53406787	NA	A2C53402399	1403	housing	NA	ROH	NA	39.84	S5_HYUNDAI TPMS ECU_E.E	NO	4992050350
644504	23/07/2015	ZSCR	551	034-4	NA	'015	5WK50220S	NA	A2C53393484	1344	housing	NA	ROH	NA	23.34	S4_BMW FBD 3_. (APROBA	NO	4992049604
644673	23/07/2015	MB1A	951	025-4	NA	'015	NA	NA	6598171921	1254	TRANSMITTER LOWER HOUSING DODGE	NA	ROH	NA	2527.35	S1_SKREEK_. (APROBACIO	NO	4992045196
644673	23/07/2015	MB1A	951	025-4	NA	'015	NA	NA	6598171922	1254	TRANSMITTER LOWER HOUSING JEEP KJ	NA	ROH	NA	1057.5	S1_SKREEK_. (APROBACIO	NO	4992045196
644744	23/07/2015	ZSCR	551	034-2	NA	'015	5WK50220S	NA	A2C53393484	1342	housing	NA	ROH	NA	11.67	S4_BMW FBD 3_. (APROBA	NO	4992049574
644747	23/07/2015	ZSCR	551	034-4	NA	'015	5WK50218S	NA	A2C53371500	1344	housing	NA	ROH	NA	43.16	S1_BMW_A.ADRIAN CEBALLO	NO	4992048560
644748	23/07/2015	ZSCR	551	034-4	NA	'015	5WK50218S	NA	A2C53371500	1344	housing	NA	ROH	NA	10.79	S1_BMW_A.ADRIAN CEBALLO	NO	4992048560
644835	24/07/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C00052450	1342	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	22.38	S1_TIS 1D CHRYSLER_. (	NO	4992049737
644837	24/07/2015	ZSCR	551	034-2	NA	'015	A2C32880100	NA	A2C86176400	1342	housing assy TPM	NA	ROH	NA	11.18	S1_TIS 1D CHRYSLER_. (	NO	4992050037
644995	24/07/2015	ZSCR	551	034-2	NA	'015	A2C92270600	NA	A2C53401335	1342	valve assy	NA	ROH	NA	6.98	S1_TG1C NISSAN_. (APRO	NO	4992050940
