No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
636547	30/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	6				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	1057.26	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
636576	30/06/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C8522100193	12				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	2114.52	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
636576	30/06/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C8522140193	2				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	354.9	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
636651	30/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
636931	01/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	6				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	1057.26	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
637043	01/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
637044	01/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
637045	01/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
637047	01/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
637048	01/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	2				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	352.42	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
637050	01/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
639110	07/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
