No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Esp	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
655770	24/08/2015	ZSCR	551	042-4	NA	'015	A2C37668700	NA	A2C53105128	14				1424	Contact Spring positive	NA	ROH	NA	4.34	S1_PASE FOB CUSW_. (AP	NO	4993628748
655800	24/08/2015	ZSCR	551	034-3	NA	'015	A2C73753201	NA	A2C73753201	110				1343	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	4094.2	S1_PASE FOB CUSW_. (AP	NO	4993628993
655800	24/08/2015	ZSCR	551	034-3	NA	'015	A2C97892901	NA	A2C73952001	37				1343	housing up 4-btn	NA	ROH	NA	4.44	S1_PASE FOB CUSW_. (AP	NO	4993628779
656780	26/08/2015	ZSCR	551	050-1	NA	'015	A2C8016300093	NA	A2C8016300093	1				1501	pcb assy RKE 433 w/oKG Var#4 TOP	NA	HALB	S.Real	127.87	S1_RFHM CUSW_. (APROBA	NO	4993629087
657464	31/08/2015	ZSCR	551	040-2	NA	'050	A2C7365810093	NA	A2C7365810093	1				1402	SUB PCB TOP THD ASSY. PROD MY13	NA	HALB	S.Real	204.97	S1_TIPM MEDIUM_P.PABLO	NO	4993628833
657465	31/08/2015	ZSCR	551	034-2	NA	'050	A2C7365810093	NA	A2C7365810093	1				1342	SUB PCB TOP THD ASSY. PROD MY13	NA	HALB	S.Real	204.97	S1_TIPM MEDIUM_P.PABLO	NO	4993628961
657466	31/08/2015	ZSCR	551	034-2	NA	'050	A2C7365810093	NA	A2C7365810093	1				1342	SUB PCB TOP THD ASSY. PROD MY13	NA	HALB	S.Real	204.97	S1_TIPM MEDIUM_P.PABLO	NO	4993628961
657467	31/08/2015	ZSCR	551	034-2	NA	'050	A2C31231400T	NA	A2C31231400T	2				1342	SUB PCB TMI ASSY. D/BUX MY12 7Ci S1	NA	HALB	S.Real	465.04	S1_TIPM LOGIC_P.PABLO P	NO	4993628807
657468	31/08/2015	ZSCR	551	034-2	NA	'050	A2C7378970693	NA	A2C7378970693	1				1342	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real	383.32	S1_CBC_P.PABLO PALMER-C	NO	4993629026
657476	31/08/2015	ZSCR	551	034-2	NA	'050	A2C8216760093	NA	A2C8216760093	1				1342	pcb assy Top	NA	HALB	S.Real	170.73	S1_WK_WD RFHUB_. (APRO	NO	4993629100
657477	31/08/2015	ZSCR	551	034-2	NA	'050	A2C8730220093	NA	A2C8730220093	1				1342	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real	151.54	S1_CUSW UF RFHM_. (APR	NO	4993629106
657788	01/09/2015	ZSCR	551	034-3	NA	'015	68163903AB	NA	A2C73658000	5				1343	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	1066.1	S1_TIPM MEDIUM_P.PABLO	NO	4993630253
657825	01/09/2015	ZSCR	551	042-4	NA	'015	A2C32294800S	NA	A2C86398501	7	3011	015	 	1424	housing assy	NA	ROH	NA	55.16	S1_WK_WD RFHUB_. (APRO	NO	4993633473
657829	01/09/2015	ZSCR	551	042-4	NA	'015	5WY9043	NA	A2C32144600	3				1424	MY12 SPDJB LOOP PROGRAM ASM MODEL B	NA	HALB	S.Real	715.08	S1_SPDJB_P.PABLO PALMER	NO	4993630318
657840	01/09/2015	ZSCR	551	040-3	NA	'015	A2C32291400	NA	A2C00019459	48	3011	050	 	1403	sticker identi spool unprin	NA	ROH	NA	36	S1_RFHM CUSW_. (APROBA	NO	4993633460
657840	01/09/2015	ZSCR	551	040-3	NA	'015	A2C32294800S	NA	A2C86398501	48	3011	015	 	1403	housing assy	NA	ROH	NA	378.24	S1_RFHM CUSW_. (APROBA	NO	4993633473
657848	01/09/2015	ZSCR	551	034-3	NA	'015	A2C73753202S	NA	A2C73753202	88				1343	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	8822	S1_PASE FOB CUSW_. (AP	NO	4993630957
657859	01/09/2015	ZSCR	551	034-3	NA	'015	A2C87408801	NA	A2C73752902	13				1343	transmitter CHR PASE 433 GV#01 5B	NA	HALB	S.Real	1320.54	S1_PASE FOB CUSW_. (AP	NO	4993630901
657859	01/09/2015	ZSCR	551	034-3	NA	'015	A2C73753202S	NA	A2C73753202	2				1343	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	200.5	S1_PASE FOB CUSW_. (AP	NO	4993630957
657859	01/09/2015	ZSCR	551	034-3	NA	'015	A2C73753602S	NA	A2C73753602	13				1343	transmitter CHR PASE 433 GV#10 3B	NA	HALB	S.Real	1239.68	S1_PASE FOB CUSW_. (AP	NO	4993631013
657859	01/09/2015	ZSCR	551	034-3	NA	'015	A2C73937202S	NA	A2C73937202	3				1343	transmitter CHR PASE 433 GV#11 2B	NA	HALB	S.Real	278.76	S1_PASE FOB CUSW_. (AP	NO	4993631024
657859	01/09/2015	ZSCR	551	034-3	NA	'015	A2C93493000	NA	A2C74101702	4				1343	transmitter CHR PASE 433 GV#15 4B	NA	HALB	S.Real/AutoBF	347.64	S1_PASE FOB CUSW_. (AP	NO	4993632818
657859	01/09/2015	ZSCR	551	034-3	NA	'015	A2C86022500	NA	A2C86023300	14				1343	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	1226.26	S1_PASE FOB CUSW_. (AP	NO	4993632831
657859	01/09/2015	ZSCR	551	034-3	NA	'015	A2C86022801	NA	A2C86023400	3				1343	transceiver assy ULTPRS	NA	HALB	S.Real/AutoBF	270.54	S1_PASE FOB CUSW_. (AP	NO	4993632847
657886	01/09/2015	MB1A	951	025-3	NA	'015	NA	8570	A2C73789610	2				1253	BCU CHR MY15 Wx CBC2	VUT020299	FERT	NA	842.3	S1_CBC MY15_. (APROBAC	NO	4993629728
657888	01/09/2015	ZSCR	551	034-2	NA	'015	A2C73637001	NA	A2C73637100	2	3011	015	 	1342	"HOUSING, UPPER CBC"	NA	ROH	NA	48.82	S1_CBC MY15_. (APROBAC	NO	
657892	01/09/2015	ZSCR	551	040-1	NA	'015	A2C75016901	NA	A2C75017000	1				1401	pcb topTHD BCU CHRDX	NA	HALB	S.Real/AutoBF	390.33	S1_CBC MY15_. (APROBAC	NO	4993632879
657897	01/09/2015	ZSCR	551	040-1	NA	'015	A2C73789610	NA	A2C73789706	2				1401	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real/AutoBF	772.52	S1_CBC MY15_. (APROBAC	NO	4993632868
657901	01/09/2015	ZSCR	551	042-4	NA	'015	A2C75144100	NA	A2C00004906	5	3011	015	 	1424	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	8.15	S1_PASE FOB CUSW_. (AP	NO	4993633391
657901	01/09/2015	ZSCR	551	042-4	NA	'015	A2C37668700	NA	A2C53105128	6	3011	015	 	1424	Contact Spring positive	NA	ROH	NA	1.86	S1_PASE FOB CUSW_. (AP	NO	4993633484
657903	01/09/2015	ZSCR	551	042-4	NA	'015	5WY7211	NA	A2C00004906	9	3011	015	 	1424	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	14.67	S1_PASE FOB CUSW_. (AP	NO	4993633391
657903	01/09/2015	ZSCR	551	042-4	NA	'015	A2C37668700	NA	A2C53105128	6	3011	015	 	1424	Contact Spring positive	NA	ROH	NA	1.86	S1_PASE FOB CUSW_. (AP	NO	4993633484
657908	01/09/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73751200	3	3011	015	 	1424	key latch	NA	ROH	NA	6.51	S1_PASE FOB CUSW_. (AP	NO	
657908	01/09/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73751300	3	3011	015	 	1424	Latch Spring	NA	ROH	NA	0.33	S1_PASE FOB CUSW_. (AP	NO	
657929	01/09/2015	ZSCR	551	034-2	NA	'015	A2C73601801	NA	A2C73637100	2	3011	015	 	1342	"HOUSING, UPPER CBC"	NA	ROH	NA	48.82	S1_CBC MY15_. (APROBAC	NO	
657939	01/09/2015	ZSCR	551	034-3	NA	'015	A2C73752002S	NA	A2C73752002	18				1343	transmitter CHR PASE 433 NV#06 3B	NA	HALB	S.Real	1740.6	S1_PASE FOB CUSW_. (AP	NO	4993630860
657939	01/09/2015	ZSCR	551	034-3	NA	'015	A2C73752902S	NA	A2C73752902	8				1343	transmitter CHR PASE 433 GV#01 5B	NA	HALB	S.Real	812.64	S1_PASE FOB CUSW_. (AP	NO	4993630901
657939	01/09/2015	ZSCR	551	034-3	NA	'015	A2C73753202S	NA	A2C73753202	76				1343	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	7619	S1_PASE FOB CUSW_. (AP	NO	4993630957
657939	01/09/2015	ZSCR	551	034-3	NA	'015	A2C86023300	NA	A2C86023300	26				1343	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	2277.34	S1_PASE FOB CUSW_. (AP	NO	4993632831
657951	01/09/2015	ZSCR	551	034-3	NA	'015	68163903AB	NA	A2C73658000	5				1343	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	1066.1	S1_TIPM MEDIUM_P.PABLO	NO	4993630253
657955	01/09/2015	ZSCR	551	034-3	NA	'015	68163903AB	NA	A2C73658000	3				1343	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	639.66	S1_TIPM MEDIUM_P.PABLO	NO	4993630253
657962	01/09/2015	ZSCR	551	034-3	NA	'015	68163903AB	NA	A2C73658000	1				1343	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	213.22	S1_TIPM MEDIUM_P.PABLO	NO	4993630253
658007	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C38136400	32				1253	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS)"""	VUT019664	HALB	S.Real/AutoBF	1639.68	S1_PASE FOB CUSW_. (AP	NO	4993629792
658014	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C73752002	2				1253	transmitter CHR PASE 433 NV#06 3B	VUT019664	HALB	S.Real	193.4	S1_PASE FOB CUSW_. (AP	NO	4993629792
658014	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C73752902	4				1253	transmitter CHR PASE 433 GV#01 5B	VUT019664	HALB	S.Real	406.32	S1_PASE FOB CUSW_. (AP	NO	4993629792
658014	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C73753002	1				1253	transmitter CHR PASE 433 GV#04 5B	VUT019664	HALB	S.Real	101.58	S1_PASE FOB CUSW_. (AP	NO	4993629792
658014	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C73753202	20				1253	transmitter CHR PASE 433 GV#06 5B	VUT019664	HALB	S.Real	2005	S1_PASE FOB CUSW_. (AP	NO	4993629792
658014	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C73753502	4				1253	transmitter CHR PASE 433 GV#09 3B	VUT019664	HALB	S.Real	381.44	S1_PASE FOB CUSW_. (AP	NO	4993629792
658014	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C74509900	1				1253	transmitter CHR PASE 433 GV#22 3B	VUT019664	HALB	S.Real/AutoBF	86.75	S1_PASE FOB CUSW_. (AP	NO	4993629792
658014	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C86023300	4				1253	transceiver assy U/L/T/P	VUT019664	HALB	S.Real/AutoBF	350.36	S1_PASE FOB CUSW_. (AP	NO	4993629792
658014	01/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C86023400	1				1253	transceiver assy ULTPRS	VUT019664	HALB	S.Real/AutoBF	90.18	S1_PASE FOB CUSW_. (AP	NO	4993629792
658018	01/09/2015	ZSCR	551	042-4	NA	'015	5WY7211	NA	A2C00004906	16	3011	015	 	1424	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	26.08	S1_PASE FOB CUSW_. (AP	NO	4993633391
658018	01/09/2015	ZSCR	551	042-4	NA	'015	A2C37668700	NA	A2C53105128	16	3011	015	 	1424	Contact Spring positive	NA	ROH	NA	4.96	S1_PASE FOB CUSW_. (AP	NO	4993633484
658018	01/09/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73751200	4	3011	015	 	1424	key latch	NA	ROH	NA	8.68	S1_PASE FOB CUSW_. (AP	NO	
658023	01/09/2015	ZSCR	551	042-4	NA	'015	A2C86022600	NA	A2C73749500	1	3011	015	 	1424	housing cover assy CHR up 5-btn	NA	ROH	NA	12.34	S1_PASE FOB CUSW_. (AP	NO	
658023	01/09/2015	ZSCR	551	042-4	NA	'015	A2C86022501	NA	A2C73750400	1	3011	015	 	1424	housing bottom assy CHR	NA	ROH	NA	8.41	S1_PASE FOB CUSW_. (AP	NO	
658023	01/09/2015	ZSCR	551	042-4	NA	'015	A2C86022501	NA	A2C73750700	1	3011	015	 	1424	pad Jewel	NA	ROH	NA	5.6	S1_PASE FOB CUSW_. (AP	NO	
658023	01/09/2015	ZSCR	551	042-4	NA	'015	A2C73753301	NA	A2C73750800	6	3011	015	 	1424	pad Jewel	NA	ROH	NA	41.52	S1_PASE FOB CUSW_. (AP	NO	
658027	01/09/2015	ZSCR	551	042-4	NA	'015	5WY7211	NA	A2C00004906	13	3011	015	 	1424	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	21.19	S1_PASE FOB CUSW_. (AP	NO	4993633391
658027	01/09/2015	ZSCR	551	042-4	NA	'015	A2C37668700	NA	A2C53105128	5	3011	015	 	1424	Contact Spring positive	NA	ROH	NA	1.55	S1_PASE FOB CUSW_. (AP	NO	4993633484
658388	01/09/2015	ZSCR	551	034-2	NA	'050	A2C7378970693	NA	A2C7378970693	1				1342	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real	383.32	S1_CBC_P.PABLO PALMER-C	NO	4993630706
658389	01/09/2015	ZSCR	551	034-2	NA	'050	A2C38081400	NA	A2C38081500	20				1342	FOBIK MAX PCB	NA	ROH	NA	81	S1_CUSW UF PASE_. (APR	NO	
658392	02/09/2015	ZSCR	551	034-2	NA	'050	A2C31231400T	NA	A2C31231400T	1				1342	SUB PCB TMI ASSY. D/BUX MY12 7Ci S1	NA	HALB	S.Real	232.52	S1_TIPM LOGIC_P.PABLO P	NO	4993630597
658393	02/09/2015	ZSCR	551	034-2	NA	'050	A2C31231400T	NA	A2C31231400T	1				1342	SUB PCB TMI ASSY. D/BUX MY12 7Ci S1	NA	HALB	S.Real	232.52	S1_TIPM LOGIC_P.PABLO P	NO	4993630597
658396	02/09/2015	ZSCR	551	034-2	NA	'050	A2C31231400T	NA	A2C31231400T	2				1342	SUB PCB TMI ASSY. D/BUX MY12 7Ci S1	NA	HALB	S.Real	465.04	S1_TIPM LOGIC_P.PABLO P	NO	4993630597
658415	02/09/2015	ZSCR	551	042-4	NA	'015	5WY7211	NA	A2C00004906	20	3011	015	 	1424	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	32.6	S1_PASE FOB CUSW_. (AP	NO	4993633391
658415	02/09/2015	ZSCR	551	042-4	NA	'015	A2C74094301	NA	A2C53105128	22	3011	015	 	1424	Contact Spring positive	NA	ROH	NA	6.82	S1_PASE FOB CUSW_. (AP	NO	
658415	02/09/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73750300	1	3011	015	 	1424	housing bottom assy DG/JEEP	NA	ROH	NA	7.76	S1_PASE FOB CUSW_. (AP	NO	
658415	02/09/2015	ZSCR	551	042-4	NA	'015	A2C74509800S	NA	A2C74354600	1	3011	015	 	1424	pad Jewel SRT	NA	ROH	NA	8.64	S1_PASE FOB CUSW_. (AP	NO	
