No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock			
647611	31/07/2015	ZSCR	551	050-5	NA	'054	5WK44675	NA	A2C33000300	13	1505	pcb assy	#N/A	HALB	S.Real	1630.33	PS_FIAT BRAZIL_. (APRO	NO	STOCK		
650287	07/08/2015	ZSCR	551	034-2	NA	'054	A2C8664850093	NA	A2C8664850093	4	1342	PSA 8-A/V PCB COMPLETE SMD ASSEMBLY	#N/A	HALB	S.Real	1253.16	PS_LEGACY_C.CAROLINA OT	NO	STOCK		
651465	11/08/2015	ZSCR	551	050-3	NA	'054	A2C8021660002	NA	A2C8021660093	6	1503	pcb assy HONHRS6 V04 TOP	#N/A	HALB	S.Real	1636.08	PSAD_GM BRASIL_A.ANA TA	NO	4993824667		
652050	12/08/2015	ZSCR	551	050-1	NA	'054	A2C37924700	NA	A2C37744300	3	1501	pcb assy PTFSPEED15 V01	#N/A	HALB	S.Real	505.26	PS_FIAT BRAZIL_.	NO	STOCK		
652242	13/08/2015	ZSCR	551	050-2	NA	'054	A2C97219600	NA	A2C96291400	4	1502	pcb assy RENT4BGA	#N/A	HALB	S.Real	552.68	PS_RENAULT_.	NO	COST COLLECTOR		
652256	13/08/2015	ZSCR	551	050-1	NA	'054	A2C83972000	NA	A2C8397200093	7	1501	pcb topSMD Top	#N/A	HALB	S.Real	2740.43	PS_SDM10+_.	NO	STOCK		
652916	14/08/2015	ZSCR	551	050-5	NA	'054	5WY74060	NA	6590119035	1	1505	Func tests Epsilon GMX001S 8 Loops - SP	#N/A	HALB	S.Real	410.25	PSAD_EPSILON_O.OSCAR FO	NO	STOCK		
652916	14/08/2015	ZSCR	551	050-5	NA	'054	5WY88580	NA	A2C53389834	1	1505	ACU MY09 M20 08	#N/A	HALB	S.Real	275.35	PSAD_EPSILON_O.OSCAR FO	NO	STOCK		
652922	14/08/2015	ZSCR	551	034-4	NA	'054	5WK44675	NA	A2C33000300	1	1344	pcb assy	#N/A	HALB	S.Real	125.41	PS_FIAT BRAZIL_.	NO	STOCK		
652922	14/08/2015	ZSCR	551	034-4	NA	'054	A2C37924700	NA	A2C37744300	1	1344	pcb assy PTFSPEED15 V01	#N/A	HALB	S.Real	168.42	PS_FIAT BRAZIL_.	NO	STOCK		
652922	14/08/2015	ZSCR	551	034-4	NA	'054	A2C37744300	NA	A2C3774430093	1	1344	FIAT 326 3V SMT TOP	#N/A	HALB	S.Real	125.56	PS_FIAT BRAZIL_.	NO	4993824227		
657524	31/08/2015	ZSCR	551	040-4	NA	'054	5WY90360	NA	A2C53408549	72	1404	"housing D= 2,0"	#N/A	ROH	NA	1830.96	PSAD_GM BRASIL_A.ANA TA	NO	4993824237		
658576	02/09/2015	ZSCR	551	030-1	NA	'054	5WK44752	NA	A2C32679900	6	1301	pcb	#N/A	ROH	NA	116.46	PS_HONDA HRS6_J.JUAN CH	NO	STOCK		
658737	02/09/2015	ZSCR	551	022-2	NA	'054	A2C37964107	NA	A2C35116200	5	1222	pcb assy DAGSTAR2 D_3	#N/A	HALB	S.Real	2052.05	PSAD_DAIMLER STAR 2_A.A	NO	STOCK		
659822	04/09/2015	ZSCR	551	040-3	NA	'054	A2C82535000	NA	A2C82535400	7	1403	cover	#N/A	ROH	NA	26.81	PSAD_OPEL 3300_.	NO	4993824471		
660386	07/09/2015	ZSCR	551	030-1	NA	'054	A2C8397200092	NA	A2C34638400	16	1301	pcb 6-lay main	#N/A	ROH	NA	418.88	PS_SDM10+_.	NO	STOCK		
660580	07/09/2015	ZSCR	551	034-2	NA	'054	A2C82283800	NA	A2C53408549	3	1342	"housing D= 2,0"	#N/A	ROH	NA	76.29	PSAD_GM BRASIL_A.ANA TA	NO	4993824455		
660626	07/09/2015	ZSCR	551	042-4	NA	'054	A2C82283800	NA	A2C53408549	44	1424	"housing D= 2,0"	#N/A	ROH	NA	1118.92	PSAD_GM BRASIL_A.ANA TA	NO	4993824455		
