No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
652916	14/08/2015	ZSCR	551	050-5	NA	'054	5WY73060	5WY73060	NA	6590119013	1	3011	054	 	1505	Subensamble IM MY06 10L	#N/A	HALB	S.Real/AutoBF	308.14	PSAD_EPSILON_O.OSCAR FO	NO	#N/A
652916	14/08/2015	ZSCR	551	050-5	NA	'054	5WY88580	5WY88580	#N/A	A2C53389834	1	3011	054	 	1505	ACU MY09 M20 08	2	HALB	S.Real	275.35	PSAD_EPSILON_O.OSCAR FO	NO	
657095	28/08/2015	MB1A	551	022-2	K96019	'054	NA	#N/A	06AB	A2C92735000	2	3011	054	 	1095	ACU HONHRS7CIV MY16 S20 04 04 1 0 0 HSA	#N/A	FERT	NA	694.16	PS_HONDA HRS7_.	NO	
658737	02/09/2015	ZSCR	551	022-2	NA	'054	A2C37964107	A2C37964107	#N/A	A2C35116200	5	3011	054	 	1222	pcb assy DAGSTAR2 D_3	1	HALB	S.Real	2052.05	PSAD_DAIMLER STAR 2_A.A	NO	
662941	14/09/2015	ZSCR	551	034-8	NA	'054	A2C82134800	A2C82134800	#N/A	A2C53395713	1	3011	054	 	1348	housing WIC P BK A-D	3	ROH	NA	51.54	PS_SDM10+_.	NO	
663496	15/09/2015	ZSCR	551	040-3	NA	'054	A2C83046900	A2C83046900	#N/A	A2C83043900	40	3011	054	 	1403	label identificati	1	ROH	NA	51.6	PSAD_LAND ROVER_.	NO	
664045	17/09/2015	ZSCR	551	035-1	0	'054	A2C95268300	A2C95268300	#N/A	6593811404	1428	3011	054	 	1351	ETIQUETA P131	1	ROH	NA	1085.28	PS_FORD_L.LPL AUTOMATIC	NO	
666180	24/09/2015	ZSCR	551	040-3	NA	'054	5WK44421	5WK44421	#N/A	A2C53397780	2	3011	054	 	1403	cover	1	ROH	NA	6.76	PS_HONDA HRS6_J.JUAN CH	NO	
667651	30/09/2015	ZSCR	551	040-3	NA	'054	5WK44564	5WK44564	#N/A	A2C53397780	9	3011	054	 	1403	cover	8	ROH	NA	30.42	PS_HONDA HRS6_J.JUAN CH	NO	
668728	02/10/2015	ZSCR	551	034-8	NA	'054	A2C82134800	A2C82134800	#N/A	A2C53395713	6	3011	054	 	1348	housing WIC P BK A-D	3	ROH	NA	309.24	PS_SDM30_.	NO	
