División,Proyecto,Área,Tecnología,Línea,Dfecto,Relacionado a
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,CARCASA DAÑADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,CARCASA DAÑADA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,CARCASA DAÑADA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,CARCASA DAÑADA,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,COBRE EXPUESTO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,COBRE EXPUESTO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,COMPONENTE ARRANCADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,COMPONENTE ARRANCADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,COMPONENTE DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,COMPONENTE DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,MATERIAL OBSOLETO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,PRUEBAS DE INGENIERIA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,SET UP DE EQUIPO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,SUBENSAMBLE DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,SUBENSAMBLE DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,TAPA DAÑADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,TAPA DAÑADA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,TAPA DAÑADA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,TAPA DAÑADA,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,ARAMIS 2010,UNIDAD CAIDA AL PISO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,CAMBIO DE INGENIERIA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,COMPONENTE ARRANCADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,COMPONENTE ARRANCADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,COMPONENTE FRACTURADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,COMPONENTE FRACTURADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,CONTAMINACION,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,CONTAMINACION,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,CONTAMINACION,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,DAÑO POR FIXTURA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,DAÑO POR MAL DISEÑO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,EXCESO DE PRUEBAS,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,MAL MANEJO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,MALA REPARACION,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CON CORTE CHUECO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CON EXCESO DE CORTE,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CON RAYADURAS,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CON RAYADURAS,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CON RAYADURAS,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CON REBABAS,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CONTAMINADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CONTAMINADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB CONTAMINADO,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB FALTANTE DE CORTE,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB FRACTURADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB FRACTURADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB FRACTURADO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PCB FRACTURADO,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PROBLEMA SOFTWARE,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PROBLEMA SOFTWARE,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,PRUEBA DESTRUCTIVA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,UNIDAD CAIDA AL PISO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,UNIDAD GOLPEADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,UNIDAD GOLPEADA,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,UNIDAD POR LIBERACION,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ARAMIS 2010,UNIDAD RAYADA,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,COMPONENTE ARRANCADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,COMPONENTE ARRANCADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,COMPONENTE DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,COMPONENTE DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,COMPONENTE DAÑADO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,COMPONENTE DAÑADO,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,CONECTOR DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,CONECTOR DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,CONECTOR DAÑADO,PROVEEDOR
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,CONECTOR MANCHADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,CONECTOR MANCHADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,EXCESO DE PRUEBAS,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,MAL DISEÑO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,MATERIAL OBSOLETO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,MUESTRA DE ORO OBSOLETA,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,PIN DE CONECTOR SUMIDO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,PIN DE CONECTOR SUMIDO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,SET UP DE EQUIPO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,SET UP DE EQUIPO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,DTA,ARAMIS 2010,UNIDAD CAIDA AL PISO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,COMPONENTE DAÑADO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,COMPONENTE DAÑADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,MATERIAL OBSOLETO,METODO
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,PIN DE CONECTOR SUMIDO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,SERIAL DUPLICADO,MAQUINA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,UNIDAD CAIDA AL PISO,MANO DE OBRA
PSAD,ARAMIS 2010,BACKEND/ENSAMBLE FINAL,EMPAQUE,ARAMIS 2010,UNIDAD CAIDA AL PISO,METODO
