area,tecnologia,linea,division,proyecto
BACKEND/ENSAMBLE FINAL,ATORNILLADO,ANTENA,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,CARGA,ANTENA,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,ANTENA,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,EOL/LASER,ANTENA,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,PRESSFIT,ANTENA,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,PU,ANTENA,B&S 2,ANTENA
SMD,DEK,Linea D,B&S 2,ANTENA
SMD,DEK,Linea I,B&S 2,ANTENA
SMD,DEK,Linea O,B&S 2,ANTENA
SMD,DEK,Linea P,B&S 2,ANTENA
SMD,DEK,Linea Q,B&S 2,ANTENA
SMD,DESPANELIZADO,Linea D,B&S 2,ANTENA
SMD,DESPANELIZADO,Linea I,B&S 2,ANTENA
SMD,DESPANELIZADO,Linea O,B&S 2,ANTENA
SMD,DESPANELIZADO,Linea P,B&S 2,ANTENA
SMD,DESPANELIZADO,Linea Q,B&S 2,ANTENA
SMD,FUJI,Linea D,B&S 2,ANTENA
SMD,FUJI,Linea I,B&S 2,ANTENA
SMD,FUJI,Linea O,B&S 2,ANTENA
SMD,FUJI,Linea P,B&S 2,ANTENA
SMD,FUJI,Linea Q,B&S 2,ANTENA
SMD,HORNO DE REFLUJO,Linea D,B&S 2,ANTENA
SMD,HORNO DE REFLUJO,Linea I,B&S 2,ANTENA
SMD,HORNO DE REFLUJO,Linea O,B&S 2,ANTENA
SMD,HORNO DE REFLUJO,Linea P,B&S 2,ANTENA
SMD,HORNO DE REFLUJO,Linea Q,B&S 2,ANTENA
SMD,ICT,Linea D,B&S 2,ANTENA
SMD,ICT,Linea I,B&S 2,ANTENA
SMD,ICT,Linea O,B&S 2,ANTENA
SMD,ICT,Linea P,B&S 2,ANTENA
SMD,ICT,Linea Q,B&S 2,ANTENA
SMD,LAQUEADO,Linea D,B&S 2,ANTENA
SMD,LAQUEADO,Linea I,B&S 2,ANTENA
SMD,LAQUEADO,Linea O,B&S 2,ANTENA
SMD,LAQUEADO,Linea P,B&S 2,ANTENA
SMD,LAQUEADO,Linea Q,B&S 2,ANTENA
SMD,LASER,Linea D,B&S 2,ANTENA
SMD,LASER,Linea I,B&S 2,ANTENA
SMD,LASER,Linea O,B&S 2,ANTENA
SMD,LASER,Linea P,B&S 2,ANTENA
SMD,LASER,Linea Q,B&S 2,ANTENA
SMD,MPM,Linea D,B&S 2,ANTENA
SMD,MPM,Linea I,B&S 2,ANTENA
SMD,MPM,Linea O,B&S 2,ANTENA
SMD,MPM,Linea P,B&S 2,ANTENA
SMD,MPM,Linea Q,B&S 2,ANTENA
SMD,OLA,Linea D,B&S 2,ANTENA
SMD,OLA,Linea I,B&S 2,ANTENA
SMD,OLA,Linea O,B&S 2,ANTENA
SMD,OLA,Linea P,B&S 2,ANTENA
SMD,OLA,Linea Q,B&S 2,ANTENA
SMD,PIN IN PASTE,Linea D,B&S 2,ANTENA
SMD,PIN IN PASTE,Linea I,B&S 2,ANTENA
SMD,PIN IN PASTE,Linea O,B&S 2,ANTENA
SMD,PIN IN PASTE,Linea P,B&S 2,ANTENA
SMD,PIN IN PASTE,Linea Q,B&S 2,ANTENA
SMD,PROGRAMACION,Linea D,B&S 2,ANTENA
SMD,PROGRAMACION,Linea I,B&S 2,ANTENA
SMD,PROGRAMACION,Linea O,B&S 2,ANTENA
SMD,PROGRAMACION,Linea P,B&S 2,ANTENA
SMD,PROGRAMACION,Linea Q,B&S 2,ANTENA
SMD,SIPLACE,Linea D,B&S 2,ANTENA
SMD,SIPLACE,Linea I,B&S 2,ANTENA
SMD,SIPLACE,Linea O,B&S 2,ANTENA
SMD,SIPLACE,Linea P,B&S 2,ANTENA
SMD,SIPLACE,Linea Q,B&S 2,ANTENA
SMD,UNIVERSAL,Linea D,B&S 2,ANTENA
SMD,UNIVERSAL,Linea I,B&S 2,ANTENA
SMD,UNIVERSAL,Linea O,B&S 2,ANTENA
SMD,UNIVERSAL,Linea P,B&S 2,ANTENA
SMD,UNIVERSAL,Linea Q,B&S 2,ANTENA
WHSE,001,BIN ALMACEN,B&S 2,ANTENA
WHSE,002,BIN EMBARQUE,B&S 2,ANTENA
WHSE,014,BIN TIENDITA,B&S 2,ANTENA
WHSE,015,BIN TIENDOTA,B&S 2,ANTENA
