area,tecnologia,defecto,Causa,division,proyecto
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COBRE EXPUESTO,MANO DE OBRA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COBRE EXPUESTO,MAQUINA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COBRE EXPUESTO,PROVEEDOR,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,CORTE FUERA DE GUIA,MANO DE OBRA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,CORTE FUERA DE GUIA,MAQUINA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,CORTE FUERA DE GUIA,PROVEEDOR,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DAÑO DE PROVEEDOR,PROVEEDOR,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,MANO DE OBRA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,MAQUINA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,FRACTURADO,MAQUINA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL DESPANELIZADO,MANO DE OBRA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL DESPANELIZADO,MAQUINA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL FLUJO,MANO DE OBRA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL MANEJO,MANO DE OBRA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MATERIAL FUERA DE ESPECIFICACION,PROVEEDOR,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PANEL QUEBRADO,MAQUINA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SIN INTERLOCKING,MANO DE OBRA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SIN INTERLOCKING,MAQUINA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD DAÑADA,MANO DE OBRA,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD DAÑADA,MAQUINA,B&S 2,SKREEM
