area,tecnologia,linea,division,proyecto,Defecto,RALACIONADO A 
SMD,LASER,Z,B&S 3,BIDIR FOB HONDA MY14 ,DATA MATRIX MAL IMPRESO ,MAQUINA
SMD,LASER,Z,B&S 3,BIDIR FOB HONDA MY14 ,DATA MATRIX MAL IMPRESO ,METODO
SMD,LASER,Z,B&S 3,BIDIR FOB HONDA MY14 ,DATA MATRIX MAL IMPRESO ,MANO DE OBRA
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL ATORADA,MAQUINA
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL ATORADA,METODO
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL ATORADA,MANO DE OBRA
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL ABORTADO,MAQUINA
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL ABORTADO,METODO
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL ABORTADO,MANO DE OBRA
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL QUEBRADO,MAQUINA
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL QUEBRADO,METODO
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14,PANEL QUEBRADO,MANO DE OBRA
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad golpeda,MAQUINA
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad golpeda,METODO
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad golpeda,MANO DE OBRA
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad dañada ,MAQUINA
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad dañada ,METODO
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad dañada ,MANO DE OBRA
BACKEND/ENSAMBLE FINAL,ROUTER,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad dañada ,MAQUINA
BACKEND/ENSAMBLE FINAL,ROUTER,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad dañada ,METODO
BACKEND/ENSAMBLE FINAL,ROUTER,PQ35 6ta Gen,B&S,PQ35 6ta Gen,unidad dañada ,MANO DE OBRA
BACKEND/ENSAMBLE FINAL,ROUTER,PQ35 6ta Gen,B&S,PQ35 6ta Gen,pcb mal cortado ,MAQUINA
BACKEND/ENSAMBLE FINAL,ROUTER,PQ35 6ta Gen,B&S,PQ35 6ta Gen,pcb mal cortado ,METODO
BACKEND/ENSAMBLE FINAL,ROUTER,PQ35 6ta Gen,B&S,PQ35 6ta Gen,pcb mal cortado ,MANO DE OBRA
