area,tecnologia,defecto,causa,division,proyecto,,
SMD,SX2_2,ADICIONALES,MAQUINA,B&S,BCM,,
SMD,SX2_2,BARRIDA,MAQUINA,B&S,BCM,,
SMD,SX2_2,CANTO,MAQUINA,B&S,BCM,,
SMD,SX2_2,COMPONENTE DE CABEZA,MAQUINA,B&S,BCM,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,MAQUINA,B&S,BCM,,
SMD,SX2_2,COMPONENTE GIRADO,MAQUINA,B&S,BCM,,
SMD,SX2_2,CONTAMINACION,MAQUINA,B&S,BCM,,
SMD,SX2_2,DESPLAZADOS,MAQUINA,B&S,BCM,,
SMD,SX2_2,FALTANTES,MAQUINA,B&S,BCM,,
SMD,SX2_2,FALTA DE MATERIAL,MAQUINA,B&S,BCM,,
SMD,SX2_2,INSERCION MANUAL INCOMPLETA,MAQUINA,B&S,BCM,,
SMD,SX2_2,MAL MANEJO,MAQUINA,B&S,BCM,,
SMD,SX2_2,PANEL ABORTADO,MAQUINA,B&S,BCM,,
SMD,SX2_2,PANEL ATORADO,MAQUINA,B&S,BCM,,
SMD,SX2_2,PIN ELEVADO,MAQUINA,B&S,BCM,,
SMD,SX2_2,POLARIDAD INVERTIDA,MAQUINA,B&S,BCM,,
SMD,SX2_2,SET UP,MAQUINA,B&S,BCM,,
SMD,SX2_2,TOMBSTONE,MAQUINA,B&S,BCM,,
SMD,SX2_2,UNIDAD CAIDA,MAQUINA,B&S,BCM,,
SMD,SX2_2,ADICIONALES,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,BARRIDA,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,CANTO,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,COMPONENTE DE CABEZA,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,COMPONENTE GIRADO,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,CONTAMINACION,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,DESPLAZADOS,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,FALTANTES,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,FALTA DE MATERIAL,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,INSERCION MANUAL INCOMPLETA,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,MAL MANEJO,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,PANEL ABORTADO,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,PANEL ATORADO,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,PIN ELEVADO,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,POLARIDAD INVERTIDA,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,SET UP,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,TOMBSTONE,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,UNIDAD CAIDA,MANO DE OBRA,B&S,BCM,,
SMD,SX2_2,ADICIONALES,METODO,B&S,BCM,,
SMD,SX2_2,BARRIDA,METODO,B&S,BCM,,
SMD,SX2_2,CANTO,METODO,B&S,BCM,,
SMD,SX2_2,COMPONENTE DE CABEZA,METODO,B&S,BCM,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,METODO,B&S,BCM,,
SMD,SX2_2,COMPONENTE GIRADO,METODO,B&S,BCM,,
SMD,SX2_2,CONTAMINACION,METODO,B&S,BCM,,
SMD,SX2_2,DESPLAZADOS,METODO,B&S,BCM,,
SMD,SX2_2,FALTANTES,METODO,B&S,BCM,,
SMD,SX2_2,FALTA DE MATERIAL,METODO,B&S,BCM,,
SMD,SX2_2,INSERCION MANUAL INCOMPLETA,METODO,B&S,BCM,,
SMD,SX2_2,MAL MANEJO,METODO,B&S,BCM,,
SMD,SX2_2,PANEL ABORTADO,METODO,B&S,BCM,,
SMD,SX2_2,PANEL ATORADO,METODO,B&S,BCM,,
SMD,SX2_2,PIN ELEVADO,METODO,B&S,BCM,,
SMD,SX2_2,POLARIDAD INVERTIDA,METODO,B&S,BCM,,
SMD,SX2_2,SET UP,METODO,B&S,BCM,,
SMD,SX2_2,TOMBSTONE,METODO,B&S,BCM,,
SMD,SX2_2,UNIDAD CAIDA,METODO,B&S,BCM,,
SMD,SX2_2,ADICIONALES,PROVEEDOR,B&S,BCM,,
SMD,SX2_2,BARRIDA,PROVEEDOR,B&S,BCM,,
SMD,SX2_2,CANTO,PROVEEDOR,B&S,BCM,,
SMD,SX2_2,COMPONENTE DE CABEZA,PROVEEDOR,B&S,BCM,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,PROVEEDOR,B&S,BCM,,
