area,tecnologia,defecto,causa,division,proyecto
SMD,FUJI,BARRIDA,MAQUINA,B&S 2,TIPM LOGIG
SMD,FUJI,BARRIDA,MAQUINA,B&S 2,TIPM MEDIUM
SMD,FUJI,BARRIDA,MAQUINA,B&S 2,SPDJB
SMD,FUJI,BARRIDA,MANO DE OBRA,B&S 2,TIPM LOGIG
SMD,FUJI,BARRIDA,MANO DE OBRA,B&S 2,TIPM MEDIUM
SMD,FUJI,BARRIDA,MANO DE OBRA,B&S 2,SPDJB
SMD,FUJI,BARRIDA,METODO,B&S 2,TIPM LOGIG
SMD,FUJI,BARRIDA,METODO,B&S 2,TIPM MEDIUM
SMD,FUJI,BARRIDA,METODO,B&S 2,SPDJB
SMD,FUJI,BARRIDA,PROVEDOR,B&S 2,TIPM LOGIG
SMD,FUJI,BARRIDA,PROVEDOR,B&S 2,TIPM MEDIUM
SMD,FUJI,BARRIDA,PROVEDOR,B&S 2,SPDJB
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,ABM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,BCM K2XX
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,EXTERNAL RECEIVER K2XX
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,EZKEY
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,FOB K2XX
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,GLOBAL A
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,GM RKE
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,INTERNAL RECEIVER K2XX
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,PATS
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,PEPS
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,PK MY 13 FORD
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,PK MY14 LINCOLN
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MANO DE OBRA,B&S,BCM
