area,tecnologia,defecto,causa,division,proyecto,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL DESPANALIZADAS,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL DESPANALIZADAS,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL DESPANALIZADAS,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SIN INTERLOCKING,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SIN INTERLOCKING,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SIN INTERLOCKING,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,MAQUINA,B&S,PEPS PK  1 WAY,,,,, 
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD DAÑADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD DAÑADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD DAÑADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
