No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
95305	ZSCR	551	040-2	NA	5WG50027	NA	A2C53287265	16	3011	045		1402	pcb VW PQ35	NA	ROH	NA	204.64	4955115627
96603	ZSCR	551	035-1	0	A2C31100700	NA	A2C53245475	17	3011	045		1351	pin header 24P V 2R THP GY		ROH	NA	85	4955115560
96603	ZSCR	551	035-1	0	A2C31100700	NA	A2C53245502	3	3011	045		1351	pin header 24P V 2R THP BK		ROH	NA	15	4955115560
96608	ZSCR	551	035-1	0	6598037611	NA	9152251	93	3011	045		1351	"100K,5%,TK250,63MW,0603,FIX RE"		ROH	NA	0.93	4955115457
99724	ZSCR	551	035-1	0	6598037612	NA	9152259	110	3011	045		1351	"220K,5%,TK250,63MW,0603,FIX RE"		ROH	NA	1.1	4955115461
99855	ZSCR	551	040-2	NA	5WY7155	NA	6598141952	2	3011	045		1402	HOUSING ACTIVE ANTENNA	NA	ROH	NA	6.62	4955115687
99890	ZSCR	551	030-1	NA	5WK50435	NA	A2C53396776	1	3011	045		1301	"""pcb assy VW POLO, VECU v018"""	NA	HALB	S.Real	301.25	4955115035
99894	ZSCR	551	030-1	NA	5WK50435	NA	A2C53396776	1	3011	045		1301	"""pcb assy VW POLO, VECU v018"""	NA	HALB	S.Real	301.25	4955115035
99913	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	3	3011	045		1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	292.02	4955114983
99915	ZSCR	551	040-2	NA	5WY7155	NA	6598141952	2	3011	045		1402	HOUSING ACTIVE ANTENNA	NA	ROH	NA	6.62	4955115687
99971	ZSCR	551	035-1	NA	5WK50437	NA	A2C00055646	120	3011	045		1351	"POWER,SINGLE,6.5V,RELAY/EM1-2U1-W"	NA	ROH	NA	598.8	4955115548
100065	ZSCR	551	035-1	NA	5WK50437	NA	A2C00052547	13	3011	045		1351	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	86.19	4955115548
100233	ZSCR	551	030-1	NA	5WG50029	NA	A2C53287265	140	3011	045		1301	pcb VW PQ35	NA	ROH	NA	1790.6	4955114474
100624	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	2	3011	045		1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	194.68	4955114983
100626	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	2	3011	045		1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	194.68	4955114983
100779	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	1	3011	045		1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955114983
100780	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	1	3011	045		1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955114983
100810	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797	48	3011	045		1301	circuit board assy VW PQ35	NA	HALB	S.Real	4769.28	4955114978
100816	ZSCR	551	040-1	NA	5WK50439	NA	A2C31082700	1	3011	045		1401	pcb assy BCU 315 v26	NA	HALB	S.Real	387.42	4955115578
101212	ZSCR	551	030-1	NA	5WG50027	NA	A2C53380883	6	3011	045		1301	circuit board assy VW PQ35	NA	HALB	S.Real	568.32	4955114960
101728	ZSCR	551	030-1	NA	5WG50028	NA	A2C53094643	22	3011	045		1301	pin header 20P H 2R THP BK	NA	ROH	NA	149.16	4955114461
101923	ZSCR	551	034-2	NA	A2C53396778	NA	A2C53213475	252	3011	045		1342	"connector pin 0,64x0,64 L=22,5"	NA	ROH	NA	22.68	4955115273
101923	ZSCR	551	034-2	NA	A2C53396776	NA	A2C53213477	896	3011	045		1342	"tab 2,8x0,8"	NA	ROH	NA	215.04	4955115267
101923	ZSCR	551	034-2	NA	A2C53396776	NA	A2C53353454	14	3011	045		1342	"pcb VW POLO,IBI"	NA	ROH	NA	547.26	4955115267
102025	ZSCR	551	040-1	NA	5WG50029	NA	A2C53390797T	1	3011	045		1401	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955115600
102175	ZSCR	551	035-1	NA	5WK50437	NA	A2C00052547	49	3011	045		1351	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	324.87	4955115548
102179	ZSCR	551	035-1	NA	5WK50331	NA	A2C00052547	18	3011	045		1351	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	119.34	4955115535
102399	ZSCR	551	030-1	NA	5WG50029	NA	A2C53287265	8	3011	045		1301	pcb VW PQ35	NA	ROH	NA	102.32	4955114474
102426	ZSCR	551	040-2	NA	5WK50437	NA	A2C53221115	2	3011	045		1402	housing BK	NA	ROH	NA	37.74	4955115667
102462	ZSCR	551	030-1	NA	5WK50437	NA	A2C00052547	17	3011	045		1301	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	112.71	4955114538
102870	ZSCR	551	030-1	NA	5WK49622C	NA	A2C53297306T	30	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real/AutoBF	878.1	4955115095
102872	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	2	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	103.98	4955114645
102915	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
102917	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	3	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	155.97	4955114645
102922	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	2	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	103.98	4955114645
102924	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	2	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	103.98	4955114645
102928	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
102933	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
102935	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
102937	ZSCR	551	030-1	NA	5WK49609C	NA	A2C53297307B	1	3011	045		1301	SMD Subassy NIS EUR 433. 2bundle	NA	HALB	S.Real	51.98	4955114660
102941	ZSCR	551	030-1	NA	5WK49606C	NA	A2C53367590B	1	3011	045		1301	SMD sub assy JP Hibrido 3Bot BOTTOM	NA	HALB	S.Real	50.86	4955114948
102942	ZSCR	551	030-1	NA	5WK49609C	NA	A2C53297307B	1	3011	045		1301	SMD Subassy NIS EUR 433. 2bundle	NA	HALB	S.Real	51.98	4955114660
102943	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	2	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	103.98	4955114645
102945	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
102947	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
102948	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
102950	ZSCR	551	030-1	NA	5WK49606C	NA	A2C53367590B	1	3011	045		1301	SMD sub assy JP Hibrido 3Bot BOTTOM	NA	HALB	S.Real	50.86	4955114948
102991	ZSCR	551	030-1	NA	5WK49612C	NA	A2C00004906	7	3011	045		1301	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	9.59	4955114487
102991	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53297309B	1	3011	045		1301	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	50.8	4955114672
102991	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53319341	7	3011	045		1301	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.28	4955114487
102991	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53323911	7	3011	045		1301	housing	NA	ROH	NA	7.42	4955114487
102991	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53323916	7	3011	045		1301	slide	NA	ROH	NA	5.6	4955114487
102991	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53358639	7	3011	045		1301	contact spring	NA	ROH	NA	4.06	4955114487
102991	ZSCR	551	030-1	NA	S180143002	NA	A2C53365040	7	3011	045		1301	housing bottom	NA	ROH	NA	6.72	4955114577
102991	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53365041	6	3011	045		1301	housing	NA	ROH	NA	6.12	4955114487
102991	ZSCR	551	030-1	NA	5WK49672C	NA	A2C53385463	1	3011	045		1301	pushbutton	NA	ROH	NA	10.18	4955114526
102991	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53394918	6	3011	045		1301	certification label	NA	ROH	NA	29.58	4955114487
