No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
108311	ZSCR	551	035-1	0	5WY8747	NA	A2C53396245	781.63	1351	"LBL,BLANK,PPR,WHT"		ROH	NA	234.49	4955578109
108879	ZSCR	551	035-1	0	A2C53172601	NA	A2C00057968	3	1351	"1-axis lateral accelerometer 70g,3.3V,SE"		ROH	NA	48.21	4955578835
110050	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00056152	5	1351	"22uH,1.95A,SMD,COIL/"		ROH	NA	7.35	4955581476
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00003779	1	1351	"100R,5%,TK200,63mW,0603,LIN RES/RC"		ROH	NA	0.01	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004322	1	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004324	2	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004337	1	1351	"4K12,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004349	2	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.02	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004555	1	1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	0.01	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00010442	1	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.01	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00010877	1	1351	"R LIN,3K24,1%,TK100,100mW,0603"		ROH	NA	0.01	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00011374	1	1351	"8K25,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.01	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00016442	1	1351	"R LIN,165R,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00019439	1	1351	"T BIP/BCR35PN E6327,SOT363"		ROH	NA	0.21	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00019592	1	1351	"5K62,1%,TK100,63mW,0402,LIN RES/"		ROH	NA	0.01	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00023789	2	1351	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.04	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00025363	1	1351	"22nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.02	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00029072	1	1351	"10nF,10%,50V,X7R,0603,TINNED,CER CAP/GCM"		ROH	NA	0.02	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00029576	1	1351	"C CER,X7R,2.2uF,10%,16V,0805,Sn"		ROH	NA	0.12	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00031355	1	1351	"200V,250mA,1,FAST,SOD323,RECT DIODE/BAS2"		ROH	NA	0.1	4955581534
112259	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00043039	1	1351	"D REC/ES1DHE3 or MURA120T3G,200V,1A,DO21"		ROH	NA	0.3	4955581534
