No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
148837	ZSCR	551	030-1	NA	5WY8800	NA	A2C53282668	1	3011	045		1301	pcb assy FOG FORD ABM base+alm	NA	HALB	S.Real	103.12	S1_ABM_ (APROBACION AU	4957846791
148846	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	20	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	1173.6	S1_PEPS_ (APROBACION A	4957846880
148847	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172200	4	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	263.76	S6_KWANG JIN_ (APROBAC	4957846642
148850	MB1A	551	040-3	B30301-01195	NA	NA	A2C30115900	137	3011	045		1095	housing bottom	NA	ROH	NA	519.23	S2_NISSAN KEY FOB SQUAR	4957846594
148857	ZSCR	551	040-3	NA	5WY8770	NA	A2C31197800	3	3011	045		1403	key	NA	ROH	NA	1.26	S1_PEPS_ (APROBACION A	4957847667
148857	ZSCR	551	040-3	NA	5WY8770	NA	A2C53395685	3	3011	045		1403	housing assy FOG FORD P	NA	ROH	NA	76.41	S1_PEPS_ (APROBACION A	4957847667
148858	ZSCR	551	040-2	NA	5WY8770	NA	A2C53333370	1	3011	045		1402	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	58.68	S1_PEPS_ (APROBACION A	4957847500
148860	MB1A	551	030-1	B30301-01195	S180144008	NA	A2C3122130093	30	3011	045		1095	PCB Assy 5B 433.92 MHz	NA	HALB	S.Real	795	S2_NISSAN KEY FOB SQUAR	4957846594
148868	MB1A	551	030-1	B30301-01195	NA	NA	A2C53408731	54	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	2515.86	S2_NISSAN KEY FOB SQUAR	4957846594
148876	ZSCR	551	034-2	NA	S122736097A	NA	A2C53387368	1	3011	045		1342	BCM L42A (NEW 2010) Sub assy OLA/ICT	NA	HALB	S.Real/AutoBF	266.71	S2_BCM_ (APROBACION AU	4957847212
148879	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	3011	045		1301	electronic assy USM L42A NAM	NA	HALB	S.Real	171.12	S2_BCM_ (APROBACION AU	4957846899
148881	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	3011	045		1301	electronic assy USM L42A NAM	NA	HALB	S.Real	171.12	S2_BCM_ (APROBACION AU	4957846899
148883	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	3011	045		1301	electronic assy USM L42A NAM	NA	HALB	S.Real	171.12	S2_BCM_ (APROBACION AU	4957846899
148885	ZSCR	551	040-2	NA	S122736090A	NA	A2C53386111	1	3011	045		1402	electronic assy USM L42A NAM	NA	HALB	S.Real	171.12	S2_BCM_ (APROBACION AU	4957847505
148887	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	3011	045		1301	electronic assy USM L42A NAM	NA	HALB	S.Real	171.12	S2_BCM_ (APROBACION AU	4957846899
148893	ZSCR	551	040-2	NA	A2C53387367	NA	A2C53387368	1	3011	045		1402	BCM L42A (NEW 2010) Sub assy OLA/ICT	NA	HALB	S.Real/AutoBF	266.71	S2_BCM_ (APROBACION AU	4957847520
148894	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	2	3011	045		1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	533.18	S2_BCM_ (APROBACION AU	4957847333
148896	MB1A	551	040-3	B30301-01195	NA	NA	A2C53408731	2	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	93.18	S2_NISSAN KEY FOB SQUAR	4957846594
148898	MB1A	551	040-3	B30301-01195	NA	NA	A2C31221300	14	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	687.4	S2_NISSAN KEY FOB SQUAR	4957846594
148911	ZSCR	551	034-2	NA	5WY7132	NA	6597231401	50	3011	045		1342	ETIQUETA PT TRANSCEIVER	NA	ROH	NA	8	S1_PATS_ (APROBACION A	4957847057
148911	ZSCR	551	034-2	NA	5WY7703	NA	8800630143	50	3011	045		1342	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	5.5	S1_PATS_ (APROBACION A	4957847094
148912	ZSCR	551	034-4	NA	5WY7703	NA	40091530	1	3011	045		1344	SMD ESPEJO PATS CLIP ON MY08	NA	HALB	S.Real	19.86	S1_PATS_ (APROBACION A	4957847235
148912	ZSCR	551	034-4	NA	5WY7703	NA	8800630143	1	3011	045		1344	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.11	S1_PATS_ (APROBACION A	4957847217
148912	ZSCR	551	034-4	NA	5WY7703	NA	A2C53119450	1	3011	045		1344	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	9.18	S1_PATS_ (APROBACION A	4957847217
148913	ZSCR	551	030-1	NA	5WY8604	NA	40340074	1	3011	045		1301	Subassy SMD ECU PEPS MY11	NA	HALB	S.Real	112.48	S1_PEPS_ (APROBACION A	4957846723
148918	ZSCR	551	030-1	NA	5WY8799	NA	A2C53282664	1	3011	045		1301	pcb assy FOG FORD ABM Base	NA	HALB	S.Real	84.67	S1_ABM_ (APROBACION AU	4957846783
148919	ZSCR	551	042-4	NA	5WY8604	NA	A2C53353727	1	3011	045		1424	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	178.12	S1_PEPS_ (APROBACION A	4957847862
148921	ZSCR	551	030-1	NA	5WY8604	NA	40340074	1	3011	045		1301	Subassy SMD ECU PEPS MY11	NA	HALB	S.Real	112.48	S1_PEPS_ (APROBACION A	4957846723
148938	ZSCR	551	040-3	NA	S122736090A	NA	A2C53154516	95	3011	045		1403	Bracket	NA	ROH	NA	270.75	S2_BCM_ (APROBACION AU	4957847727
148940	ZSCR	551	034-2	NA	5WY8770	NA	A2C53389581	500	3011	045		1342	sticker	NA	ROH	NA	60	S1_PEPS_ (APROBACION A	4957847143
148944	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	3	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	176.04	S1_PEPS_ (APROBACION A	4957846880
148946	ZSCR	551	040-2	NA	5WY8770	NA	A2C53333370	3	3011	045		1402	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	176.04	S1_PEPS_ (APROBACION A	4957847500
148948	ZSCR	551	030-1	NA	5WY8607	NA	A2C53353727	3	3011	045		1301	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	534.36	S1_PEPS_ (APROBACION A	4957846969
148955	ZSCR	551	040-2	NA	5WY8604	NA	A2C53353727	16	3011	045		1402	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	2849.92	S1_PEPS_ (APROBACION A	4957847570
148971	MB1A	551	040-3	B30301-00495	NA	NA	A2C34172300	5	3011	045		1095	MULTI POINT CONNECTOR * 7 PIN.	NA	ROH	NA	88.35	S6_KWANG JIN_ (APROBAC	4957846642
148974	MB1A	551	042-4	B30301-00495	NA	NA	A2C3417220093	1	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real	27.58	S6_KWANG JIN_ (APROBAC	4957846642
148977	MB1A	551	042-4	B30301-00495	NA	NA	A2C34172200	1	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	65.94	S6_KWANG JIN_ (APROBAC	4957846642
148980	MB1A	551	030-1	B30301-00495	NA	NA	A2C3417220093	90	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real	2482.2	S6_KWANG JIN_ (APROBAC	4957846642
149013	ZSCR	551	034-2	NA	S180039003	NA	A2C53184074	4	3011	045		1342	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	292.64	S2_RF TUNER_ANTONIO ALA	4957847198
149018	ZSCR	551	030-1	NA	S180039017	NA	A2C53184074	1	3011	045		1301	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	73.16	S2_RF TUNER_ (APROBACI	4957846923
