No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
168971	18/06/2012	ZSCR	551	040-4	NA	A2C53430026	NA	A2C53429645	43	3011	050		1404	"14 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	92.88	S1_SPDJB_CARLOS MUNOZ-V	NO	4959192237
169469	19/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53311707	31	3011	015		1342	housing	NA	ROH	NA	82.77	S1_TG1C DCX_JAIME JIMEN	NO	4959192099
169470	19/06/2012	ZSCR	551	040-1	NA	A2C53402230	NA	A2C53402230	1	3011	#N/A		1401	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.15	S5_TG1C HONDA_MIGUEL QU	NO	4959187126
169471	19/06/2012	ZSCR	551	040-2	NA	S180052025	NA	A2C53345109	2	3011	#N/A		1402	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	113.7	S5_TG1C HONDA_MIGUEL QU	NO	4959187144
169476	20/06/2012	ZSCR	551	040-2	NA	A2C53402231	NA	A2C53402230	4	3011	#N/A		1402	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	188.6	S5_TG1C HONDA_MIGUEL QU	NO	4959187163
169477	20/06/2012	ZSCR	551	040-4	NA	S180052034	NA	A2C37347700	2	3011	#N/A		1404	parts kit assy TPM	NA	HALB	S.Real/AutoBF	92.82	S1_TG1C NISSAN_JAIME JI	NO	4959187226
169478	20/06/2012	ZSCR	551	034-2	NA	S180052034	NA	A2C37347700	6	3011	#N/A		1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	278.46	S1_TG1C NISSAN_JAIME JI	NO	4959187045
169483	20/06/2012	ZSCR	551	034-2	NA	S180052017	NA	A2C53402100	5	3011	#N/A		1342	module assy TPM	NA	HALB	S.Real/AutoBF	235.75	S1_TG1C HYUNDAI_CARLOS	NO	4959187098
169484	20/06/2012	ZSCR	551	040-4	NA	S180052017	NA	A2C53402099	2	3011	#N/A		1404	parts kit assy TPM	NA	HALB	S.Real/AutoBF	188.62	S1_TG1C HYUNDAI_CARLOS	NO	4959187232
169485	20/06/2012	ZSCR	551	034-2	NA	S180052017	NA	A2C53402100	3	3011	#N/A		1342	module assy TPM	NA	HALB	S.Real/AutoBF	141.45	S1_TG1C HYUNDAI_CARLOS	NO	4959187098
169486	20/06/2012	ZSCR	551	042-4	NA	S180052017	NA	A2C53402100	1	3011	#N/A		1424	module assy TPM	NA	HALB	S.Real/AutoBF	47.15	S1_TG1C HYUNDAI_CARLOS	NO	4959187290
169487	20/06/2012	ZSCR	551	040-2	NA	S180052017	NA	A2C53402100	4	3011	#N/A		1402	module assy TPM	NA	HALB	S.Real/AutoBF	188.6	S1_TG1C HYUNDAI_CARLOS	NO	4959187153
