No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
173865	01/07/2012	ZSCR	551	030-1	NA	5WK50440	NA	A2C31082800	1	1301	pcb assy BCU 434 v25	NA	HALB	S.Real	346.45	S4_PQ25_MIGUEL ZAVALA-M	NO	4959425507
174012	01/07/2012	ZSCR	551	040-3	NA	5WK49612C	NA	A2C53297309B	3	1403	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	139.59	S2_KEY FOB_ANTONIO ALAR	NO	4959428185
174013	01/07/2012	ZSCR	551	040-3	NA	5WK49612C	NA	A2C53297309B	3	1403	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	139.59	S2_KEY FOB_ANTONIO ALAR	NO	4959428185
174031	01/07/2012	ZSCR	551	040-2	NA	5WK49673C	NA	A2C53297308B	2	1402	SMD Subassy NIS EUR 433. 2bundle	NA	HALB	S.Real	93.02	S2_KEY FOB_ANTONIO ALAR	NO	4959427591
174031	01/07/2012	ZSCR	551	040-2	NA	5WK49606C	NA	A2C53367590B	1	1402	SMD sub assy JP Hibrido 3Bot BOTTOM	NA	HALB	S.Real	45.79	S2_KEY FOB_ANTONIO ALAR	NO	4959427651
174032	01/07/2012	ZSCR	551	040-3	NA	A2C34172100	NA	A2C34172200	1	1403	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	65.94	S6_KWANG JIN_JAVIER BEC	NO	4959428246
174040	01/07/2012	ZSCR	551	042-4	NA	S122736090A	NA	A2C53386111B	108	1424	Circuit board assy SMD bottom	NA	HALB	S.Real/AutoBF	8175.6	S2_BCM_RODRIGO CERVANTE	NO	4959428397
174107	02/07/2012	ZSCR	551	040-2	NA	5WK49612C	NA	A2C53297309B	1	1402	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	46.53	S2_KEY FOB_ANTONIO ALAR	NO	4959427618
174156	02/07/2012	ZSCR	551	042-4	NA	A2C34172100	NA	A2C34172200	2	1424	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	131.88	S6_KWANG JIN_JAVIER BEC	NO	4959428377
174161	02/07/2012	ZSCR	551	042-4	NA	A2C34172100	NA	A2C3417220093	3	1424	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real	82.74	S6_KWANG JIN_JAVIER BEC	NO	4959428382
174168	02/07/2012	ZSCR	551	040-3	NA	5WK48041	NA	6594392075	2	1403	"100UF,20%,35V,HOL,AL,ELEC CAP/"	NA	ROH	NA	0.84	S2_NISSAN STEPS_ANTONIO	NO	4959428030
174168	02/07/2012	ZSCR	551	040-3	NA	5WK48041	NA	6598031401	2	1403	ETIQUETA NISSAN	NA	ROH	NA	0.3	S2_NISSAN STEPS_ANTONIO	NO	4959428030
