No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
247120	20/12/2012	ZSCR	551	040-5	NA	'045	S122736090A	NA	A2C53386111B	3	3011	045		1405	Circuit board assy SMD bottom	NA	HALB	S.Real/AutoBF	212.52	S2_BCM_RODRIGO CERVANTE	NO	4963749502
247146	20/12/2012	ZSCR	551	040-4	NA	'045	A2C83563700	NA	A2C34685500	383	3011	045		1404	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	375.34	S1_GLOBAL A_ (APROBACI	NO	4963749696
247150	20/12/2012	ZSCR	551	042-4	NA	'045	5WY8606	NA	A2C53353727	1	3011	045		1424	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	173.13	S1_PEPS_JAVIER BECERRA	NO	4963749421
247411	20/12/2012	ZSCR	551	050-2	NA	'045	A2C31243300	NA	A2C00045268	25	3011	045		1502	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	38	S1_PK MY 13 FORD_MANUEL	NO	4963749167
247411	20/12/2012	ZSCR	551	050-2	NA	'045	A2C31243300	NA	A2C00024322	1	3011	045		1502	not defined	NA	ROH	NA	0.55	S1_PK MY 13 FORD_MANUEL	NO	4963749167
247411	20/12/2012	ZSCR	551	050-2	NA	'045	A2C31243300	NA	A2C31227400	28	3011	045		1502	contact spring	NA	ROH	NA	23.24	S1_PK MY 13 FORD_MANUEL	NO	4963749167
247411	20/12/2012	ZSCR	551	050-2	NA	'045	A2C31243300	NA	A2C31227500	12	3011	045		1502	LABEL	NA	ROH	NA	5.16	S1_PK MY 13 FORD_MANUEL	NO	4963749167
247411	20/12/2012	ZSCR	551	050-2	NA	'045	A2C31243300	NA	A2C31224600	2	3011	045		1502	housing cover assy	NA	ROH	NA	92.6	S1_PK MY 13 FORD_MANUEL	NO	4963749167
247411	20/12/2012	ZSCR	551	050-2	NA	'045	A2C31243300	NA	A2C31227300	59	3011	045		1502	housing assy	NA	ROH	NA	163.43	S1_PK MY 13 FORD_MANUEL	NO	4963749167
247411	20/12/2012	ZSCR	551	050-2	NA	'045	A2C31243300	NA	A2C31578100	29	3011	045		1502	contact spring	NA	ROH	NA	22.62	S1_PK MY 13 FORD_MANUEL	NO	4963749167
247415	20/12/2012	ZSCR	551	040-4	NA	'045	A2C34710700	NA	A2C34684200	2	3011	045		1404	GLOBAL-A_BCM_TOP_HOUSING	NA	ROH	NA	13.28	S1_GLOBAL A_ (APROBACI	NO	4963749696
247415	20/12/2012	ZSCR	551	040-4	NA	'045	A2C34710700	NA	A2C34685500	385	3011	045		1404	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	377.3	S1_GLOBAL A_ (APROBACI	NO	4963749696
247528	21/12/2012	ZSCR	551	040-4	NA	'045	A2C83563700	NA	A2C34685500	250	3011	045		1404	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	245	S1_GLOBAL A_ (APROBACI	NO	4963749696
247531	21/12/2012	ZSCR	551	040-3	NA	'045	5WY8770	NA	A2C53429315	9	3011	045		1403	housing cover assy FOG FORD P	NA	ROH	NA	223.74	S1_PEPS_JAVIER BECERRA	NO	4963750729
247531	21/12/2012	ZSCR	551	040-3	NA	'045	5WY8770	NA	A2C53333378	12	3011	045		1403	FORD LOGO	NA	ROH	NA	56.4	S1_PEPS_JAVIER BECERRA	NO	4963750729
247531	21/12/2012	ZSCR	551	040-3	NA	'045	5WY8770	NA	A2C00004906	2	3011	045		1403	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	2.74	S1_PEPS_JAVIER BECERRA	NO	4963750729
247531	21/12/2012	ZSCR	551	040-3	NA	'045	5WY8770	NA	A2C31197800	9	3011	045		1403	key	NA	ROH	NA	3.78	S1_PEPS_JAVIER BECERRA	NO	4963750729
247544	21/12/2012	ZSCR	551	042-4	NA	'045	5WY8606	NA	A2C53353727	1	3011	045		1424	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	173.13	S1_PEPS_JAVIER BECERRA	NO	4963749421
247621	21/12/2012	ZSCR	551	040-5	NA	'045	5WG50403	NA	A2C53419999	1	3011	045		1405	pcb assy VW PQ35 ZE	NA	HALB	S.Real	337.47	S4_PQ35 5TA GEN_MIGUEL	NO	4963749519
247750	21/12/2012	ZSCR	551	040-4	NA	'045	5WY8606	NA	A2C00018512	9000	3011	045		1404	sticker identi spool unprin	NA	ROH	NA	2880	S1_PEPS_JAVIER BECERRA	NO	4963749891
247823	21/12/2012	ZSCR	551	050-1	NA	'045	5WY8606	NA	A2C53353727	1	3011	045		1501	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	173.13	S1_PEPS_JAVIER BECERRA	NO	4963749347
248041	22/12/2012	ZSCR	551	040-3	NA	'045	5WY7141	NA	6598141952	3	3011	045		1403	HOUSING ACTIVE ANTENNA	NA	ROH	NA	9.33	S1_EZKEY_LUIS LIZARRAGA	NO	4963750729
