ya ni m	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
283369	26/03/2013	ZSCR	551	030-1	NA	'054	A2C53388687	NA	A2C53342620	6	1301	pcb DC main	NA	ROH	NA	124.56	PS_ARAMIS 2012_EDWIN RO	NO	4966069187
283667	27/03/2013	ZSCR	551	034-2	NA	'054	A2C53367457MI	NA	A2C53125066	16	1342	multipoint connector 96P H 2SYS E-B	NA	ROH	NA	617.12	PS_ARAMIS III_FERNANDO	NO	4966069609
283673	27/03/2013	ZSCR	551	034-2	NA	'054	5WK44120	NA	A2C53324560	86	1342	certification label spool part p	NA	ROH	NA	44.72	PS_ARAMIS III_FERNANDO	NO	4966069465
283887	27/03/2013	ZSCR	551	030-1	NA	'054	5WK44774	NA	A2C53338029	6	1301	pcb panel multiple 6-up main	NA	ROH	NA	148.92	PS_ARAMIS III_FERNANDO	NO	4966069573
284073	28/03/2013	ZSCR	551	040-2	NA	'054	5WK44551	NA	A2C53388636	2	1402	cable harness	NA	ROH	NA	44.96	OC_OCS NISSAN_ANA TAPIA	NO	4966069028
284074	28/03/2013	ZSCR	551	034-2	NA	'054	5WK44120	NA	A2C53324560	100	1342	certification label spool part p	NA	ROH	NA	52	PS_ARAMIS III_FERNANDO	NO	4966069465
284078	28/03/2013	ZSCR	551	034-2	NA	'054	5WK44119	NA	A2C53324560	120	1342	certification label spool part p	NA	ROH	NA	62.4	PS_ARAMIS III_FERNANDO	NO	4966069249
284256	28/03/2013	ZSCR	551	034-2	NA	'054	5WK44774	NA	A2C53245952	3	1342	"housing FIP 152,0x 135,7"	NA	ROH	NA	66.3	PS_ARAMIS III_FERNANDO	NO	4966069573
284353	29/03/2013	ZSCR	551	030-1	NA	'054	5WY89130	NA	A2C53342620	1	1301	pcb DC main	NA	ROH	NA	20.76	PS_ARAMIS 2012_EDWIN RO	NO	4966069151
284433	29/03/2013	ZSCR	551	040-2	NA	'054	5WK44040	NA	A2C53181198	3	1402	cable harness	NA	ROH	NA	61.41	OC_OCS NISSAN_ANA TAPIA	NO	4966068996
