No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
270965	2/25/2013	ZSCR	551	034-9	NA	'015	5WY8834	NA	A2C53328412	6	1349	circuit board assy	NA	HALB	S.Real	527.58	S1_DCU_ADRIAN CEBALLOS	4966301452		
270967	2/25/2013	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53338452	65	1342	circuit board assy	NA	HALB	S.Real	3876.6	S1_DCU_ADRIAN CEBALLOS	4966301411		
285302	4/3/2013	ZSCR	551	034-2	NA	'015	A2C8064010093	NA	A2C8064010093	3	1342	circuit board assy TPM TOP	NA	HALB	S.Real	81.06	S1_TG1C HYUNDAI_MIGUEL	4966301434		
285334	4/3/2013	ZSCR	551	034-2	NA	'015	S180052041	NA	A2C53422372	14	1342	housing	NA	ROH	NA	23.8	S1_TG1C HYUNDAI_MIGUEL	4966302101		
285573	4/3/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C53311707	9	1342	housing	NA	ROH	NA	21.87	S5_TIS1C127 NISSAN_CARL	4966302056		
285701	4/4/2013	ZSCR	551	040-2	NA	'015	S180052041	NA	A2C00510300	3	1402	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	30.93	S1_TG1C HYUNDAI_MIGUEL			
285704	4/4/2013	ZSCR	551	034-2	NA	'015	S1_TG1C HYUNDAI_MIGUEL	NA	A2C53311707	1	1342	housing	NA	ROH	NA	2.43	S1_TG1C HYUNDAI_MIGUEL	4966302032		
285706	4/4/2013	ZSCR	551	034-2	NA	'015	S180052041	NA	A2C53422372	6	1342	housing	NA	ROH	NA	10.2	S1_TG1C HYUNDAI_MIGUEL	4966302101		
285738	4/4/2013	ZSCR	551	034-2	NA	'050	5WY8828	NA	A2C33313400	48	1342	pcb	NA	ROH	NA	134.4	S5_TIS1C127 HMC_ADRIANA	4966301709		
285915	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C31109500	16	1342	valve housing assy	NA	ROH	NA	100.48	S5_TIS1C127 NISSAN_CARL	4966301962		
285915	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C53352996	16	1342	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	36.48	S5_TIS1C127 NISSAN_CARL	4966301962		
285953	4/4/2013	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53304052	10	1342	housing	NA	ROH	NA	29.2	S1_DCU_ADRIAN CEBALLOS	4966301747		
285967	4/4/2013	ZSCR	551	034-2	NA	'015	A2C30188101	NA	A2C53277894	1	1342	valve housing	NA	ROH	NA	6.31	S5_TG1C HONDA_MIGUEL QU	4966301810		
285967	4/4/2013	ZSCR	551	034-2	NA	'015	A2C30188101	NA	A2C53327812	1	1342	"sealing ring 10x 4,4"	NA	ROH	NA	1.8	S5_TG1C HONDA_MIGUEL QU	4966301810		
286003	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C31109500	1	1342	valve housing assy	NA	ROH	NA	6.28	S1_TG1C NISSAN_JAIME JI	4966301962		
286003	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C53352996	1	1342	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	2.28	S1_TG1C NISSAN_JAIME JI	4966301962		
286005	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53397674	NA	A2C31109500	3	1342	valve housing assy	NA	ROH	NA	18.84	S1_TG1C NISSAN_JAIME JI	4966301910		
286005	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53397674	NA	A2C53352996	3	1342	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	6.84	S1_TG1C NISSAN_JAIME JI	4966301910		
286096	4/4/2013	ZSCR	551	034-2	NA	'015	S180052042	NA	A2C53311707	1	1342	housing	NA	ROH	NA	2.43	S5_TG1C HONDA_MIGUEL QU	4966302120		
286144	4/4/2013	ZSCR	551	034-2	NA	'050	A2C3818940092	NA	A2C30840500	48	1342	PCB	NA	ROH	NA	75.36	S1_TG1C HYUNDAI_MIGUEL	4966301892		
286150	4/4/2013	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53338452	1	1342	circuit board assy	NA	HALB	S.Real	59.64	S1_DCU_ADRIAN CEBALLOS	4966301411		
286157	4/4/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53277894	1	1301	valve housing	NA	ROH	NA	6.31	S5_TG1C HONDA_MIGUEL QU	4966301672		
286157	4/4/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53327812	1	1301	"sealing ring 10x 4,4"	NA	ROH	NA	1.8	S5_TG1C HONDA_MIGUEL QU	4966301672		
286161	4/5/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53277894	1	1301	valve housing	NA	ROH	NA	6.31	S5_TG1C HONDA_MIGUEL QU	4966301672		
286161	4/5/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53327812	1	1301	"sealing ring 10x 4,4"	NA	ROH	NA	1.8	S5_TG1C HONDA_MIGUEL QU	4966301672		
286164	4/5/2013	ZSCR	551	030-1	NA	'015	5WY8833	NA	A2C53338452	9	1301	circuit board assy	NA	HALB	S.Real	536.76	S1_DCU_ADRIAN CEBALLOS	4966301343		
286307	4/5/2013	ZSCR	551	034-2	NA	'015	S180052042	NA	A2C53311707	9	1342	housing	NA	ROH	NA	21.87	S1_TG1C NISSAN_JAIME JI	4966302120		
286314	4/5/2013	ZSCR	551	034-2	NA	'015	S180052017	NA	A2C53375809	32	1342	Valve w/ Grey cap	NA	ROH	NA	234.24	S1_TG1C HYUNDAI_MIGUEL	4966302032		
286319	4/5/2013	ZSCR	551	034-2	NA	'015	5WY8548	NA	A2C53401334	18	1342	valve assy	NA	ROH	NA	139.32	S1_TG1C DCX_JAIME JIMEN	4966301701		
286324	4/5/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53327812	81	1342	"sealing ring 10x 4,4"	NA	ROH	NA	145.8	S1_TG1C DCX_JAIME JIMEN	4966301690		
286327	4/5/2013	ZSCR	551	034-2	NA	'015	S180052017	NA	A2C53278172	318	1342	"rot shaft lip seal 9,4x16,30x 6,5 VMQ"	NA	ROH	NA	270.3	S1_TG1C HYUNDAI_MIGUEL	4966302032		
286328	4/5/2013	ZSCR	551	034-2	NA	'015	S180052017	NA	A2C53278194	10	1342	"sealing ring 10,45x 4,4 S300Pb"	NA	ROH	NA	16.3	S1_TG1C HYUNDAI_MIGUEL	4966302032		
286330	4/5/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C53352996	51	1342	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	116.28	S1_TG1C NISSAN_JAIME JI	4966302043		
286331	4/5/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53277894	37	1342	valve housing	NA	ROH	NA	233.47	S5_TG1C HONDA_MIGUEL QU	4966301976		
286336	4/5/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C00051931	9	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	89.55	S1_TG1C NISSAN_JAIME JI	4966302043		
286337	4/5/2013	ZSCR	551	040-2	NA	'015	5WY8547	NA	A2C00046497	5	1402	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	47.95	S1_TG1C DCX_JAIME JIMEN			
286339	4/5/2013	ZSCR	551	040-2	NA	'015	S180052017	NA	A2C00510300	1	1402	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	10.31	S1_TG1C HYUNDAI_MIGUEL			
286445	4/5/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C53352996	25	1342	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	57	S1_TG1C NISSAN_JAIME JI	4966302077		
286486	4/5/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C00051931	44	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	437.8	S1_TG1C NISSAN_JAIME JI	4966302056		
286491	4/5/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C00051931	2	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	19.9	S1_TG1C NISSAN_JAIME JI	4966302077		
286504	4/5/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C00046497	9	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	86.31	S5_TG1C HONDA_MIGUEL QU	4966301976		
286511	4/5/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C00046497	9	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	86.31	S5_TG1C HONDA_MIGUEL QU	4966301976		
286515	4/5/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53311707	8	1342	housing	NA	ROH	NA	19.44	S5_TG1C HONDA_MIGUEL QU	4966301976		
286518	4/5/2013	ZSCR	551	034-2	NA	'015	A2C53402830	NA	A2C53311707	1	1342	housing	NA	ROH	NA	2.43	S5_TG1C HONDA_MIGUEL QU	4966301948		
286533	4/5/2013	ZSCR	551	034-2	NA	'015	A2C31556200	NA	A2C31563500	1	1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	30.71	S5_TG1C HONDA_MIGUEL QU			
286552	4/5/2013	ZSCR	551	034-2	NA	'015	A2C53402100	NA	A2C00510300	1	1342	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	10.31	S1_TG1C HYUNDAI_MIGUEL	4966301920		
286557	4/5/2013	ZSCR	551	034-2	NA	'015	A2C31556200	NA	A2C53311707	2	1342	housing	NA	ROH	NA	4.86	S1_TG1C NISSAN_JAIME JI	4966301852		
286590	4/5/2013	ZSCR	551	030-1	NA	'015	5WY8835	NA	A2C53328411	2	1301	circuit board assy	NA	HALB	S.Real	168.28	S1_DCU_ADRIAN CEBALLOS	4966301336		
286596	4/5/2013	ZSCR	551	030-1	NA	'015	A2C53345109	NA	A2C80584900	3	1301	circuit board assy TPM	NA	HALB	S.Real/AutoBF	91.8	S5_TG1C HONDA_MIGUEL QU	4966299996		
286599	4/6/2013	ZSCR	551	034-2	NA	'015	A2C32163600	NA	A2C53311707	4	1342	housing	NA	ROH	NA	9.72	S1_TG1C DCX_JAIME JIMEN	4966301883		
286600	4/6/2013	ZSCR	551	034-2	NA	'015	A2C31556200	NA	A2C53311707	6	1342	housing	NA	ROH	NA	14.58	S1_TG1C NISSAN_JAIME JI	4966301852		
286602	4/6/2013	ZSCR	551	040-1	NA	'015	A2C83143000	NA	A2C83143000	8	1401	wheel unit TPM	NA	FERT	NA	494.24	S1_TG1C UNIVERSAL_JAIME			
286608	4/6/2013	ZSCR	551	034-2	NA	'050	A2C8064010092	NA	A2C33313400	237	1342	pcb	NA	ROH	NA	663.6	S5_TIS1C127 HMC_ADRIANA	4966302009		
286610	4/6/2013	ZSCR	551	034-2	NA	'015	S180052041	NA	A2C53422372	14	1342	housing	NA	ROH	NA	23.8	S5_TIS1C127 HMC_ADRIANA	4966302101		
286613	4/6/2013	ZSCR	551	034-2	NA	'015	A2C32163500	NA	A2C53311707	22	1342	housing	NA	ROH	NA	53.46	S1_TG1C NISSAN_JAIME JI	4966301863		
286615	4/6/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53327812	18	1342	"sealing ring 10x 4,4"	NA	ROH	NA	32.4	S5_TG1C HONDA_MIGUEL QU	4966301976		
286625	4/6/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53311707	25	1342	housing	NA	ROH	NA	60.75	S1_TG1C DCX_JAIME JIMEN	4966301690		
286762	4/6/2013	ZSCR	551	030-1	NA	'050	A2C3144240092	NA	A2C86363000	48	1301	pcb	NA	ROH	NA	72	S1_TG1C DCX_JAIME JIMEN	4966301658		
286764	4/6/2013	ZSCR	551	034-2	NA	'050	A2C3144240092	NA	A2C86363000	48	1342	pcb	NA	ROH	NA	72	S5_TG1C HONDA_MIGUEL QU	4966301827		
286872	4/6/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	1	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	54.03	S1_TG1C NISSAN_JAIME JI			
286882	4/6/2013	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C00052450	30	1342	"EM OTH BATTERY/LITHIUM BATTERY HT, 3V, 3"	NA	ROH	NA	297.6	S1_TIS 1D CHRYSLER_JAIM	4966301782		
286885	4/6/2013	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880100	6	1342	module assy TPM	NA	HALB	S.Real/AutoBF	260.64	S1_TIS 1D CHRYSLER_JAIM			
286887	4/6/2013	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	2	1342	housing assy TPM	NA	HALB	S.Real/AutoBF	89.88	S1_TIS 1D CHRYSLER_JAIM			
286889	4/6/2013	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	1	1342	housing assy TPM	NA	HALB	S.Real/AutoBF	44.94	S1_TIS 1D CHRYSLER_JAIM			
286893	4/6/2013	ZSCR	551	030-1	NA	'015	A2C83144200	NA	A2C83144200	2	1301	circuit board assy TPM	NA	HALB	S.Real/AutoBF	70.88	S1_TG1C UNIVERSAL_JAIME	4966301285		
286896	4/6/2013	ZSCR	551	030-1	NA	'015	A2C31556200	NA	A2C31563500	1	1301	circuit board assy TPM	NA	HALB	S.Real/AutoBF	30.71	S1_TG1C NISSAN_JAIME JI	4966299946		
286898	4/6/2013	ZSCR	551	030-1	NA	'015	A2C32163600	NA	A2C31442400	2	1301	circuit board assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	60.94	S1_TG1C NISSAN_JAIME JI	4966299915		
286900	4/6/2013	ZSCR	551	030-1	NA	'015	A2C53345109	NA	A2C8058490093	6	1301	circuit board assy TPM TOP	NA	HALB	S.Real	183.6	S5_TG1C HONDA_MIGUEL QU	4966301359		
