No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
290913	4/17/2013	ZSCR	551	040-2	NA	'054	5WY86580	NA	5WY86580	4	1402	FERT	NA	1183.24	PSAD_EPSILON_OSCAR FONS	NO	4966699572
291667	4/19/2013	ZSCR	551	034-2	NA	'054	A2C81542600	NA	A2C81542600	1	1342	FERT	NA	486.2	PS_ARAMIS 2011_EDWIN RO	NO	4966699560
292183	4/20/2013	ZSCR	551	034-2	NA	'054	5WK44774	NA	5WK44774	1	1342	FERT	NA	579.66	PS_ARAMIS III_FERNANDO	NO	4966699502
292200	4/20/2013	ZSCR	551	034-2	NA	'054	5WK44741	NA	5WK44741	1	1342	FERT	NA	491.43	PS_ARAMIS III_FERNANDO	NO	4966699474
292217	4/20/2013	ZSCR	551	030-1	NA	'054	5WK44252		5WK44252	1	1301	FERT	NA	113.87	OC_BOSE VW_ANA TAPIA-VI	NO	4966699830
292221	4/20/2013	ZSCR	551	034-2	NA	'054	5WY89350	NA	5WY89350	1	1342	FERT	NA	386.6	PS_CHRYSLER MY2013_EDWI	NO	4966699528
292223	4/20/2013	ZSCR	551	034-2	NA	'054	5WY89350	NA	5WY89350	1	1342	FERT	NA	386.6	PS_CHRYSLER MY2013_EDWI	NO	4966699528
292233	4/20/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83011900	2	1095	FERT	NA	529.74	PSAD_OPEL 3300_JOSE ORT	NO	4966699791
292452	4/21/2013	ZSCR	551	034-2	NA	'054	5WK44781	NA	5WK44781	1	1342	FERT	NA	308.65	PS_VW10 LC_ULISES VILLE	NO	4966699512
292460	4/21/2013	MB1A	551	040-3	K96019	'054	NA	NA	A2C83011900	1	1095	FERT	NA	264.87	PSAD_OPEL 4400_JOSE ORT	NO	4966699806
292462	4/21/2013	MB1A	551	040-3	K96019	'054	NA	NA	A2C82544800	4	1095	FERT	NA	1018.8	PSAD_OPEL 4400_JOSE ORT	NO	4966699806
292511	4/21/2013	MB1A	551	042-4	K96019	'054	NA	NA	A2C82544800	1	1095	FERT	NA	254.7	PSAD_OPEL 4400_JOSE ORT	NO	4966699806
292515	4/21/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C85801200	1	1095	FERT	NA	455.38	PS_SDM10+_CAROLINA OTAN	NO	4966699740
292517	4/21/2013	MB1A	551	042-4	K96019	'054	NA	NA	A2C82541900	1	1095	FERT	NA	273.04	PSAD_OPEL 4400_JOSE ORT	NO	4966699806
292675	4/21/2013	ZSCR	551	030-1	NA	'054	A2C53388685	NA	A2C53342620	6	1301	ROH	NA	124.56	PS_ARAMIS 2012_EDWIN RO	NO	4966699853
293146	4/23/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C82535800	7	1095	ROH	NA	96.53	PSAD_OPEL 4400_JOSE ORT	NO	4966699806
293146	4/23/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C82541100	2	1095	ROH	NA	27.58	PSAD_OPEL 4400_JOSE ORT	NO	4966699806
293146	4/23/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83015700	6	1095	ROH	NA	82.74	PSAD_OPEL 4400_JOSE ORT	NO	4966699806
293148	4/23/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83519000	1	1095	ROH	NA	34.47	PSAD_VOLVO P15_JOSE ORT	NO	4966699817
293149	4/23/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C40000025	4	1095	ROH	NA	27.96	PS_SDM10+_CAROLINA OTAN	NO	4966699740
293149	4/23/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C53395715	4	1095	ROH	NA	137.48	PS_SDM10+_CAROLINA OTAN	NO	4966699740
293331	4/23/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C32523400	18	1095	ROH	NA	183.24	PSAD_DAIMLER STAR 2_ANA	NO	4966699761
293331	4/23/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C53424040	90	1095	ROH	NA	27	PSAD_DAIMLER STAR 2_ANA	NO	4966699761
