No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
316032	6/21/2013	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	1		1342	keypad assy	NA	HALB	S.Real/AutoBF	476.44	OC_OCS NISSAN_ANA TAPIA	NO	4968435577
316033	6/21/2013	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	1		1342	keypad assy	NA	HALB	S.Real/AutoBF	476.44	OC_OCS NISSAN_ANA TAPIA	NO	4968435577
316076	6/21/2013	ZSCR	551	050-3	NA	'054	A2C82541900	NA	A2C82541900	2		1503	ACU OPLA4400 12 HX4401XESE	NA	FERT	NA	546.08	PSAD_OPEL 4400_JOSE ORT	NO	4968435424
316309	6/22/2013	ZSCR	551	034-2	NA	'054	5WK44354	NA	5WK44354	1		1342	MODULE CONTROL FOR AIRBAG Hyundai UD	NA	FERT	NA	247.48	PS_HYUNDAI_	NO	4968435305
316313	6/22/2013	ZSCR	551	034-2	NA	'054	5WK43105	NA	6593331401	80		1342	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	21.6	PS_HONDA HRS6_JUAN CHAV	NO	4968435551
316313	6/22/2013	ZSCR	551	034-2	NA	'054	5WK44690	NA	A2C53397769	3		1342	housing	NA	ROH	NA	67.62	PS_HONDA HRS6_JUAN CHAV	NO	4968435121
316319	6/22/2013	ZSCR	551	034-2	NA	'054	5WK43024	NA	6593331401	90		1342	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	24.3	PS_HONDA HRS6_JUAN CHAV	NO	4968435551
316319	6/22/2013	ZSCR	551	034-2	NA	'054	5WK44690	NA	A2C53397769	1		1342	housing	NA	ROH	NA	22.54	PS_HONDA HRS6_JUAN CHAV	NO	4968435121
316323	6/22/2013	ZSCR	551	034-2	NA	'054	5WK43968	NA	A2C53243156MI	1		1342	MI assy C207 WITHOUT PPS / RO	NA	HALB	S.Real	368.59	PS_ARAMIS II MCG_FERNAN	NO	4968435771
316335	6/22/2013	ZSCR	551	034-2	NA	'054	5WK43968	NA	A2C53243156MI	2		1342	MI assy C207 WITHOUT PPS / RO	NA	HALB	S.Real	737.18	PS_ARAMIS II MCG_FERNAN	NO	4968435771
316336	6/22/2013	ZSCR	551	040-1	NA	'054	5WK43968	NA	A2C53243156MI	1		1401	MI assy C207 WITHOUT PPS / RO	NA	HALB	S.Real	368.59	PS_ARAMIS II MCG_FERNAN	NO	4968435712
316340	6/22/2013	ZSCR	551	040-1	NA	'054	A2C81542500	NA	A2C81542500	1		1401	2013 JC HI BUX 7 Passenger	NA	FERT	NA	483.95	PS_ARAMIS 2012_EDWIN RO	NO	4968435411
316341	6/22/2013	ZSCR	551	040-1	NA	'054	5WK43967	6	5WK43967	1		1401	DCX ACU ARAMIS II C207 W PPS/WO RO	NA	FERT	NA	515.83	PS_ARAMIS II MCG_FERNAN	NO	4968435265
316392	6/22/2013	ZSCR	551	030-1	NA	'054	A2C8483530093	NA	A2C8483530092	1		1301	pcb assy VW10 V08 bottom	NA	HALB	S.Real/AutoBF	39.72	PS_VW10 LC_ULISES VILLE	NO	4968435637
316416	6/22/2013	ZSCR	551	034-2	NA	'054	5WK44252		5WK44252	5		1342	BoSe VW311	NA	FERT	NA	569.35	OC_BOSE VW_ANA TAPIA-VI	NO	4968435287
316494	6/22/2013	ZSCR	551	030-1	NA	'054	A2C84851600	NA	A2C84835300	1		1301	pcb assy VW10 V08	NA	HALB	S.Real	286.71	PS_VW10 LC_ULISES VILLE	NO	4968435789
316508	6/22/2013	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	2		1342	keypad assy	NA	HALB	S.Real/AutoBF	952.88	OC_OCS NISSAN_ANA TAPIA	NO	4968435577
316678	6/23/2013	ZSCR	551	040-1	NA	'054	5WK44630	NA	A2C32509000	1		1401	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	153.51	PSAD_VW20_ULISES VILLEG	NO	4968435674
316681	6/23/2013	ZSCR	551	040-2	NA	'054	A2C85800900	NA	A2C85800900	1		1402	ACU MY11 12	NA	FERT	NA	297.76	PS_SDM10+_CAROLINA OTAN	NO	4968435479
316686	6/23/2013	ZSCR	551	040-1	NA	'054	5WK44285SP	NA	A2C53367544	1		1401	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	229.56	PS_VW10 LC_ULISES VILLE	NO	4968435716
