No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	 Valor 	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
318829	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C32118700	NA	A2C32118700	10	1403	MY12 SPDJB LOOP PROGRAM ASM MODEL C	NA	HALB	S.Real	" $2,534.30 "	S1_SPDJB-JUAREZ_MARIO E	NO	4968532155
318829	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C32119300	NA	A2C32119300	26	1403	MY12 SPDJB HELIX PROGRAM ASM MODEL C	NA	HALB	S.Real	" $6,929.26 "	S1_SPDJB-JUAREZ_MARIO E	NO	4968532166
318829	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C32144600	NA	A2C32144600	28	1403	MY12 SPDJB LOOP PROGRAM ASM MODEL B	NA	HALB	S.Real	" $7,010.64 "	S1_SPDJB-JUAREZ_MARIO E	NO	4968532173
318829	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C32146500	NA	A2C32146500	12	1403	MY12 SPDJB HELIX PROGRAM ASM MODEL B	NA	HALB	S.Real	" $3,161.64 "	S1_SPDJB-JUAREZ_MARIO E	NO	4968532182
318829	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C32147600	NA	A2C32147600	28	1403	MY12 SPDJB LOOP PROGRAM ASM MODEL A	NA	HALB	S.Real	" $6,324.64 "	S1_SPDJB-JUAREZ_MARIO E	NO	4968532190
318829	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C33101700	NA	A2C33101700	28	1403	MY12 SPDJB HELIX MODEL C FINAL ASM 433	NA	HALB	S.Real	" $7,494.76 "	S1_SPDJB-JUAREZ_MARIO E	NO	4968532201
318830	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C30889500	NA	A2C30889500	7	1403	TOTAL INTEGRATED POWER MODULE MEDIUM	NA	HALB	S.Real	" $1,827.70 "	S1_TIMP-JUAREZ_MARIO ES	NO	4968532123
318830	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C30889600	NA	A2C30889600	28	1403	LOGIC PCB (DIESEL/BUX)	NA	HALB	S.Real	" $7,633.64 "	S1_TIMP-JUAREZ_MARIO ES	NO	4968532136
318830	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C31231100	NA	A2C31231100	7	1403	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	" $1,604.05 "	S1_TIMP-JUAREZ_MARIO ES	NO	4968532146
318830	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C53428149	NA	A2C53428149	13	1403	TIPM 7Ci MY11 PV MED PROD INT ASSEM	NA	HALB	S.Real	" $2,907.58 "	S1_TIMP-JUAREZ_MARIO ES	NO	4968532208
318830	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C53428271	NA	A2C53428271	181	1403	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	" $44,596.59 "	S1_TIMP-JUAREZ_MARIO ES	NO	4968532217
318830	28/06/2013	ZSCR	551	040-3	NA	'AEES	A2C73658000	NA	A2C73658000	139	1403	TIPM 7Ci MY13 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	" $31,286.12 "	S1_TIMP-JUAREZ_MARIO ES	NO	4968532222
