320	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
321075	04/07/2013	ZSCR	551	030-1	NA	'054	A2C53375496	NA	A2C5337549693	1	1301	pcb assy DAGARM3 V04 Top	NA	HALB	S.Real	250.89	PS_ARAMIS III_FERNANDO	NO	4968691605
321120	04/07/2013	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4968691577
321121	04/07/2013	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4968691577
321123	04/07/2013	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53108385MI	1	1301	Manual insertion assy for CCG	NA	HALB	S.Real	464.75	PS_ARAMIS I_EDWIN RODRI	NO	4968691491
321124	04/07/2013	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53108385MI	1	1301	Manual insertion assy for CCG	NA	HALB	S.Real	464.75	PS_ARAMIS I_EDWIN RODRI	NO	4968691491
321297	05/07/2013	ZSCR	551	030-1	NA	'054	5WK43875	NA	A2C53216799MI	1	1301	Manual insertion assy for CCG (V14)	NA	HALB	S.Real	467.6	PS_ARAMIS I_EDWIN RODRI	NO	4968691508
321298	05/07/2013	ZSCR	551	030-1	NA	'054	5WK43875	NA	A2C53216799MI	1	1301	Manual insertion assy for CCG (V14)	NA	HALB	S.Real	467.6	PS_ARAMIS I_EDWIN RODRI	NO	4968691508
321304	05/07/2013	ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287874	1	1301	pcb assy	NA	HALB	S.Real	59.41	OC_OCS NISSAN_ANA TAPIA	NO	4968691551
321305	05/07/2013	ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287874	1	1301	pcb assy	NA	HALB	S.Real	59.41	OC_OCS NISSAN_ANA TAPIA	NO	4968691551
321306	05/07/2013	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4968691577
321310	05/07/2013	ZSCR	551	030-1	NA	'054	A2C38081601	NA	A2C53375496	1	1301	pcb assy DAGARM3 V04	NA	HALB	S.Real	318.89	PS_ARAMIS III_FERNANDO	NO	4968691597
321313	05/07/2013	ZSCR	551	030-1	NA	'054	A2C38081601	NA	A2C53375496	1	1301	pcb assy DAGARM3 V04	NA	HALB	S.Real	318.89	PS_ARAMIS III_FERNANDO	NO	4968691597
321327	05/07/2013	ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287874	1	1301	pcb assy	NA	HALB	S.Real	59.41	OC_OCS NISSAN_ANA TAPIA	NO	4968691551
321328	05/07/2013	ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287874	1	1301	pcb assy	NA	HALB	S.Real	59.41	OC_OCS NISSAN_ANA TAPIA	NO	4968691551
321394	05/07/2013	ZSCR	551	030-1	NA	'054	5WK43968	NA	A2C53243156MI	1	1301	MI assy C207 WITHOUT PPS / RO	NA	HALB	S.Real	368.59	PS_ARAMIS II MCG_FERNAN	NO	4968691545
321434	05/07/2013	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	8	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	623.52	OC_BOSE VW_ANA TAPIA-VI	NO	4968691584
321437	05/07/2013	ZSCR	551	030-1	NA	'054	A2C37744300	NA	A2C3774430093	1	1301	FIAT 326 3V SMT TOP	NA	HALB	S.Real	129.04	PS_FIAT BRAZIL_EDWIN RO	NO	4968691468
321438	05/07/2013	ZSCR	551	030-1	NA	'054	A2C37744300	NA	A2C3774430093	1	1301	FIAT 326 3V SMT TOP	NA	HALB	S.Real	129.04	PS_FIAT BRAZIL_EDWIN RO	NO	4968691468
321440	05/07/2013	ZSCR	551	030-1	NA	'054	A2C37744300	NA	A2C3774430093	1	1301	FIAT 326 3V SMT TOP	NA	HALB	S.Real	129.04	PS_FIAT BRAZIL_EDWIN RO	NO	4968691468
321441	05/07/2013	ZSCR	551	030-1	NA	'054	A2C37744300	NA	A2C3774430093	1	1301	FIAT 326 3V SMT TOP	NA	HALB	S.Real	129.04	PS_FIAT BRAZIL_EDWIN RO	NO	4968691468
321442	05/07/2013	ZSCR	551	030-1	NA	'054	A2C37744300	NA	A2C3774430093	1	1301	FIAT 326 3V SMT TOP	NA	HALB	S.Real	129.04	PS_FIAT BRAZIL_EDWIN RO	NO	4968691468
321443	05/07/2013	ZSCR	551	030-1	NA	'054	A2C37744300	NA	A2C3774430093	1	1301	FIAT 326 3V SMT TOP	NA	HALB	S.Real	129.04	PS_FIAT BRAZIL_EDWIN RO	NO	4968691468
321650	06/07/2013	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	77.94	OC_BOSE VW_ANA TAPIA-VI	NO	4968691584
321706	06/07/2013	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4968691577
321724	06/07/2013	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4968691577
321737	06/07/2013	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4968691577
321739	06/07/2013	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4968691577
321740	06/07/2013	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4968691577
321746	06/07/2013	ZSCR	551	030-1	NA	'054	A2C30930202	NA	A2C53375511	1	1301	pcb assy DAGARM3 V11	NA	HALB	S.Real	462.98	PS_ARAMIS III_FERNANDO	NO	4968691636
321748	06/07/2013	ZSCR	551	030-1	NA	'054	A2C30930102	NA	A2C53345669	1	1301	pcb assy DAGARM3 V03	NA	HALB	S.Real	460.52	PS_ARAMIS III_FERNANDO	NO	4968691560
