No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
365860	21/10/2013	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00016441	35	3011	054		1351	"R LIN,100R,1%,TK100,100mW,0603"		ROH	NA	0.7	OC_BOSE VW_G.GERARDO EC	NO	4971885183
365861	21/10/2013	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00016441	8	3011	054		1351	"R LIN,100R,1%,TK100,100mW,0603"		ROH	NA	0.16	OC_BOSE VW_G.GERARDO EC	NO	4971885183
365870	21/10/2013	ZSCR	551	035-1	0	'054	A2C3250900093	NA	A2C00051999	58	3011	054		1351	"2.2mF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	521.42	PSAD_VW20_G.GERARDO ECH	NO	4971884994
366256	22/10/2013	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	50	3011	054		1342	sticker	NA	ROH	NA	26.5	PS_VW10 LC_U.ULISES VIL	NO	4971884913
366266	22/10/2013	ZSCR	551	040-3	NA	'054	5WK44836	NA	A2C53221063	5	3011	054		1403	multipoint connector 82P H 2SYS YE	NA	ROH	NA	112.05	PS_HONDA CR-V MC_.	NO	4971884932
366397	23/10/2013	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00016441	62	3011	054		1351	"R LIN,100R,1%,TK100,100mW,0603"		ROH	NA	1.24	OC_BOSE VW_G.GERARDO EC	NO	4971885183
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00062698	14	3011	054		1351	"IC MCU PRO/TMS470PSC249PZI,Rev.C,PQFP-10"		ROH	NA	252.84	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00010541	53	3011	054		1351	"R LIN,43R,1%,TK100,100mW,0603"		ROH	NA	0.53	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00010444	3	3011	054		1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.03	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00025460	92	3011	054		1351	"R LIN,330R,5%,TK200,63mW,0402"		ROH	NA	0.92	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00004981	111	3011	054		1351	"F BEAD/BLM18B,140Ohm,140Ohm,200mA,SMD"		ROH	NA	5.55	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00019439	174	3011	054		1351	"T BIP/BCR35PN E6327,SOT363"		ROH	NA	34.8	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00037383	11	3011	054		1351	"TA CAP,TA,22uF,10%,25V,SMD"		ROH	NA	21.23	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00039384	33	3011	054		1351	"1,N_CHAN,MOS,POWER,55V,7A,68mOhm,SOT223,"		ROH	NA	52.14	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00056152	16	3011	054		1351	"22uH,1.95A,SMD,COIL/"		ROH	NA	24.96	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00002102	1	3011	054		1351	"220pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.02	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366402	23/10/2013	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00006609	152	3011	054		1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	1.52	PS_VW10 LC_G.GERARDO EC	NO	4971885157
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00024979	186	3011	054		1351	"100pF,5%,100V,C0G,0603,TINNED,CER CAP/"		ROH	NA	7.44	PS_FIAT BRAZIL_G.GERARD	NO	4971885128
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00027858	138	3011	054		1351	"R NET,0R05,0%,0W,0408_8"		ROH	NA	4.14	PS_FIAT BRAZIL_G.GERARD	NO	4971885128
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00023857	19	3011	054		1351	"F BEAD/BLM41P,90mOhm,1KOhm,1.5A,SMD"		ROH	NA	7.98	PS_FIAT BRAZIL_G.GERARD	NO	4971885128
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00020588	25	3011	054		1351	"R LIN,82R5,1%,TK100,100mW,0603"		ROH	NA	0.25	PS_FIAT BRAZIL_G.GERARD	NO	4971885128
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00049407	1	3011	054		1351	"ACCELEROMETER, dual-axis, selectable ran"		ROH	NA	19.68	PS_FIAT BRAZIL_G.GERARD	NO	4971885111
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00004391	9	3011	054		1351	"R LIN,47R,1%,TK100,100mW,0603"		ROH	NA	0.18	PS_FIAT BRAZIL_G.GERARD	NO	4971885111
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00032451	1	3011	054		1351	"C CER,X7R,10uF,10%,16V,1206,Sn"		ROH	NA	0.35	PS_FIAT BRAZIL_G.GERARD	NO	4971885111
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00059547	1	3011	054		1351	"1,0V,0Ohm,QFP80,GENERAL PURPOSE,Combined"		ROH	NA	37.99	PS_FIAT BRAZIL_G.GERARD	NO	4971885111
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00007729	1	3011	054		1351	"R LIN,12K4,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_FIAT BRAZIL_G.GERARD	NO	4971885111
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00006946	1	3011	054		1351	"40V,750mA,1,SCHOTTKY,SOD323,RECT DIODE/B"		ROH	NA	0.34	PS_FIAT BRAZIL_G.GERARD	NO	4971885111
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00003956	4	3011	054		1351	"953R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.36	PS_FIAT BRAZIL_G.GERARD	NO	4971885111
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00006609	1	3011	054		1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.01	PS_FIAT BRAZIL_G.GERARD	NO	4971885111
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00017750	10	3011	054		1351	"2,BOTH,NORMAL,100mA,45V,SOT363,BIP/BC847"		ROH	NA	1.6	PS_FIAT BRAZIL_G.GERARD	NO	4971885073
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00004349	4	3011	054		1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.04	PS_FIAT BRAZIL_G.GERARD	NO	4971885073
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00027858	230	3011	054		1351	"R NET,0R05,0%,0W,0408_8"		ROH	NA	6.9	PS_FIAT BRAZIL_G.GERARD	NO	4971885073
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00007729	422	3011	054		1351	"R LIN,12K4,1%,TK100,100mW,0603"		ROH	NA	4.22	PS_FIAT BRAZIL_G.GERARD	NO	4971885073
366404	23/10/2013	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00019595	25	3011	054		1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.25	PS_FIAT BRAZIL_G.GERARD	NO	4971885073
