No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
370870	01/11/2013	MB1A	951	064-2	NA	'045	NA	NA	A2C53414278	15	1642	cover	NA	ROH	NA	102.15	S2_BCM SQUARE D_R.RODRI	NO	4972980949
371591	03/11/2013	ZSCR	551	035-1	0	'045	A2C53251265B	NA	A2C00021292	1	1351	"1,PNP,NORMAL,500mA,45V,SOT323,BIP/BC 807"		ROH	NA	0.1	S2_BCM_R.RODRIGO CERVAN	NO	4972981194
374602	09/11/2013	MB1A	951	064-2	NA	'045	NA	NA	A2C53406810	10	1642	bracket FOG FORD ABM	NA	ROH	NA	266.8	S1_ABM_M.MANUEL MANZANO	NO	4972981016
376377	13/11/2013	ZSCR	551	040-3	NA	'045	A2C74024205	NA	A2C73614301	1	1403	TOP_HOUSING_GLOBAL A BCM	NA	ROH	NA	9.06	S1_GLOBAL A_L.LUIS LIZA	NO	4972980716
376377	13/11/2013	ZSCR	551	040-3	NA	'045	A2C74024204	NA	A2C73614401	1	1403	BOTTOM_HOUSING_GLOBAL A BCM	NA	ROH	NA	5.85	S1_GLOBAL A_L.LUIS LIZA	NO	4972980730
377085	14/11/2013	MB1A	951	064-2	NA	'045	NA	NA	A2C53414278	11	1642	cover	NA	ROH	NA	74.91	S2_BCM SQUARE D_R.RODRI	NO	4972981030
377832	16/11/2013	MB1A	951	064-2	NA	'045	NA	NA	A2C53414277	1	1642	cover connector	NA	ROH	NA	9.6	S2_BCM SQUARE D_R.RODRI	NO	4972981039
377832	16/11/2013	MB1A	951	064-2	NA	'045	NA	NA	A2C53414278	2	1642	cover	NA	ROH	NA	13.62	S2_BCM SQUARE D_R.RODRI	NO	4972981048
379011	19/11/2013	ZSCR	551	040-3	NA	'045	S180144017S	NA	A2C53430047	2	1403	housing assy ISU L/UL/T	NA	ROH	NA	19.84	S2_NISSAN KEY FOB SQUAR	NO	4972980573
379011	19/11/2013	ZSCR	551	040-3	NA	'045	S180144018S	NA	A2C53430063	1	1403	housing assy ISU L/UL/T H	NA	ROH	NA	12.51	S2_NISSAN KEY FOB SQUAR	NO	4972980447
