No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
434936	3/27/2014	ZSCR	551	034-2	NA	'054	5WK44214	NA	5WK44214	1				1342	MODULE CONTROL FOR AIRBAG VW82 NAR	NA	FERT	NA	363.66	PS_VW10 LC_U.ULISES VIL	NO	
436989	3/31/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	100				1342	certification label identificati	NA	ROH	NA	33	PS_SDM30_C.CAROLINA OTA	NO	
437078	3/31/2014	ZSCR	551	034-3	NA	'054	5WY75960	NA	5WY75960	1				1343	Epsilon SDM GMX380A 6 Loops MY06 SP	NA	FERT	NA	322.17	PSAD_EPSILON_O.OSCAR FO	NO	
437078	3/31/2014	ZSCR	551	034-3	NA	'054	5WY77076	NA	5WY77076	7				1343	epsilon SDM GMX381 Sedan 8 Loops MY07	NA	FERT	NA	2361.24	PSAD_EPSILON_O.OSCAR FO	NO	
437078	3/31/2014	ZSCR	551	034-3	NA	'054	5WY77078	NA	5WY77078	6				1343	Epsilon SDM GMX381Cp 8 Loops MY07	NA	FERT	NA	2761.5	PSAD_EPSILON_O.OSCAR FO	NO	
437078	3/31/2014	ZSCR	551	034-3	NA	'054	5WY81540	NA	5WY81540	6				1343	EPSILON MY09 GMX295A / SGM980 10 Loop	NA	FERT	NA	2481	PSAD_EPSILON_O.OSCAR FO	NO	
437078	3/31/2014	ZSCR	551	034-3	NA	'054	5WY82990	NA	5WY82990	1				1343	EPSILON MY09 GMT001 8 Loop	NA	FERT	NA	394.86	PSAD_EPSILON_O.OSCAR FO	NO	
437078	3/31/2014	ZSCR	551	034-3	NA	'054	5WY87210	NA	5WY87210	1				1343	EPSILON MY2010 GMX386	NA	FERT	NA	336.75	PSAD_EPSILON_O.OSCAR FO	NO	
437078	3/31/2014	ZSCR	551	034-3	NA	'054	5WY89320	NA	5WY89320	3				1343	GMX386 SDM 12L MY11	NA	FERT	NA	1197.36	PSAD_EPSILON_O.OSCAR FO	NO	
437078	3/31/2014	ZSCR	551	034-3	NA	'054	5WY89340	NA	5WY89340	2				1343	EPSILON MY2011 GMX386 12L	NA	FERT	NA	732.06	PSAD_EPSILON_O.OSCAR FO	NO	
