No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Doc. Header Tex	Déficit Stock	No.Docto.SAP
451248	30/04/2014	ZSCR	551	034-2	NA	'045	A2C82983200	NA	A2C82983200	2	1342	pcb assy BCU	NA	HALB	S.Real	S4_PQ35 6ta Gen_. (APR	NO	4978137579
451362	01/05/2014	ZSCR	551	040-2	NA	'045	A2C53333370	NA	A2C53333370	3	1402	circuit board assy FOG FORD P	NA	HALB	S.Real	S1_PEPS PK Lincoln Embr	NO	4978136884
451502	01/05/2014	ZSCR	551	034-2	NA	'045	A2C82983200	NA	A2C82983200	2	1342	pcb assy BCU	NA	HALB	S.Real	S4_PQ35 6ta Gen_. (APR	NO	4978137579
452876	04/05/2014	ZSCR	551	030-1	NA	'045	S180144001	NA	A2C53430187	1	1301	circuit board assy TLS_SQUARE_D_	NA	HALB	S.Real/AutoBF	S2_NISSAN KEY FOB SQUAR	NO	4978138967
454512	07/05/2014	ZSCR	551	040-1	NA	'045	A2C74024902	NA	A2C74024902	32	1401	pcb topTHD BCU GM mid Global A	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978137187
455070	08/05/2014	ZSCR	551	040-1	NA	'045	A2C74024301	NA	A2C74024301	2	1401	pcb topTHD BCU GM high Global A	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978137170
455394	08/05/2014	ZSCR	551	040-1	NA	'045	5WK49670C	NA	A2C53285996B	1	1401	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	S2_KEY FOB_A.ANTONIO AL	NO	4978137114
455408	08/05/2014	ZSCR	551	034-2	NA	'045	S180144102	NA	A2C3280500092	30	1342	circuit board assy TPM bottom	NA	HALB	S.Real	S2_NISSAN KEY FOB SQUAR	NO	4978137451
455497	08/05/2014	ZSCR	551	030-1	NA	'045	A2C53334346	NA	A2C53334346	1	1301	module assy USM RKE LHD	NA	HALB	S.Real/AutoBF	S2_BCM_R.RODRIGO CERVAN	NO	4978138890
455870	09/05/2014	ZSCR	551	040-2	NA	'045	A2C30852700	NA	A2C30852700	19	1402	pcb assy	NA	HALB	S.Real	S6_WEBASTO_M.MIGUEL ZAV	NO	4978136539
455886	09/05/2014	ZSCR	551	040-2	NA	'045	A2C30852700	NA	A2C30852700	30	1402	pcb assy	NA	HALB	S.Real	S6_WEBASTO_M.MIGUEL ZAV	NO	4978136539
455933	09/05/2014	ZSCR	551	040-1	NA	'045	A2C82982700	NA	A2C82982700	1	1401	pcb assy BCU	NA	HALB	S.Real	S4_PQ35 6ta Gen_. (APR	NO	4978137284
456102	10/05/2014	ZSCR	551	040-1	NA	'045	A2C74024300	NA	A2C74024300	1	1401	GM GLOBAL A BCM MY14 HIGH TOP THD ASM	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978137163
456469	11/05/2014	ZSCR	551	040-2	NA	'045	A2C30852700	NA	A2C30852700	1	1402	pcb assy	NA	HALB	S.Real	S6_WEBASTO_M.MIGUEL ZAV	NO	4978136539
456535	11/05/2014	ZSCR	551	040-1	NA	'045	A2C82982700	NA	A2C82982700	1	1401	pcb assy BCU	NA	HALB	S.Real	S4_PQ35 6ta Gen_. (APR	NO	4978137284
457028	12/05/2014	ZSCR	551	030-1	NA	'045	A2C53251265B	NA	A2C53251265B	3	1301	SMD Sub-assembly Nissan BCM P32M	NA	HALB	S.Real/AutoBF	S2_BCM_R.RODRIGO CERVAN	NO	4978138739
457097	12/05/2014	ZSCR	551	034-2	NA	'045	A2C32713101	NA	A2C32713101	10	1342	pcb assy BCU 434 V29	NA	HALB	S.Real	S4_PQ25 LP3_. (APROBAC	NO	4978137434
457503	12/05/2014	ZSCR	551	034-2	NA	'045	A2C33288500	NA	A2C33288500	6	1342	pcb assy	NA	HALB	S.Real	S6_ESCL_M.MIGUEL ZAVALA	NO	4978137451
457542	12/05/2014	ZSCR	551	040-1	NA	'045	A2C74024301	NA	A2C74024301	4	1401	pcb topTHD BCU GM high Global A	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978137170
457543	12/05/2014	ZSCR	551	040-2	NA	'045	A2C74024301	NA	A2C74024301	3	1402	pcb topTHD BCU GM high Global A	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978136922
457544	12/05/2014	ZSCR	551	040-1	NA	'045	A2C74024301	NA	A2C74024301	4	1401	pcb topTHD BCU GM high Global A	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978137170
457545	13/05/2014	ZSCR	551	040-1	NA	'045	A2C74024301	NA	A2C74024301	13	1401	pcb topTHD BCU GM high Global A	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978137170
457549	13/05/2014	ZSCR	551	040-1	NA	'045	A2C74024301	NA	A2C74024301	13	1401	pcb topTHD BCU GM high Global A	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978137170
457562	13/05/2014	ZSCR	551	040-1	NA	'045	A2C74024301	NA	A2C74024301	8	1401	pcb topTHD BCU GM high Global A	NA	HALB	S.Real	S1_BCM K2XX_J.JAVIER BE	NO	4978137170
457591	13/05/2014	ZSCR	551	030-1	NA	'045	A2C53408731	NA	A2C53408731	30	1301	circuit board assy TPM	NA	HALB	S.Real/AutoBF	S2_NISSAN KEY FOB SQUAR	NO	4978138930
457640	13/05/2014	ZSCR	551	034-2	NA	'045	5WY7703	NA	40091530	9	1342	SMD ESPEJO PATS CLIP ON MY08	NA	HALB	S.Real	S1_PATS_M.MANUEL MANZAN	NO	4978137396
457659	13/05/2014	ZSCR	551	034-2	NA	'045	A2C32713101	NA	A2C32713101	1	1342	pcb assy BCU 434 V29	NA	HALB	S.Real	S4_PQ25 LP3_. (APROBAC	NO	4978137434
457660	13/05/2014	ZSCR	551	034-2	NA	'045	A2C82983200	NA	A2C82983200	2	1342	pcb assy BCU	NA	HALB	S.Real	S4_PQ35 6ta Gen_. (APR	NO	4978137579
457661	13/05/2014	ZSCR	551	034-2	NA	'045	A2C82982300	NA	A2C82982300	6	1342	pcb assy BCU	NA	HALB	S.Real	S4_PQ35 6ta Gen_. (APR	NO	4978137546
457737	13/05/2014	ZSCR	551	040-1	NA	'045	A2C74024301	NA	A2C74024301	3	1401	pcb topTHD BCU GM high Global A	NA	HALB	S.Real	S1_BCM K2XX_L.LUIS LIZA	NO	4978137170
458003	13/05/2014	ZSCR	551	034-2	NA	'045	A2C53251264	NA	A2C53251264	1	1342	SMD Sub-assembly Nissan D BCM P32M	NA	HALB	S.Real	S2_BCM_R.RODRIGO CERVAN	NO	4978137456
458083	13/05/2014	ZSCR	551	034-2	NA	'045	A2C32763601	NA	A2C32763601	40	1342	pcb assy BCU 315 V20	NA	HALB	S.Real	S4_PQ25 LP3_. (APROBAC	NO	4978137445
458083	13/05/2014	ZSCR	551	034-2	NA	'045	A2C82290600	NA	A2C32760701	77	1342	pcb assy BCU 315	NA	HALB	S.Real	S4_PQ25 LP3_. (APROBAC	NO	4978137439
458083	13/05/2014	ZSCR	551	034-2	NA	'045	A2C32763601	NA	A2C32763601	5	1342	pcb assy BCU 315 V20	NA	HALB	S.Real	S4_PQ25 LP3_. (APROBAC	NO	4978137445
458119	13/05/2014	ZSCR	551	030-1	NA	'045	A2C82983200	NA	A2C8298320092	2	1301	pcb assy BCU Bottom	NA	HALB	S.Real/AutoBF	S4_PQ25 LP3_.	NO	4978139261
458120	13/05/2014	ZSCR	551	030-1	NA	'045	A2C8298320092	NA	A2C8298320092	2	1301	pcb assy BCU Bottom	NA	HALB	S.Real/AutoBF	S4_PQ25 LP3_.	NO	4978139261
458123	13/05/2014	ZSCR	551	040-5	NA	'045	A2C32713101	NA	A2C32713101	3	1405	pcb assy BCU 434 V29	NA	HALB	S.Real	S4_PQ25 LP3_.	NO	4978136290
458124	13/05/2014	ZSCR	551	040-5	NA	'045	A2C32765701	NA	A2C32765701	1	1405	pcb assy BCU 315 V35	NA	HALB	S.Real	S4_PQ25 LP3_. (APROBAC	NO	4978136331
458124	13/05/2014	ZSCR	551	040-5	NA	'045	A2C32713101	NA	A2C32713101	11	1405	pcb assy BCU 434 V29	NA	HALB	S.Real	S4_PQ25 LP3_. (APROBAC	NO	4978136290
458130	13/05/2014	ZSCR	551	030-1	NA	'045	A2C32760701	NA	A2C32760701	1	1301	pcb assy BCU 315	NA	HALB	S.Real	S4_PQ25 LP3_.	NO	4978136145
458138	13/05/2014	ZSCR	551	030-1	NA	'045	A2C53408731	NA	A2C53408731	2	1301	circuit board assy TPM	NA	HALB	S.Real/AutoBF	S2_NISSAN KEY FOB SQUAR	NO	4978138930
